| model                     |                  test |      t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:--------------------------|----------------------:|-----------------:|-----------------:|--------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen38-flash-next-control |           pp2048 (c1) | 1695.07 ± 254.45 | 1695.07 ± 254.45 |               |                  |    1240.16 ± 199.77 |    1238.49 ± 199.77 |    1240.16 ± 199.77 |
| qwen38-flash-next-control |            tg128 (c1) |     35.42 ± 2.43 |     35.42 ± 2.43 |  43.00 ± 1.41 |     43.00 ± 1.41 |                     |                     |                     |
| qwen38-flash-next-control |           pp2048 (c2) |  2236.40 ± 76.04 | 1615.62 ± 503.19 |               |                  |    1404.41 ± 433.52 |    1402.74 ± 433.52 |    1404.41 ± 433.52 |
| qwen38-flash-next-control |            tg128 (c2) |     52.68 ± 3.30 |     30.13 ± 3.80 |  77.67 ± 4.03 |     41.83 ± 2.54 |                     |                     |                     |
| qwen38-flash-next-control |           pp2048 (c5) | 2727.30 ± 121.74 |  857.84 ± 603.23 |               |                  |   3112.04 ± 1083.92 |   3110.36 ± 1083.92 |   3112.04 ± 1083.92 |
| qwen38-flash-next-control |            tg128 (c5) |     77.74 ± 4.01 |     22.11 ± 3.35 | 148.00 ± 8.83 |     32.00 ± 2.92 |                     |                     |                     |
| qwen38-flash-next-control |          pp2048 (c10) |  1568.16 ± 71.91 |  479.95 ± 394.46 |               |                  |   6186.47 ± 3451.48 |   6184.80 ± 3451.48 |   6186.47 ± 3451.48 |
| qwen38-flash-next-control |           tg128 (c10) |     80.12 ± 4.11 |     17.93 ± 5.23 | 202.33 ± 7.85 |     29.87 ± 4.22 |                     |                     |                     |
| qwen38-flash-next-control |  ctx_pp @ d16384 (c1) |   2958.66 ± 4.66 |   2958.66 ± 4.66 |               |                  |      5540.11 ± 9.02 |      5538.44 ± 9.02 |      5540.72 ± 9.23 |
| qwen38-flash-next-control |  ctx_tg @ d16384 (c1) |     36.17 ± 4.89 |     36.17 ± 4.89 |  43.00 ± 2.94 |     43.00 ± 2.94 |                     |                     |                     |
| qwen38-flash-next-control |  pp2048 @ d16384 (c1) |   616.88 ± 14.78 |   616.88 ± 14.78 |               |                  |     3323.55 ± 80.93 |     3321.88 ± 80.93 |     3324.05 ± 80.60 |
| qwen38-flash-next-control |   tg128 @ d16384 (c1) |     34.85 ± 0.57 |     34.85 ± 0.57 |  42.00 ± 1.41 |     42.00 ± 1.41 |                     |                     |                     |
| qwen38-flash-next-control |  ctx_pp @ d16384 (c2) |   2962.14 ± 6.01 | 1765.77 ± 284.42 |               |                  |   9528.43 ± 1534.79 |   9526.75 ± 1534.79 |   9528.43 ± 1534.79 |
| qwen38-flash-next-control |  ctx_tg @ d16384 (c2) |     32.08 ± 1.03 |     22.00 ± 4.75 |  72.00 ± 9.90 |     37.33 ± 7.80 |                     |                     |                     |
| qwen38-flash-next-control |  pp2048 @ d16384 (c2) |   631.78 ± 19.57 |   368.15 ± 53.99 |               |                  |    5685.88 ± 829.15 |    5684.21 ± 829.15 |    5686.21 ± 828.77 |
| qwen38-flash-next-control |   tg128 @ d16384 (c2) |     43.17 ± 2.48 |     26.23 ± 4.24 |  72.67 ± 4.50 |     37.33 ± 3.68 |                     |                     |                     |
| qwen38-flash-next-control |  ctx_pp @ d16384 (c5) |  2874.26 ± 56.19 |  973.23 ± 529.95 |               |                  |  20766.42 ± 7625.15 |  20764.75 ± 7625.15 |  20766.56 ± 7624.92 |
| qwen38-flash-next-control |  ctx_tg @ d16384 (c5) |     23.06 ± 1.12 |     13.55 ± 7.68 | 122.67 ± 2.62 |     29.53 ± 4.24 |                     |                     |                     |
| qwen38-flash-next-control |  pp2048 @ d16384 (c5) |    656.41 ± 5.87 |   188.01 ± 83.49 |               |                  |  12467.98 ± 3625.69 |  12466.30 ± 3625.69 |  12468.41 ± 3625.22 |
| qwen38-flash-next-control |   tg128 @ d16384 (c5) |     41.39 ± 0.24 |     18.00 ± 6.19 | 139.67 ± 4.99 |     32.40 ± 3.67 |                     |                     |                     |
| qwen38-flash-next-control | ctx_pp @ d16384 (c10) |  2657.90 ± 29.34 |  653.23 ± 502.67 |               |                  | 35718.17 ± 16728.66 | 35716.50 ± 16728.66 | 35718.39 ± 16728.29 |
| qwen38-flash-next-control | ctx_tg @ d16384 (c10) |     21.21 ± 0.38 |      8.31 ± 7.86 | 166.67 ± 4.92 |     27.07 ± 4.72 |                     |                     |                     |
| qwen38-flash-next-control | pp2048 @ d16384 (c10) |    544.39 ± 2.39 |   125.16 ± 81.24 |               |                  |  21382.52 ± 9266.74 |  21380.84 ± 9266.74 |  21382.80 ± 9266.67 |
| qwen38-flash-next-control |  tg128 @ d16384 (c10) |     34.34 ± 1.15 |     11.20 ± 8.02 | 193.67 ± 8.96 |     28.70 ± 5.01 |                     |                     |                     |
