| model              |                 test |      t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|-----------------:|-----------------:|--------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) | 2353.40 ± 209.85 | 2353.40 ± 209.85 |               |                  |      879.78 ± 81.43 |      877.91 ± 81.43 |      879.78 ± 81.43 |
| qwen3.8-flash-next |           tg128 (c1) |     40.64 ± 2.50 |     40.64 ± 2.50 |  41.33 ± 2.62 |     41.33 ± 2.62 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) | 2633.02 ± 173.50 |  1327.78 ± 88.68 |               |                  |    1552.30 ± 108.45 |    1550.42 ± 108.45 |    1552.30 ± 108.45 |
| qwen3.8-flash-next |           tg128 (c2) |     61.94 ± 3.53 |     32.52 ± 2.63 |  66.33 ± 4.03 |     33.17 ± 2.54 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) |  3003.52 ± 54.44 |  660.24 ± 119.47 |               |                  |    3181.52 ± 425.85 |    3179.65 ± 425.85 |    3181.52 ± 425.85 |
| qwen3.8-flash-next |           tg128 (c5) |     94.45 ± 7.04 |     23.43 ± 2.88 | 119.33 ± 6.34 |     23.87 ± 2.90 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) |  2720.97 ± 15.54 |  2720.97 ± 15.54 |               |                  |       755.43 ± 4.13 |       753.56 ± 4.13 |       755.43 ± 4.13 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |     35.68 ± 2.12 |     35.68 ± 2.12 |  36.00 ± 2.16 |     36.00 ± 2.16 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) | 1369.07 ± 135.46 | 1369.07 ± 135.46 |               |                  |    1513.50 ± 159.01 |    1511.63 ± 159.01 |    1513.50 ± 159.01 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |     36.29 ± 0.69 |     36.29 ± 0.69 |  37.00 ± 0.82 |     37.00 ± 0.82 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) |   2811.28 ± 6.74 |   1413.99 ± 9.56 |               |                  |      1451.74 ± 9.73 |      1449.87 ± 9.73 |      1451.74 ± 9.73 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |     56.80 ± 3.31 |     29.73 ± 1.94 |  60.67 ± 2.05 |     30.33 ± 1.80 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) | 1727.82 ± 282.35 |  864.94 ± 141.10 |               |                  |    2443.11 ± 450.14 |    2441.23 ± 450.14 |    2443.11 ± 450.14 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |     58.67 ± 1.86 |     30.50 ± 1.32 |  62.00 ± 0.82 |     31.00 ± 1.15 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) |   3004.67 ± 8.91 |   649.16 ± 79.15 |               |                  |    3200.08 ± 331.40 |    3198.20 ± 331.40 |    3200.08 ± 331.40 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |     94.25 ± 2.85 |     22.30 ± 2.57 | 113.67 ± 6.65 |     22.73 ± 2.62 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) |   1843.65 ± 2.02 |  442.16 ± 109.87 |               |                  |    4848.09 ± 887.00 |    4846.21 ± 887.00 |    4848.09 ± 887.00 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |     82.65 ± 4.07 |     21.99 ± 3.54 | 113.00 ± 0.82 |     22.60 ± 3.61 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) | 2754.54 ± 146.94 | 2754.54 ± 146.94 |               |                  |     1494.14 ± 82.90 |     1492.27 ± 82.90 |     1494.14 ± 82.90 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |     35.35 ± 2.51 |     35.35 ± 2.51 |  35.67 ± 2.62 |     35.67 ± 2.62 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |    980.84 ± 3.11 |    980.84 ± 3.11 |               |                  |      2089.91 ± 6.63 |      2088.04 ± 6.63 |      2089.91 ± 6.63 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |     36.60 ± 2.24 |     36.60 ± 2.24 |  37.00 ± 2.16 |     37.00 ± 2.16 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) |   2922.95 ± 1.98 |   1464.37 ± 2.05 |               |                  |      2800.80 ± 3.89 |      2798.93 ± 3.89 |      2800.80 ± 3.89 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |     59.46 ± 1.11 |     31.17 ± 2.41 |  63.00 ± 2.94 |     31.50 ± 2.36 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) |  1389.84 ± 70.74 |  745.66 ± 110.49 |               |                  |    2801.32 ± 359.88 |    2799.45 ± 359.88 |    2801.32 ± 359.88 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |     55.14 ± 4.97 |     29.64 ± 2.55 |  60.33 ± 4.03 |     30.17 ± 2.79 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) |  2971.08 ± 58.92 |  726.53 ± 173.09 |               |                  |   5919.34 ± 1173.56 |   5917.47 ± 1173.56 |   5919.34 ± 1173.56 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |     67.01 ± 2.32 |     18.64 ± 2.79 |  95.67 ± 2.36 |     19.13 ± 2.73 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) |  2008.49 ± 51.89 |   439.83 ± 94.12 |               |                  |    4798.49 ± 667.34 |    4796.62 ± 667.34 |    4798.49 ± 667.34 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |    83.01 ± 11.73 |     22.16 ± 4.12 | 112.67 ± 4.50 |     22.60 ± 4.22 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) |  2880.99 ± 95.17 |  2880.99 ± 95.17 |               |                  |     2849.11 ± 96.39 |     2847.23 ± 96.39 |     2849.11 ± 96.39 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |     32.88 ± 2.98 |     32.88 ± 2.98 |  33.67 ± 3.09 |     33.67 ± 3.09 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |   924.65 ± 51.42 |   924.65 ± 51.42 |               |                  |    2223.91 ± 128.60 |    2222.04 ± 128.60 |    2223.91 ± 128.60 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |     37.00 ± 1.04 |     37.00 ± 1.04 |  37.33 ± 0.94 |     37.33 ± 0.94 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) |  2908.66 ± 55.30 |  1478.81 ± 37.51 |               |                  |    5546.25 ± 139.22 |    5544.37 ± 139.22 |    5546.25 ± 139.22 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |     54.29 ± 0.06 |     29.18 ± 1.83 |  59.67 ± 2.49 |     29.83 ± 1.95 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) |  1365.06 ± 56.07 |   727.82 ± 83.96 |               |                  |    2848.33 ± 283.46 |    2846.46 ± 283.46 |    2848.33 ± 283.46 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |     55.61 ± 4.71 |     30.02 ± 3.13 |  61.00 ± 3.27 |     30.50 ± 3.20 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) |  3010.72 ± 33.91 |  913.86 ± 352.71 |               |                  |  10156.71 ± 3186.47 |  10154.83 ± 3186.47 |  10156.71 ± 3186.47 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |     42.79 ± 0.51 |     14.89 ± 4.80 |  76.33 ± 1.25 |     15.27 ± 4.80 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) |  1955.22 ± 52.83 |  453.37 ± 135.15 |               |                  |    4783.62 ± 899.89 |    4781.74 ± 899.89 |    4783.62 ± 899.89 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |     78.64 ± 7.35 |     22.23 ± 3.09 | 114.00 ± 4.90 |     22.87 ± 3.18 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) |  2938.82 ± 77.19 |  2938.82 ± 77.19 |               |                  |    5581.38 ± 149.16 |    5579.51 ± 149.16 |    5581.38 ± 149.16 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |     31.35 ± 0.32 |     31.35 ± 0.32 |  31.67 ± 0.47 |     31.67 ± 0.47 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) |   915.22 ± 41.05 |   915.22 ± 41.05 |               |                  |    2244.25 ± 103.87 |    2242.37 ± 103.87 |    2244.25 ± 103.87 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |     37.87 ± 3.22 |     37.87 ± 3.22 |  38.33 ± 3.09 |     38.33 ± 3.09 |                     |                     |                     |
