| model              |                 test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) |  2364.43 ± 41.71 |  2364.43 ± 41.71 |                |                  |      869.71 ± 15.12 |      866.72 ± 15.12 |      869.71 ± 15.12 |
| qwen3.8-flash-next |           tg128 (c1) |     31.66 ± 7.15 |     31.66 ± 7.15 |   32.33 ± 7.41 |     32.33 ± 7.41 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) |   2782.08 ± 7.57 |  1403.94 ± 10.55 |                |                  |     1462.66 ± 11.04 |     1459.67 ± 11.04 |     1462.66 ± 11.04 |
| qwen3.8-flash-next |           tg128 (c2) |     62.85 ± 2.92 |     32.91 ± 1.85 |   67.00 ± 2.45 |     33.50 ± 1.98 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) | 2762.44 ± 297.41 |  636.77 ± 173.17 |                |                  |    3410.15 ± 722.92 |    3407.16 ± 722.92 |    3410.15 ± 722.92 |
| qwen3.8-flash-next |           tg128 (c5) |    82.95 ± 11.86 |     22.85 ± 3.19 |  117.00 ± 4.55 |     23.47 ± 3.16 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) |  2765.25 ± 10.11 |  2765.25 ± 10.11 |                |                  |       744.22 ± 2.87 |       741.23 ± 2.87 |       744.22 ± 2.87 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |     32.89 ± 1.22 |     32.89 ± 1.22 |   33.67 ± 1.25 |     33.67 ± 1.25 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) | 1367.33 ± 163.51 | 1367.33 ± 163.51 |                |                  |    1524.23 ± 196.13 |    1521.24 ± 196.13 |    1524.23 ± 196.13 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |     35.89 ± 2.82 |     35.89 ± 2.82 |   36.33 ± 2.49 |     36.33 ± 2.49 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) |  2811.48 ± 19.57 |  1411.76 ± 10.61 |                |                  |     1455.27 ± 10.83 |     1452.28 ± 10.83 |     1455.27 ± 10.83 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |     59.74 ± 1.48 |     30.61 ± 1.05 |   62.33 ± 0.47 |     31.17 ± 1.21 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) | 1820.85 ± 163.99 |   911.73 ± 82.21 |                |                  |    2268.91 ± 217.87 |    2265.92 ± 217.87 |    2268.91 ± 217.87 |
