| model              |                 test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) | 2330.26 ± 205.26 | 2330.26 ± 205.26 |                |                  |      889.52 ± 82.84 |      886.59 ± 82.84 |      889.52 ± 82.84 |
| qwen3.8-flash-next |           tg128 (c1) |     37.05 ± 1.89 |     37.05 ± 1.89 |   37.67 ± 2.05 |     37.67 ± 2.05 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) |  2769.40 ± 68.19 |  1404.20 ± 30.37 |                |                  |     1462.94 ± 32.81 |     1460.02 ± 32.81 |     1462.94 ± 32.81 |
| qwen3.8-flash-next |           tg128 (c2) |     61.87 ± 4.49 |     32.14 ± 2.19 |   65.33 ± 3.86 |     32.67 ± 2.21 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) | 2799.93 ± 402.07 |  593.16 ± 110.82 |                |                  |    3580.15 ± 672.21 |    3577.23 ± 672.21 |    3580.15 ± 672.21 |
| qwen3.8-flash-next |           tg128 (c5) |     94.62 ± 4.38 |     22.53 ± 2.32 |  115.00 ± 6.68 |     23.00 ± 2.42 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) |   2718.77 ± 2.27 |   2718.77 ± 2.27 |                |                  |       756.94 ± 0.63 |       754.02 ± 0.63 |       756.94 ± 0.63 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |     33.69 ± 2.02 |     33.69 ± 2.02 |   34.33 ± 1.89 |     34.33 ± 1.89 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) | 1232.86 ± 265.67 | 1232.86 ± 265.67 |                |                  |    1760.39 ± 446.80 |    1757.46 ± 446.80 |    1760.39 ± 446.80 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |     34.22 ± 1.79 |     34.22 ± 1.79 |   34.67 ± 1.70 |     34.67 ± 1.70 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) |   2813.79 ± 6.78 |   1414.14 ± 5.35 |                |                  |      1452.71 ± 5.59 |      1449.79 ± 5.59 |      1452.71 ± 5.59 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |     53.20 ± 2.57 |     27.67 ± 2.71 |   56.33 ± 4.50 |     28.17 ± 2.85 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) |   1941.86 ± 3.13 |    974.34 ± 5.26 |                |                  |     2104.92 ± 11.26 |     2101.99 ± 11.26 |     2104.92 ± 11.26 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |     61.65 ± 7.63 |     31.11 ± 3.64 |   63.33 ± 7.85 |     31.67 ± 3.94 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) | 2911.03 ± 142.26 |   635.83 ± 90.87 |                |                  |    3284.44 ± 406.14 |    3281.52 ± 406.14 |    3284.44 ± 406.14 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |    83.39 ± 10.10 |     20.19 ± 3.39 | 103.67 ± 13.82 |     20.73 ± 3.41 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) |  1793.22 ± 83.55 |  446.29 ± 115.32 |                |                  |    4841.51 ± 999.40 |    4838.58 ± 999.40 |    4841.51 ± 999.40 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |     76.43 ± 8.95 |     19.62 ± 3.43 |  100.67 ± 9.88 |     20.13 ± 3.36 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) | 2724.26 ± 182.44 | 2724.26 ± 182.44 |                |                  |    1514.42 ± 106.16 |    1511.49 ± 106.16 |    1514.42 ± 106.16 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |     34.13 ± 1.45 |     34.13 ± 1.45 |   34.67 ± 1.25 |     34.67 ± 1.25 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |  861.26 ± 170.52 |  861.26 ± 170.52 |                |                  |    2494.39 ± 573.58 |    2491.47 ± 573.58 |    2494.39 ± 573.58 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |     35.59 ± 2.66 |     35.59 ± 2.66 |   36.33 ± 2.49 |     36.33 ± 2.49 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) |  2909.93 ± 27.06 |  1458.76 ± 13.18 |                |                  |     2812.50 ± 25.48 |     2809.57 ± 25.48 |     2812.50 ± 25.48 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |     56.09 ± 3.54 |     28.28 ± 1.81 |   57.67 ± 3.40 |     28.83 ± 1.77 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) | 1120.75 ± 223.48 |  581.14 ± 109.71 |                |                  |    3652.80 ± 668.77 |    3649.88 ± 668.77 |    3652.80 ± 668.77 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |     60.35 ± 9.31 |     32.09 ± 5.05 |   65.00 ± 9.09 |     32.50 ± 5.06 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) | 2855.53 ± 229.98 |  688.18 ± 168.07 |                |                  |   6266.68 ± 1296.62 |   6263.75 ± 1296.62 |   6266.68 ± 1296.62 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |     67.24 ± 4.70 |     18.65 ± 3.00 |   95.67 ± 8.22 |     19.13 ± 3.07 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) | 1976.73 ± 106.84 |   448.53 ± 99.76 |                |                  |    4737.47 ± 782.02 |    4734.54 ± 782.02 |    4737.47 ± 782.02 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |    84.19 ± 10.03 |     20.78 ± 2.59 |  106.33 ± 9.81 |     21.33 ± 2.47 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) | 2693.56 ± 363.84 | 2693.56 ± 363.84 |                |                  |    3107.51 ± 463.74 |    3104.59 ± 463.74 |    3107.51 ± 463.74 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |     34.43 ± 1.89 |     34.43 ± 1.89 |   34.67 ± 2.05 |     34.67 ± 2.05 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |  858.56 ± 150.81 |  858.56 ± 150.81 |                |                  |    2475.42 ± 495.86 |    2472.50 ± 495.86 |    2475.42 ± 495.86 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |     38.46 ± 0.67 |     38.46 ± 0.67 |   39.00 ± 0.82 |     39.00 ± 0.82 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) | 2759.62 ± 174.67 |  1408.89 ± 89.95 |                |                  |    5842.23 ± 360.78 |    5839.31 ± 360.78 |    5842.23 ± 360.78 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |     50.33 ± 4.79 |     26.67 ± 3.00 |   54.33 ± 5.25 |     27.17 ± 2.91 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) |   1413.04 ± 6.32 |   751.32 ± 97.99 |                |                  |    2766.94 ± 292.46 |    2764.02 ± 292.46 |    2766.94 ± 292.46 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |    59.32 ± 12.68 |     31.36 ± 5.76 |  64.00 ± 10.71 |     32.00 ± 5.86 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) |   3043.86 ± 2.30 |  918.66 ± 352.21 |                |                  |  10083.88 ± 3132.81 |  10080.96 ± 3132.81 |  10083.88 ± 3132.81 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |     40.75 ± 3.65 |     15.19 ± 5.62 |   78.00 ± 5.89 |     15.60 ± 5.57 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) | 1750.97 ± 197.37 |  418.18 ± 156.74 |                |                  |   5316.08 ± 1187.32 |   5313.16 ± 1187.32 |   5316.08 ± 1187.32 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |    75.04 ± 11.32 |     18.88 ± 2.51 |   96.67 ± 1.25 |     19.33 ± 2.67 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) | 2786.02 ± 304.10 | 2786.02 ± 304.10 |                |                  |    5961.50 ± 704.97 |    5958.58 ± 704.97 |    5961.50 ± 704.97 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |     33.04 ± 1.49 |     33.04 ± 1.49 |   33.33 ± 1.70 |     33.33 ± 1.70 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) |    953.64 ± 1.96 |    953.64 ± 1.96 |                |                  |      2150.49 ± 4.40 |      2147.56 ± 4.40 |      2150.49 ± 4.40 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |     34.76 ± 5.28 |     34.76 ± 5.28 |   35.33 ± 5.25 |     35.33 ± 5.25 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) | 2813.96 ± 269.36 | 1644.45 ± 305.64 |                |                  |  10314.09 ± 1891.20 |  10311.16 ± 1891.20 |  10314.09 ± 1891.20 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |     36.37 ± 1.35 |     24.69 ± 6.53 |   50.00 ± 2.16 |     25.00 ± 6.45 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) | 1316.36 ± 117.24 |  807.47 ± 154.28 |                |                  |    2641.42 ± 539.30 |    2638.50 ± 539.30 |    2641.42 ± 539.30 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |     49.06 ± 5.62 |     27.85 ± 4.37 |   57.00 ± 5.66 |     28.50 ± 4.50 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) |  2816.78 ± 75.36 | 1014.26 ± 502.30 |                |                  |  19660.01 ± 7528.34 |  19657.08 ± 7528.34 |  19660.01 ± 7528.34 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |     23.38 ± 0.89 |     10.59 ± 5.66 |   55.00 ± 2.94 |     11.07 ± 5.59 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) | 1844.70 ± 137.79 |  479.93 ± 196.11 |                |                  |   4786.51 ± 1317.38 |   4783.58 ± 1317.38 |   4786.51 ± 1317.38 |
