| model                    |                  test |      t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------------|----------------------:|-----------------:|-----------------:|--------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen38-flash-next-capfit |           pp2048 (c1) | 1780.18 ± 620.62 | 1780.18 ± 620.62 |               |                  |    1372.08 ± 631.16 |    1370.63 ± 631.16 |    1372.08 ± 631.16 |
| qwen38-flash-next-capfit |            tg128 (c1) |     33.37 ± 2.89 |     33.37 ± 2.89 |  43.67 ± 3.86 |     43.67 ± 3.86 |                     |                     |                     |
| qwen38-flash-next-capfit |           pp2048 (c2) | 2191.52 ± 281.05 | 1478.34 ± 623.90 |               |                  |    1624.74 ± 576.59 |    1623.30 ± 576.59 |    1624.74 ± 576.59 |
| qwen38-flash-next-capfit |            tg128 (c2) |     55.63 ± 4.75 |     29.98 ± 2.74 |  81.33 ± 6.02 |     41.83 ± 2.91 |                     |                     |                     |
| qwen38-flash-next-capfit |           pp2048 (c5) |   2833.53 ± 9.97 |  994.05 ± 809.40 |               |                  |   2940.46 ± 1079.81 |   2939.02 ± 1079.81 |   2940.46 ± 1079.81 |
| qwen38-flash-next-capfit |            tg128 (c5) |     74.49 ± 3.00 |     21.65 ± 3.63 | 146.00 ± 6.53 |     31.40 ± 3.34 |                     |                     |                     |
| qwen38-flash-next-capfit |          pp2048 (c10) |  1583.97 ± 38.79 |  587.09 ± 580.16 |               |                  |   5738.84 ± 3703.17 |   5737.40 ± 3703.17 |   5738.84 ± 3703.17 |
| qwen38-flash-next-capfit |           tg128 (c10) |     79.02 ± 2.51 |     17.44 ± 5.72 | 203.33 ± 4.50 |     30.00 ± 4.96 |                     |                     |                     |
| qwen38-flash-next-capfit |  ctx_pp @ d16384 (c1) |  2939.03 ± 51.41 |  2939.03 ± 51.41 |               |                  |     5578.48 ± 98.74 |     5577.04 ± 98.74 |     5578.48 ± 98.74 |
| qwen38-flash-next-capfit |  ctx_tg @ d16384 (c1) |     31.58 ± 2.81 |     31.58 ± 2.81 |  44.67 ± 7.41 |     44.67 ± 7.41 |                     |                     |                     |
| qwen38-flash-next-capfit |  pp2048 @ d16384 (c1) |    331.37 ± 1.57 |    331.37 ± 1.57 |               |                  |     6181.93 ± 29.27 |     6180.48 ± 29.27 |     6181.93 ± 29.27 |
| qwen38-flash-next-capfit |   tg128 @ d16384 (c1) |     33.01 ± 2.08 |     33.01 ± 2.08 |  44.67 ± 1.25 |     44.67 ± 1.25 |                     |                     |                     |
| qwen38-flash-next-capfit |  ctx_pp @ d16384 (c2) |  2911.87 ± 19.42 | 1919.11 ± 587.42 |               |                  |   9211.06 ± 2252.49 |   9209.62 ± 2252.49 |   9211.35 ± 2252.77 |
| qwen38-flash-next-capfit |  ctx_tg @ d16384 (c2) |     27.45 ± 7.25 |     20.82 ± 8.09 |  68.33 ± 5.44 |     36.50 ± 3.35 |                     |                     |                     |
| qwen38-flash-next-capfit |  pp2048 @ d16384 (c2) |    334.07 ± 0.41 |   211.82 ± 44.76 |               |                  |  10121.59 ± 2138.24 |  10120.15 ± 2138.24 |  10122.77 ± 2137.57 |
| qwen38-flash-next-capfit |   tg128 @ d16384 (c2) |     29.95 ± 1.40 |     23.44 ± 7.81 |  77.33 ± 9.53 |     41.83 ± 7.38 |                     |                     |                     |
| qwen38-flash-next-capfit |  ctx_pp @ d16384 (c5) |  2966.30 ± 12.09 | 1068.19 ± 519.45 |               |                  |  18597.53 ± 7096.22 |  18596.09 ± 7096.22 |  18598.10 ± 7095.50 |
| qwen38-flash-next-capfit |  ctx_tg @ d16384 (c5) |     24.67 ± 0.32 |     11.25 ± 5.90 | 125.67 ± 2.49 |     30.40 ± 3.09 |                     |                     |                     |
| qwen38-flash-next-capfit |  pp2048 @ d16384 (c5) |    328.47 ± 0.13 |   129.84 ± 67.63 |               |                  |  19892.72 ± 8496.31 |  19891.28 ± 8496.31 |  19892.84 ± 8496.47 |
| qwen38-flash-next-capfit |   tg128 @ d16384 (c5) |     22.03 ± 0.27 |     10.95 ± 6.83 | 130.33 ± 5.79 |     30.53 ± 3.69 |                     |                     |                     |
| qwen38-flash-next-capfit | ctx_pp @ d16384 (c10) |   2673.49 ± 9.17 |  708.12 ± 521.14 |               |                  | 33588.84 ± 16934.58 | 33587.39 ± 16934.58 | 33589.05 ± 16934.25 |
| qwen38-flash-next-capfit | ctx_tg @ d16384 (c10) |     21.29 ± 0.47 |      8.01 ± 7.27 | 161.00 ± 4.32 |     26.50 ± 5.41 |                     |                     |                     |
| qwen38-flash-next-capfit | pp2048 @ d16384 (c10) |    301.75 ± 1.61 |    85.01 ± 66.27 |               |                  | 36460.92 ± 19047.92 | 36459.48 ± 19047.92 | 36460.92 ± 19047.92 |
| qwen38-flash-next-capfit |  tg128 @ d16384 (c10) |     19.75 ± 0.09 |      7.33 ± 7.68 | 192.00 ± 6.16 |     29.30 ± 5.96 |                     |                     |                     |
