| model              |                 test |      t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|-----------------:|-----------------:|--------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) | 2066.59 ± 575.44 | 2066.59 ± 575.44 |               |                  |    1096.63 ± 369.29 |    1093.81 ± 369.29 |    1096.63 ± 369.29 |
| qwen3.8-flash-next |           tg128 (c1) |     36.70 ± 4.49 |     36.70 ± 4.49 |  37.00 ± 4.32 |     37.00 ± 4.32 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) |  2788.91 ± 60.18 |  1407.77 ± 32.61 |               |                  |     1458.99 ± 34.29 |     1456.17 ± 34.29 |     1458.99 ± 34.29 |
| qwen3.8-flash-next |           tg128 (c2) |     65.26 ± 3.38 |     34.28 ± 2.27 |  69.67 ± 2.05 |     34.83 ± 2.11 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) | 2876.77 ± 269.64 |   610.20 ± 90.49 |               |                  |    3430.17 ± 475.61 |    3427.35 ± 475.61 |    3430.17 ± 475.61 |
| qwen3.8-flash-next |           tg128 (c5) |     96.52 ± 3.66 |     23.28 ± 2.47 | 118.33 ± 6.02 |     23.67 ± 2.57 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) |   2722.87 ± 4.81 |   2722.87 ± 4.81 |               |                  |       755.70 ± 1.33 |       752.88 ± 1.33 |       755.70 ± 1.33 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |     32.95 ± 2.78 |     32.95 ± 2.78 |  33.33 ± 2.62 |     33.33 ± 2.62 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) |   1422.27 ± 5.37 |   1422.27 ± 5.37 |               |                  |      1442.79 ± 5.42 |      1439.97 ± 5.42 |      1442.79 ± 5.42 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |     36.30 ± 1.09 |     36.30 ± 1.09 |  36.67 ± 1.25 |     36.67 ± 1.25 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) | 2392.48 ± 577.56 | 1201.16 ± 290.52 |               |                  |    1838.84 ± 535.89 |    1836.02 ± 535.89 |    1838.84 ± 535.89 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |     56.74 ± 1.74 |     29.28 ± 1.22 |  60.00 ± 0.82 |     30.00 ± 1.29 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) |   1936.94 ± 7.86 |    975.52 ± 6.80 |               |                  |     2102.31 ± 14.65 |     2099.49 ± 14.65 |     2102.31 ± 14.65 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |     57.78 ± 1.10 |     29.62 ± 1.05 |  60.33 ± 1.25 |     30.17 ± 0.90 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) |  3037.32 ± 30.40 |   650.55 ± 77.11 |               |                  |    3192.24 ± 321.79 |    3189.42 ± 321.79 |    3192.24 ± 321.79 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |     89.41 ± 2.71 |     21.19 ± 2.17 | 108.33 ± 3.68 |     21.67 ± 2.18 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) |  1826.59 ± 28.84 |  457.21 ± 138.61 |               |                  |   4794.26 ± 1050.97 |   4791.44 ± 1050.97 |   4794.26 ± 1050.97 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |     78.14 ± 7.23 |     21.20 ± 3.23 | 108.67 ± 4.03 |     21.73 ± 3.11 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) |   2855.61 ± 7.56 |   2855.61 ± 7.56 |               |                  |      1437.90 ± 3.80 |      1435.08 ± 3.80 |      1437.90 ± 3.80 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |     33.04 ± 3.03 |     33.04 ± 3.03 |  33.67 ± 3.09 |     33.67 ± 3.09 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |   951.11 ± 38.54 |   951.11 ± 38.54 |               |                  |     2159.73 ± 89.96 |     2156.91 ± 89.96 |     2159.73 ± 89.96 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |     33.43 ± 1.21 |     33.43 ± 1.21 |  33.67 ± 1.25 |     33.67 ± 1.25 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) |   2923.60 ± 6.04 |   1465.39 ± 3.86 |               |                  |      2799.60 ± 7.23 |      2796.78 ± 7.23 |      2799.60 ± 7.23 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |     58.80 ± 4.36 |     30.13 ± 2.22 |  61.00 ± 4.32 |     30.50 ± 2.36 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) |  1395.54 ± 46.71 |   743.71 ± 71.43 |               |                  |    2779.80 ± 242.57 |    2776.98 ± 242.57 |    2779.80 ± 242.57 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |     55.57 ± 3.75 |     30.07 ± 2.07 |  61.33 ± 2.49 |     30.67 ± 2.13 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) |  2998.73 ± 20.26 |  729.14 ± 170.48 |               |                  |   5886.04 ± 1136.04 |   5883.22 ± 1136.04 |   5886.04 ± 1136.04 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |     68.75 ± 1.29 |     19.23 ± 3.29 |  98.00 ± 2.16 |     19.60 ± 3.42 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) |   2052.70 ± 1.84 |  480.04 ± 119.85 |               |                  |    4467.76 ± 805.89 |    4464.94 ± 805.89 |    4467.76 ± 805.89 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |     83.07 ± 6.65 |     22.51 ± 3.30 | 115.00 ± 6.38 |     23.07 ± 3.36 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) |  2913.99 ± 60.81 |  2913.99 ± 60.81 |               |                  |     2816.13 ± 59.47 |     2813.31 ± 59.47 |     2816.13 ± 59.47 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |     34.16 ± 0.96 |     34.16 ± 0.96 |  34.67 ± 0.94 |     34.67 ± 0.94 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |    961.41 ± 1.21 |    961.41 ± 1.21 |               |                  |      2133.02 ± 2.67 |      2130.20 ± 2.67 |      2133.02 ± 2.67 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |     36.44 ± 0.59 |     36.44 ± 0.59 |  37.00 ± 0.82 |     37.00 ± 0.82 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) |   2991.53 ± 4.56 |  1521.95 ± 25.48 |               |                  |     5388.22 ± 90.18 |     5385.40 ± 90.18 |     5388.22 ± 90.18 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |     54.02 ± 0.58 |     28.75 ± 0.80 |  58.33 ± 0.47 |     29.17 ± 0.69 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) |  1382.66 ± 37.53 |  771.93 ± 112.38 |               |                  |    2707.56 ± 355.49 |    2704.74 ± 355.49 |    2707.56 ± 355.49 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |     55.99 ± 7.05 |     30.96 ± 3.90 |  62.67 ± 3.86 |     31.33 ± 3.86 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) |  3023.14 ± 24.15 |  909.04 ± 345.24 |               |                  |  10169.53 ± 3138.01 |  10166.71 ± 3138.01 |  10169.53 ± 3138.01 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |     43.77 ± 0.26 |     15.67 ± 5.43 |  81.00 ± 3.74 |     16.20 ± 5.38 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) |  1993.43 ± 20.07 |  494.92 ± 182.64 |               |                  |   4511.65 ± 1022.34 |   4508.83 ± 1022.34 |   4511.65 ± 1022.34 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |    77.79 ± 10.88 |     22.18 ± 3.96 | 113.67 ± 3.09 |     22.73 ± 3.96 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) |  2977.34 ± 24.16 |  2977.34 ± 24.16 |               |                  |     5506.64 ± 44.77 |     5503.82 ± 44.77 |     5506.64 ± 44.77 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |     35.81 ± 3.65 |     35.81 ± 3.65 |  36.33 ± 3.40 |     36.33 ± 3.40 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) |    949.54 ± 2.45 |    949.54 ± 2.45 |               |                  |      2159.66 ± 5.57 |      2156.84 ± 5.57 |      2159.66 ± 5.57 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |     38.97 ± 3.33 |     38.97 ± 3.33 |  39.33 ± 3.40 |     39.33 ± 3.40 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) |  3009.92 ± 10.10 | 1774.31 ± 269.06 |               |                  |   9455.16 ± 1433.14 |   9452.34 ± 1433.14 |   9455.16 ± 1433.14 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |     35.49 ± 0.49 |     24.47 ± 6.58 |  49.67 ± 1.25 |     24.83 ± 6.57 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) |   1387.80 ± 5.22 |   737.48 ± 95.38 |               |                  |    2818.08 ± 295.79 |    2815.26 ± 295.79 |    2818.08 ± 295.79 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |     60.55 ± 7.23 |     32.46 ± 3.39 |  66.00 ± 3.74 |     33.00 ± 3.27 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) |   3021.31 ± 8.35 | 1083.95 ± 524.86 |               |                  |  18295.35 ± 6946.09 |  18292.53 ± 6946.09 |  18295.35 ± 6946.09 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |     23.26 ± 0.90 |     10.94 ± 6.52 |  57.33 ± 0.94 |     11.47 ± 6.51 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) |  1962.61 ± 17.37 |  457.34 ± 142.77 |               |                  |    4742.32 ± 865.19 |    4739.50 ± 865.19 |    4742.32 ± 865.19 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |    85.96 ± 10.08 |     22.31 ± 2.97 | 114.00 ± 5.35 |     22.80 ± 2.99 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) |  2944.27 ± 29.72 |  2944.27 ± 29.72 |               |                  |   11134.28 ± 111.59 |   11131.46 ± 111.59 |   11134.28 ± 111.59 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |     32.23 ± 1.37 |     32.23 ± 1.37 |  33.00 ± 1.41 |     33.00 ± 1.41 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) |    908.46 ± 4.09 |    908.46 ± 4.09 |               |                  |     2257.24 ± 10.16 |     2254.42 ± 10.16 |     2257.24 ± 10.16 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |     38.25 ± 3.24 |     38.25 ± 3.24 |  38.67 ± 3.09 |     38.67 ± 3.09 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) |   2992.12 ± 1.26 | 1957.79 ± 461.50 |               |                  |  17726.00 ± 4177.89 |  17723.18 ± 4177.89 |  17726.00 ± 4177.89 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |     16.64 ± 2.07 |    18.48 ± 11.43 |  38.00 ± 0.82 |    19.00 ± 11.49 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) |  1331.42 ± 10.48 |   706.82 ± 91.58 |               |                  |    2940.38 ± 309.38 |    2937.56 ± 309.38 |    2940.38 ± 309.38 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |     58.91 ± 7.88 |     30.93 ± 3.19 |  63.00 ± 5.89 |     31.50 ± 3.10 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c5) |  2985.93 ± 11.04 | 1192.57 ± 652.98 |               |                  | 34969.18 ± 14758.93 | 34966.36 ± 14758.93 | 34969.18 ± 14758.93 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c5) |     12.78 ± 0.34 |      8.11 ± 6.92 |  42.67 ± 1.70 |      8.60 ± 6.93 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c5) |   1856.77 ± 2.64 |  493.12 ± 203.94 |               |                  |   4674.76 ± 1266.87 |   4671.93 ± 1266.87 |   4674.76 ± 1266.87 |
| qwen3.8-flash-next |  tg128 @ d32768 (c5) |     69.10 ± 2.50 |     20.87 ± 3.64 | 107.00 ± 7.26 |     21.53 ± 3.65 |                     |                     |                     |
