| model              |                 test |      t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|-----------------:|-----------------:|--------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) | 2254.16 ± 138.11 | 2254.16 ± 138.11 |               |                  |      915.12 ± 54.50 |      912.17 ± 54.50 |      915.12 ± 54.50 |
| qwen3.8-flash-next |           tg128 (c1) |     34.72 ± 3.90 |     34.72 ± 3.90 |  35.00 ± 3.74 |     35.00 ± 3.74 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) |  2780.02 ± 13.06 |  1404.59 ± 13.02 |               |                  |     1461.74 ± 13.25 |     1458.79 ± 13.25 |     1461.74 ± 13.25 |
| qwen3.8-flash-next |           tg128 (c2) |     56.65 ± 3.64 |     29.34 ± 1.78 |  59.67 ± 2.87 |     29.83 ± 1.67 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) |   2941.58 ± 8.32 |  685.61 ± 172.11 |               |                  |    3136.20 ± 576.96 |    3133.26 ± 576.96 |    3136.20 ± 576.96 |
| qwen3.8-flash-next |           tg128 (c5) |     82.80 ± 2.78 |     21.66 ± 2.48 | 110.33 ± 3.86 |     22.07 ± 2.52 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) |  2693.83 ± 17.82 |  2693.83 ± 17.82 |               |                  |       763.86 ± 5.19 |       760.91 ± 5.19 |       763.86 ± 5.19 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |     32.67 ± 1.31 |     32.67 ± 1.31 |  33.00 ± 1.41 |     33.00 ± 1.41 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) |  1427.19 ± 44.71 |  1427.19 ± 44.71 |               |                  |     1439.32 ± 44.33 |     1436.37 ± 44.33 |     1439.32 ± 44.33 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |     38.65 ± 3.66 |     38.65 ± 3.66 |  39.00 ± 3.56 |     39.00 ± 3.56 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) | 2760.97 ± 101.43 |  1386.68 ± 51.44 |               |                  |     1483.26 ± 56.07 |     1480.32 ± 56.07 |     1483.26 ± 56.07 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |     58.78 ± 3.43 |     30.98 ± 2.14 |  62.67 ± 2.49 |     31.33 ± 2.13 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) | 1769.71 ± 206.48 |   891.50 ± 96.36 |               |                  |    2329.74 ± 273.40 |    2326.80 ± 273.40 |    2329.74 ± 273.40 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |     58.62 ± 4.38 |     31.06 ± 2.70 |  63.33 ± 3.77 |     31.67 ± 2.81 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) |  2998.08 ± 39.51 |   645.70 ± 78.37 |               |                  |    3217.81 ± 331.71 |    3214.86 ± 331.71 |    3217.81 ± 331.71 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |     89.40 ± 1.57 |     20.53 ± 1.30 | 104.33 ± 2.36 |     20.87 ± 1.26 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) |  1826.32 ± 16.57 |  468.21 ± 152.33 |               |                  |   4693.12 ± 1027.28 |   4690.17 ± 1027.28 |   4693.12 ± 1027.28 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |     77.21 ± 7.41 |     20.11 ± 3.10 | 103.00 ± 3.27 |     20.60 ± 3.12 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) |   2821.23 ± 4.80 |   2821.23 ± 4.80 |               |                  |      1455.63 ± 2.59 |      1452.68 ± 2.59 |      1455.63 ± 2.59 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |     33.62 ± 2.03 |     33.62 ± 2.03 |  34.00 ± 2.16 |     34.00 ± 2.16 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |   960.80 ± 23.56 |   960.80 ± 23.56 |               |                  |     2135.82 ± 53.20 |     2132.87 ± 53.20 |     2135.82 ± 53.20 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |     34.96 ± 1.98 |     34.96 ± 1.98 |  35.67 ± 2.05 |     35.67 ± 2.05 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) |  2867.56 ± 50.11 |  1437.11 ± 24.90 |               |                  |     2855.37 ± 50.04 |     2852.42 ± 50.04 |     2855.37 ± 50.04 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |     57.89 ± 2.67 |     30.74 ± 2.94 |  62.33 ± 4.11 |     31.17 ± 2.91 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) |   1428.88 ± 1.86 |  802.94 ± 123.81 |               |                  |    2609.44 ± 362.41 |    2606.49 ± 362.41 |    2609.44 ± 362.41 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |     58.79 ± 5.26 |     32.26 ± 2.59 |  65.33 ± 3.30 |     32.67 ± 2.69 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) |  2988.92 ± 25.88 |  724.42 ± 166.47 |               |                  |   5916.60 ± 1128.12 |   5913.65 ± 1128.12 |   5916.60 ± 1128.12 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |     68.21 ± 1.85 |     18.88 ± 3.15 |  96.33 ± 1.25 |     19.27 ± 3.02 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) |  1990.77 ± 36.60 |  498.50 ± 184.75 |               |                  |   4483.65 ± 1023.86 |   4480.70 ± 1023.86 |   4483.65 ± 1023.86 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |    76.38 ± 10.91 |     21.63 ± 3.76 | 110.00 ± 6.38 |     22.00 ± 3.71 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) |  2901.75 ± 49.93 |  2901.75 ± 49.93 |               |                  |     2827.61 ± 49.17 |     2824.66 ± 49.17 |     2827.61 ± 49.17 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |     39.22 ± 8.32 |     39.22 ± 8.32 |  39.67 ± 8.06 |     39.67 ± 8.06 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |    957.19 ± 5.36 |    957.19 ± 5.36 |               |                  |     2142.62 ± 12.03 |     2139.67 ± 12.03 |     2142.62 ± 12.03 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |     36.77 ± 2.81 |     36.77 ± 2.81 |  37.33 ± 2.87 |     37.33 ± 2.87 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) |   2971.32 ± 6.37 |  1511.21 ± 24.94 |               |                  |     5426.58 ± 89.29 |     5423.63 ± 89.29 |     5426.58 ± 89.29 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |     54.38 ± 1.64 |     28.71 ± 1.16 |  59.00 ± 0.82 |     29.50 ± 1.12 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) |   1400.43 ± 4.35 |   744.45 ± 97.04 |               |                  |    2792.41 ± 294.91 |    2789.46 ± 294.91 |    2792.41 ± 294.91 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |     57.07 ± 5.29 |     30.19 ± 3.13 |  61.33 ± 4.99 |     30.67 ± 3.04 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) |   2999.54 ± 0.99 |  907.35 ± 350.61 |               |                  |  10228.51 ± 3196.52 |  10225.57 ± 3196.52 |  10228.51 ± 3196.52 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |     42.46 ± 0.24 |     15.23 ± 5.33 |  78.67 ± 3.86 |     15.80 ± 5.38 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) |   1949.97 ± 3.43 |  524.19 ± 217.86 |               |                  |   4403.56 ± 1201.14 |   4400.61 ± 1201.14 |   4403.56 ± 1201.14 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |     68.93 ± 0.20 |     19.36 ± 2.85 |  99.33 ± 3.68 |     19.87 ± 2.85 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) |   2960.15 ± 5.56 |   2960.15 ± 5.56 |               |                  |     5538.50 ± 10.40 |     5535.55 ± 10.40 |     5538.50 ± 10.40 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |     31.74 ± 3.59 |     31.74 ± 3.59 |  32.00 ± 3.56 |     32.00 ± 3.56 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) |    931.10 ± 3.94 |    931.10 ± 3.94 |               |                  |      2202.52 ± 9.28 |      2199.58 ± 9.28 |      2202.52 ± 9.28 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |     34.16 ± 0.82 |     34.16 ± 0.82 |  34.33 ± 0.94 |     34.33 ± 0.94 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) |   2984.31 ± 6.54 | 1819.43 ± 349.29 |               |                  |   9333.08 ± 1699.90 |   9330.13 ± 1699.90 |   9333.08 ± 1699.90 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |     33.27 ± 3.11 |     22.94 ± 6.28 |  46.67 ± 3.30 |     23.33 ± 6.26 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) | 1220.87 ± 175.95 |   612.53 ± 87.64 |               |                  |    3424.16 ± 543.25 |    3421.21 ± 543.25 |    3424.16 ± 543.25 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |     57.30 ± 2.77 |     30.08 ± 1.75 |  61.00 ± 0.82 |     30.50 ± 1.89 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) |   3007.90 ± 8.40 | 1105.45 ± 578.09 |               |                  |  18300.34 ± 7122.79 |  18297.39 ± 7122.79 |  18300.34 ± 7122.79 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |     23.99 ± 0.62 |     10.55 ± 5.15 |  55.00 ± 0.82 |     11.07 ± 5.14 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) | 1796.56 ± 158.45 |  464.01 ± 191.61 |               |                  |   4932.87 ± 1308.60 |   4929.93 ± 1308.60 |   4932.87 ± 1308.60 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |     70.30 ± 3.30 |     19.90 ± 3.19 | 102.00 ± 0.82 |     20.40 ± 3.14 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) |  2943.32 ± 14.44 |  2943.32 ± 14.44 |               |                  |    11136.79 ± 54.89 |    11133.85 ± 54.89 |    11136.79 ± 54.89 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |     29.67 ± 1.23 |     29.67 ± 1.23 |  30.00 ± 1.41 |     30.00 ± 1.41 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) |    887.27 ± 1.60 |    887.27 ± 1.60 |               |                  |      2311.16 ± 4.16 |      2308.22 ± 4.16 |      2311.16 ± 4.16 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |     35.02 ± 3.48 |     35.02 ± 3.48 |  35.33 ± 3.40 |     35.33 ± 3.40 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) |   2960.16 ± 2.03 | 1932.84 ± 452.53 |               |                  |  17940.57 ± 4199.67 |  17937.62 ± 4199.67 |  17940.57 ± 4199.67 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |     19.91 ± 0.18 |    20.19 ± 10.30 |  41.33 ± 1.70 |    20.67 ± 10.40 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) |   1301.41 ± 0.30 |    652.11 ± 0.73 |               |                  |      3143.51 ± 3.50 |      3140.56 ± 3.50 |      3143.51 ± 3.50 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |     62.49 ± 3.39 |     32.91 ± 2.27 |  67.00 ± 0.82 |     33.50 ± 2.14 |                     |                     |                     |
