| model                         |                  test |      t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:------------------------------|----------------------:|-----------------:|-----------------:|--------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen38-flash-next-capfit-mtp2 |           pp2048 (c1) | 1761.04 ± 330.87 | 1761.04 ± 330.87 |               |                  |    1214.83 ± 257.17 |    1211.71 ± 257.17 |    1214.83 ± 257.17 |
| qwen38-flash-next-capfit-mtp2 |            tg128 (c1) |     40.78 ± 0.87 |     40.78 ± 0.87 |  46.33 ± 1.70 |     46.33 ± 1.70 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp2 |           pp2048 (c2) |  2459.76 ± 20.99 | 1828.42 ± 599.08 |               |                  |    1257.69 ± 409.04 |    1254.57 ± 409.04 |    1257.69 ± 409.04 |
| qwen38-flash-next-capfit-mtp2 |            tg128 (c2) |     48.37 ± 3.52 |     27.46 ± 2.89 |  71.33 ± 3.40 |     36.33 ± 2.49 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp2 |           pp2048 (c5) |  2927.65 ± 63.92 |  871.47 ± 498.33 |               |                  |    2752.62 ± 793.62 |    2749.51 ± 793.62 |    2752.62 ± 793.62 |
| qwen38-flash-next-capfit-mtp2 |            tg128 (c5) |     90.88 ± 8.91 |     22.23 ± 2.77 | 145.00 ± 3.74 |     31.27 ± 1.77 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp2 |          pp2048 (c10) |  1596.13 ± 41.72 |  575.59 ± 536.22 |               |                  |   5786.12 ± 3530.65 |   5783.00 ± 3530.65 |   5786.12 ± 3530.65 |
| qwen38-flash-next-capfit-mtp2 |           tg128 (c10) |     80.46 ± 0.87 |     18.39 ± 6.28 | 198.33 ± 5.25 |     29.63 ± 4.90 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp2 |  ctx_pp @ d16384 (c1) |  2973.35 ± 11.22 |  2973.35 ± 11.22 |               |                  |     5514.05 ± 20.92 |     5510.93 ± 20.92 |     5514.56 ± 20.24 |
| qwen38-flash-next-capfit-mtp2 |  ctx_tg @ d16384 (c1) |     33.49 ± 1.36 |     33.49 ± 1.36 |  41.33 ± 2.49 |     41.33 ± 2.49 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp2 |  pp2048 @ d16384 (c1) |    330.40 ± 0.26 |    330.40 ± 0.26 |               |                  |      6201.66 ± 4.79 |      6198.54 ± 4.79 |      6201.66 ± 4.79 |
| qwen38-flash-next-capfit-mtp2 |   tg128 @ d16384 (c1) |     37.26 ± 1.55 |     37.26 ± 1.55 |  43.00 ± 1.41 |     43.00 ± 1.41 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp2 |  ctx_pp @ d16384 (c2) |   2989.75 ± 3.34 | 1772.47 ± 277.16 |               |                  |   9479.62 ± 1481.73 |   9476.51 ± 1481.73 |   9480.53 ± 1480.83 |
| qwen38-flash-next-capfit-mtp2 |  ctx_tg @ d16384 (c2) |     32.31 ± 4.39 |     25.03 ± 6.92 |  66.67 ± 2.05 |     36.50 ± 2.63 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp2 |  pp2048 @ d16384 (c2) |    333.55 ± 0.56 |   211.50 ± 44.67 |               |                  |  10138.28 ± 2140.54 |  10135.16 ± 2140.54 |  10138.75 ± 2141.01 |
| qwen38-flash-next-capfit-mtp2 |   tg128 @ d16384 (c2) |     29.56 ± 0.78 |     22.47 ± 7.38 |  76.67 ± 3.30 |     38.83 ± 2.54 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp2 |  ctx_pp @ d16384 (c5) |   2984.57 ± 2.59 | 1081.16 ± 532.65 |               |                  |  18453.83 ± 7094.21 |  18450.71 ± 7094.21 |  18454.35 ± 7094.29 |
| qwen38-flash-next-capfit-mtp2 |  ctx_tg @ d16384 (c5) |     25.41 ± 0.07 |     11.98 ± 6.64 | 128.67 ± 2.62 |     29.07 ± 1.81 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp2 |  pp2048 @ d16384 (c5) |    331.52 ± 0.01 |   131.46 ± 69.12 |               |                  |  19716.14 ± 8455.16 |  19713.03 ± 8455.16 |  19716.21 ± 8455.25 |
| qwen38-flash-next-capfit-mtp2 |   tg128 @ d16384 (c5) |     22.55 ± 0.13 |     11.69 ± 7.88 | 139.67 ± 4.19 |     31.33 ± 2.70 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp2 | ctx_pp @ d16384 (c10) |  2720.72 ± 24.25 |  715.40 ± 524.66 |               |                  | 33150.46 ± 16607.32 | 33147.34 ± 16607.32 | 33150.70 ± 16607.11 |
| qwen38-flash-next-capfit-mtp2 | ctx_tg @ d16384 (c10) |     21.93 ± 0.38 |      8.35 ± 7.87 | 169.00 ± 1.63 |     27.13 ± 4.98 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp2 | pp2048 @ d16384 (c10) |    305.21 ± 1.12 |    85.63 ± 66.39 |               |                  | 36011.03 ± 18660.73 | 36007.91 ± 18660.73 | 36011.42 ± 18660.52 |
| qwen38-flash-next-capfit-mtp2 |  tg128 @ d16384 (c10) |     20.05 ± 0.04 |      7.58 ± 8.04 | 182.00 ± 4.08 |     28.63 ± 5.15 |                     |                     |                     |
