| model                         |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:------------------------------|----------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen38-flash-next-capfit-mtp4 |           pp2048 (c1) | 1687.97 ± 209.19 | 1687.97 ± 209.19 |                |                  |    1237.05 ± 163.88 |    1234.16 ± 163.88 |    1237.05 ± 163.88 |
| qwen38-flash-next-capfit-mtp4 |            tg128 (c1) |     32.12 ± 0.74 |     32.12 ± 0.74 |   39.33 ± 2.87 |     39.33 ± 2.87 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp4 |           pp2048 (c2) | 2249.49 ± 187.59 | 1606.20 ± 529.92 |                |                  |    1420.65 ± 441.05 |    1417.76 ± 441.05 |    1420.65 ± 441.05 |
| qwen38-flash-next-capfit-mtp4 |            tg128 (c2) |     46.50 ± 0.79 |     27.16 ± 3.24 |   70.67 ± 3.86 |     38.50 ± 5.74 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp4 |           pp2048 (c5) |  2898.10 ± 73.22 |  951.98 ± 573.91 |                |                  |   2758.01 ± 1053.77 |   2755.12 ± 1053.77 |   2758.01 ± 1053.77 |
| qwen38-flash-next-capfit-mtp4 |            tg128 (c5) |     75.94 ± 1.83 |     21.18 ± 3.60 |  140.33 ± 6.13 |     32.07 ± 3.49 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp4 |          pp2048 (c10) |  1533.41 ± 53.72 |  495.21 ± 239.93 |                |                  |   5737.52 ± 3727.25 |   5734.62 ± 3727.25 |   5737.52 ± 3727.25 |
| qwen38-flash-next-capfit-mtp4 |           tg128 (c10) |     84.25 ± 1.65 |     16.96 ± 6.44 |  187.67 ± 7.93 |     29.27 ± 6.47 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp4 |  ctx_pp @ d16384 (c1) |   2951.23 ± 3.19 |   2951.23 ± 3.19 |                |                  |      5555.16 ± 6.01 |      5552.27 ± 6.01 |      5555.65 ± 6.59 |
| qwen38-flash-next-capfit-mtp4 |  ctx_tg @ d16384 (c1) |     28.61 ± 0.81 |     28.61 ± 0.81 |   36.00 ± 1.63 |     36.00 ± 1.63 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp4 |  pp2048 @ d16384 (c1) |    328.65 ± 0.50 |    328.65 ± 0.50 |                |                  |      6234.38 ± 9.54 |      6231.49 ± 9.54 |      6234.38 ± 9.54 |
| qwen38-flash-next-capfit-mtp4 |   tg128 @ d16384 (c1) |     33.19 ± 3.15 |     33.19 ± 3.15 |   43.00 ± 8.04 |     43.00 ± 8.04 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp4 |  ctx_pp @ d16384 (c2) |   2974.92 ± 2.93 | 1764.30 ± 276.49 |                |                  |   9524.43 ± 1491.95 |   9521.54 ± 1491.95 |   9524.43 ± 1491.95 |
| qwen38-flash-next-capfit-mtp4 |  ctx_tg @ d16384 (c2) |     32.62 ± 1.72 |     22.39 ± 5.92 |   66.00 ± 4.97 |     37.50 ± 4.31 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp4 |  pp2048 @ d16384 (c2) |    331.30 ± 1.55 |   209.98 ± 44.30 |                |                  |  10210.68 ± 2153.34 |  10207.79 ± 2153.34 |  10211.10 ± 2152.94 |
| qwen38-flash-next-capfit-mtp4 |   tg128 @ d16384 (c2) |     28.66 ± 0.70 |     21.88 ± 7.47 |   70.33 ± 4.11 |     36.83 ± 2.11 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp4 |  ctx_pp @ d16384 (c5) |   2960.94 ± 1.02 | 1074.26 ± 529.51 |                |                  |  18578.87 ± 7151.96 |  18575.98 ± 7151.96 |  18578.87 ± 7151.96 |
| qwen38-flash-next-capfit-mtp4 |  ctx_tg @ d16384 (c5) |     24.05 ± 0.19 |     10.84 ± 5.91 |  112.00 ± 4.97 |     27.93 ± 4.82 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp4 |  pp2048 @ d16384 (c5) |    329.03 ± 0.15 |   130.63 ± 68.74 |                |                  |  19851.97 ± 8523.88 |  19849.08 ± 8523.88 |  19852.51 ± 8523.25 |
| qwen38-flash-next-capfit-mtp4 |   tg128 @ d16384 (c5) |     20.85 ± 1.72 |     10.53 ± 6.99 | 135.33 ± 12.66 |     30.93 ± 7.54 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp4 | ctx_pp @ d16384 (c10) |   2659.38 ± 8.03 |  710.35 ± 522.74 |                |                  | 33502.11 ± 16905.02 | 33499.22 ± 16905.02 | 33502.54 ± 16905.07 |
| qwen38-flash-next-capfit-mtp4 | ctx_tg @ d16384 (c10) |     21.35 ± 0.15 |      7.15 ± 6.55 |  152.33 ± 7.13 |     25.17 ± 4.63 |                     |                     |                     |
| qwen38-flash-next-capfit-mtp4 | pp2048 @ d16384 (c10) |    301.78 ± 0.28 |    85.33 ± 66.60 |                |                  | 36343.72 ± 18971.17 | 36340.82 ± 18971.17 | 36344.05 ± 18971.13 |
| qwen38-flash-next-capfit-mtp4 |  tg128 @ d16384 (c10) |     19.61 ± 0.19 |      6.94 ± 7.00 |  166.33 ± 6.02 |     27.77 ± 5.75 |                     |                     |                     |
