| model              |                 test |      t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|-----------------:|-----------------:|--------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) | 2289.01 ± 369.79 | 2289.01 ± 369.79 |               |                  |     925.82 ± 167.95 |     922.12 ± 167.95 |     925.82 ± 167.95 |
| qwen3.8-flash-next |           tg128 (c1) |     35.50 ± 3.49 |     35.50 ± 3.49 |  36.33 ± 3.40 |     36.33 ± 3.40 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) |  2825.04 ± 16.04 |  1426.89 ± 13.21 |               |                  |     1439.93 ± 13.17 |     1436.23 ± 13.17 |     1439.93 ± 13.17 |
| qwen3.8-flash-next |           tg128 (c2) |     61.17 ± 7.45 |     31.43 ± 3.52 |  63.67 ± 6.24 |     31.83 ± 3.34 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) |   3099.39 ± 8.97 |   661.15 ± 76.79 |               |                  |    3138.86 ± 310.26 |    3135.16 ± 310.26 |    3138.86 ± 310.26 |
| qwen3.8-flash-next |           tg128 (c5) |     98.52 ± 2.39 |     23.18 ± 1.54 | 118.33 ± 2.05 |     23.73 ± 1.61 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) | 2313.09 ± 575.11 | 2313.09 ± 575.11 |               |                  |     961.38 ± 288.41 |     957.68 ± 288.41 |     961.38 ± 288.41 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |     34.76 ± 4.81 |     34.76 ± 4.81 |  35.33 ± 4.92 |     35.33 ± 4.92 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) |  1459.35 ± 30.87 |  1459.35 ± 30.87 |               |                  |     1407.68 ± 29.26 |     1403.98 ± 29.26 |     1407.68 ± 29.26 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |     33.37 ± 1.78 |     33.37 ± 1.78 |  34.00 ± 1.63 |     34.00 ± 1.63 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) | 2353.88 ± 621.29 | 1183.16 ± 313.22 |               |                  |    1899.15 ± 615.84 |    1895.46 ± 615.84 |    1899.15 ± 615.84 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |     49.99 ± 6.77 |     26.00 ± 3.18 |  53.00 ± 6.53 |     26.50 ± 3.50 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) | 1632.56 ± 436.35 |  821.06 ± 216.91 |               |                  |    2732.29 ± 886.85 |    2728.59 ± 886.85 |    2732.29 ± 886.85 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |     63.93 ± 0.78 |     33.28 ± 1.46 |  68.00 ± 0.82 |     34.00 ± 1.53 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) | 2768.21 ± 377.09 |  599.79 ± 112.45 |               |                  |    3545.42 ± 676.41 |    3541.73 ± 676.41 |    3545.42 ± 676.41 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |     90.30 ± 7.51 |     22.16 ± 2.64 | 113.33 ± 4.03 |     22.67 ± 2.55 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) |   1862.58 ± 3.01 |  473.09 ± 137.77 |               |                  |   4623.89 ± 1023.70 |   4620.19 ± 1023.70 |   4623.89 ± 1023.70 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |     74.47 ± 8.04 |     19.89 ± 3.37 | 102.33 ± 8.18 |     20.47 ± 3.36 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) |   2870.50 ± 9.51 |   2870.50 ± 9.51 |               |                  |      1431.22 ± 4.79 |      1427.52 ± 4.79 |      1431.22 ± 4.79 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |     36.48 ± 3.07 |     36.48 ± 3.07 |  37.00 ± 2.94 |     37.00 ± 2.94 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |    986.05 ± 3.69 |    986.05 ± 3.69 |               |                  |      2080.70 ± 7.76 |      2077.00 ± 7.76 |      2080.70 ± 7.76 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |     34.33 ± 3.31 |     34.33 ± 3.31 |  35.00 ± 3.27 |     35.00 ± 3.27 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) |   2950.74 ± 4.33 |   1479.31 ± 2.72 |               |                  |      2773.92 ± 5.09 |      2770.23 ± 5.09 |      2773.92 ± 5.09 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |     57.99 ± 6.36 |     31.79 ± 2.20 |  64.67 ± 3.68 |     32.33 ± 2.13 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) | 1285.18 ± 213.89 |   681.54 ± 91.60 |               |                  |    3076.37 ± 507.12 |    3072.68 ± 507.12 |    3076.37 ± 507.12 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |     56.81 ± 6.29 |     34.27 ± 7.20 |  69.67 ± 9.57 |     34.83 ± 7.06 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) | 2880.44 ± 226.15 |  691.77 ± 167.43 |               |                  |   6226.22 ± 1265.43 |   6222.52 ± 1265.43 |   6226.22 ± 1265.43 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |     67.97 ± 1.57 |     18.98 ± 3.34 |  97.67 ± 3.30 |     19.53 ± 3.40 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) |  1982.96 ± 41.11 |  510.16 ± 204.17 |               |                  |   4468.20 ± 1148.31 |   4464.50 ± 1148.31 |   4468.20 ± 1148.31 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |     74.06 ± 3.62 |     21.85 ± 3.70 | 111.67 ± 5.25 |     22.33 ± 3.79 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) | 2796.19 ± 246.90 | 2796.19 ± 246.90 |               |                  |    2958.69 ± 278.30 |    2954.99 ± 278.30 |    2958.69 ± 278.30 |
