| model                       |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:----------------------------|----------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen38-flash-next-capfit-ep |           pp2048 (c1) | 1840.92 ± 470.74 | 1840.92 ± 470.74 |                |                  |    1209.90 ± 370.13 |    1207.21 ± 370.13 |    1209.90 ± 370.13 |
| qwen38-flash-next-capfit-ep |            tg128 (c1) |     34.71 ± 1.81 |     34.71 ± 1.81 |   44.00 ± 1.41 |     44.00 ± 1.41 |                     |                     |                     |
| qwen38-flash-next-capfit-ep |           pp2048 (c2) |  2619.22 ± 40.71 | 1954.21 ± 644.76 |                |                  |    1178.61 ± 386.88 |    1175.92 ± 386.88 |    1178.61 ± 386.88 |
| qwen38-flash-next-capfit-ep |            tg128 (c2) |     53.43 ± 4.31 |     30.00 ± 3.90 |   75.67 ± 6.13 |     39.00 ± 2.71 |                     |                     |                     |
| qwen38-flash-next-capfit-ep |           pp2048 (c5) |  2985.00 ± 10.05 | 1046.18 ± 850.10 |                |                  |   2792.21 ± 1024.08 |   2789.52 ± 1024.08 |   2792.21 ± 1024.08 |
| qwen38-flash-next-capfit-ep |            tg128 (c5) |     78.68 ± 1.57 |     22.91 ± 3.70 |  147.67 ± 8.99 |     33.20 ± 3.66 |                     |                     |                     |
| qwen38-flash-next-capfit-ep |          pp2048 (c10) |  1665.96 ± 59.59 |  594.54 ± 509.46 |                |                  |   5400.71 ± 3488.16 |   5398.01 ± 3488.16 |   5400.71 ± 3488.16 |
| qwen38-flash-next-capfit-ep |           tg128 (c10) |     84.39 ± 5.98 |     17.50 ± 5.58 | 185.33 ± 11.61 |     30.17 ± 6.72 |                     |                     |                     |
| qwen38-flash-next-capfit-ep |  ctx_pp @ d16384 (c1) |   3141.90 ± 8.30 |   3141.90 ± 8.30 |                |                  |     5218.04 ± 13.76 |     5215.34 ± 13.76 |     5218.04 ± 13.76 |
| qwen38-flash-next-capfit-ep |  ctx_tg @ d16384 (c1) |     30.14 ± 1.42 |     30.14 ± 1.42 |   38.67 ± 3.77 |     38.67 ± 3.77 |                     |                     |                     |
| qwen38-flash-next-capfit-ep |  pp2048 @ d16384 (c1) |    349.02 ± 1.15 |    349.02 ± 1.15 |                |                  |     5870.66 ± 19.36 |     5867.97 ± 19.36 |     5870.66 ± 19.36 |
| qwen38-flash-next-capfit-ep |   tg128 @ d16384 (c1) |     34.16 ± 2.12 |     34.16 ± 2.12 |   44.00 ± 1.41 |     44.00 ± 1.41 |                     |                     |                     |
| qwen38-flash-next-capfit-ep |  ctx_pp @ d16384 (c2) |   3165.30 ± 7.35 | 1881.16 ± 298.07 |                |                  |   8937.57 ± 1415.58 |   8934.87 ± 1415.58 |   8937.72 ± 1415.74 |
| qwen38-flash-next-capfit-ep |  ctx_tg @ d16384 (c2) |     32.98 ± 0.56 |     21.56 ± 4.70 |   60.33 ± 1.25 |     34.17 ± 1.07 |                     |                     |                     |
| qwen38-flash-next-capfit-ep |  pp2048 @ d16384 (c2) |    354.07 ± 0.40 |   225.04 ± 47.96 |                |                  |   9536.30 ± 2031.84 |   9533.61 ± 2031.84 |   9536.76 ± 2031.37 |
| qwen38-flash-next-capfit-ep |   tg128 @ d16384 (c2) |     29.55 ± 0.49 |     22.33 ± 7.60 |   73.00 ± 5.35 |     38.00 ± 4.86 |                     |                     |                     |
| qwen38-flash-next-capfit-ep |  ctx_pp @ d16384 (c5) |   3145.35 ± 2.87 | 1142.33 ± 564.41 |                |                  |  17485.04 ± 6739.98 |  17482.35 ± 6739.98 |  17485.25 ± 6740.16 |
| qwen38-flash-next-capfit-ep |  ctx_tg @ d16384 (c5) |     25.55 ± 0.86 |     11.65 ± 6.34 | 128.33 ± 10.62 |     29.67 ± 3.53 |                     |                     |                     |
| qwen38-flash-next-capfit-ep |  pp2048 @ d16384 (c5) |    348.96 ± 0.03 |   138.78 ± 73.25 |                |                  |  18706.54 ± 8043.92 |  18703.84 ± 8043.92 |  18707.02 ± 8043.91 |
| qwen38-flash-next-capfit-ep |   tg128 @ d16384 (c5) |     23.34 ± 0.33 |     11.43 ± 7.23 |  137.67 ± 7.85 |     32.27 ± 4.92 |                     |                     |                     |
| qwen38-flash-next-capfit-ep | ctx_pp @ d16384 (c10) |  2840.01 ± 12.01 |  756.86 ± 556.66 |                |                  | 31344.75 ± 15667.38 | 31342.05 ± 15667.38 | 31345.22 ± 15667.27 |
| qwen38-flash-next-capfit-ep | ctx_tg @ d16384 (c10) |     22.97 ± 0.17 |      7.94 ± 7.90 |  172.00 ± 2.94 |     27.87 ± 5.20 |                     |                     |                     |
| qwen38-flash-next-capfit-ep | pp2048 @ d16384 (c10) |    321.14 ± 0.58 |    90.72 ± 70.94 |                |                  | 34210.94 ± 17849.53 | 34208.25 ± 17849.53 | 34211.19 ± 17849.41 |
| qwen38-flash-next-capfit-ep |  tg128 @ d16384 (c10) |     20.87 ± 0.07 |      7.42 ± 7.26 |  187.00 ± 4.32 |     29.33 ± 5.83 |                     |                     |                     |
