| model              |                 test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) | 2379.69 ± 188.79 | 2379.69 ± 188.79 |                |                  |      869.02 ± 65.09 |      866.20 ± 65.09 |      869.02 ± 65.09 |
| qwen3.8-flash-next |           tg128 (c1) |     36.30 ± 2.31 |     36.30 ± 2.31 |   36.67 ± 2.05 |     36.67 ± 2.05 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) |  2802.57 ± 33.12 |  1414.61 ± 19.48 |                |                  |     1451.55 ± 20.07 |     1448.73 ± 20.07 |     1451.55 ± 20.07 |
| qwen3.8-flash-next |           tg128 (c2) |     63.77 ± 1.98 |     33.45 ± 1.76 |   68.00 ± 1.41 |     34.00 ± 1.53 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) |  3048.77 ± 58.03 |  670.35 ± 119.80 |                |                  |    3133.28 ± 417.92 |    3130.45 ± 417.92 |    3133.28 ± 417.92 |
| qwen3.8-flash-next |           tg128 (c5) |     93.93 ± 6.38 |     23.17 ± 2.11 |  118.67 ± 3.68 |     23.73 ± 2.17 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) |  2707.03 ± 20.92 |  2707.03 ± 20.92 |                |                  |       760.16 ± 5.82 |       757.33 ± 5.82 |       760.16 ± 5.82 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |     33.88 ± 0.95 |     33.88 ± 0.95 |   34.33 ± 1.25 |     34.33 ± 1.25 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) | 1317.20 ± 159.28 | 1317.20 ± 159.28 |                |                  |    1582.91 ± 208.92 |    1580.08 ± 208.92 |    1582.91 ± 208.92 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |     35.72 ± 2.20 |     35.72 ± 2.20 |   36.33 ± 2.05 |     36.33 ± 2.05 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) |   2818.52 ± 6.67 |   1415.37 ± 4.64 |                |                  |      1451.35 ± 4.57 |      1448.52 ± 4.57 |      1451.35 ± 4.57 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |     55.26 ± 2.72 |     29.20 ± 2.09 |   59.00 ± 2.94 |     29.50 ± 2.14 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) |   1940.94 ± 4.54 |    973.69 ± 5.39 |                |                  |     2106.22 ± 11.56 |     2103.40 ± 11.56 |     2106.22 ± 11.56 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |     62.01 ± 2.77 |     32.04 ± 1.89 |   65.00 ± 3.27 |     32.50 ± 2.06 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) |  2965.38 ± 76.89 |   642.64 ± 85.01 |                |                  |    3240.78 ± 365.06 |    3237.96 ± 365.06 |    3240.78 ± 365.06 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |     88.33 ± 6.20 |     21.37 ± 2.31 |  109.00 ± 6.98 |     21.80 ± 2.26 |                     |                     |                     |
