| model                     |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:--------------------------|----------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen38-flash-next-control |           pp2048 (c1) | 1674.93 ± 280.82 | 1674.93 ± 280.82 |                |                  |    1264.52 ± 233.52 |    1262.18 ± 233.52 |    1264.52 ± 233.52 |
| qwen38-flash-next-control |            tg128 (c1) |     32.72 ± 1.41 |     32.72 ± 1.41 |   42.67 ± 3.86 |     42.67 ± 3.86 |                     |                     |                     |
| qwen38-flash-next-control |           pp2048 (c2) |  2282.07 ± 20.56 | 1677.40 ± 534.88 |                |                  |    1361.95 ± 433.67 |    1359.61 ± 433.67 |    1361.95 ± 433.67 |
| qwen38-flash-next-control |            tg128 (c2) |     51.07 ± 3.99 |     29.19 ± 3.24 |   75.00 ± 2.94 |     38.67 ± 2.87 |                     |                     |                     |
| qwen38-flash-next-control |           pp2048 (c5) | 2688.89 ± 109.55 |  842.65 ± 585.47 |                |                  |   3156.70 ± 1096.85 |   3154.36 ± 1096.85 |   3156.70 ± 1096.85 |
| qwen38-flash-next-control |            tg128 (c5) |     76.98 ± 3.23 |     22.25 ± 3.56 | 143.67 ± 11.09 |     31.20 ± 2.32 |                     |                     |                     |
| qwen38-flash-next-control |          pp2048 (c10) |  1557.75 ± 23.10 |  503.41 ± 506.60 |                |                  |   6334.52 ± 3495.96 |   6332.18 ± 3495.96 |   6334.52 ± 3495.96 |
| qwen38-flash-next-control |           tg128 (c10) |     80.46 ± 4.69 |     18.82 ± 6.06 |  209.67 ± 6.65 |     30.10 ± 5.24 |                     |                     |                     |
| qwen38-flash-next-control |  ctx_pp @ d16384 (c1) |   2964.01 ± 5.53 |   2964.01 ± 5.53 |                |                  |     5530.68 ± 10.32 |     5528.34 ± 10.32 |     5530.68 ± 10.32 |
| qwen38-flash-next-control |  ctx_tg @ d16384 (c1) |     30.49 ± 1.12 |     30.49 ± 1.12 |   42.00 ± 3.74 |     42.00 ± 3.74 |                     |                     |                     |
| qwen38-flash-next-control |  pp2048 @ d16384 (c1) |    625.91 ± 2.35 |    625.91 ± 2.35 |                |                  |     3274.41 ± 12.30 |     3272.07 ± 12.30 |     3274.88 ± 11.95 |
| qwen38-flash-next-control |   tg128 @ d16384 (c1) |     33.72 ± 4.66 |     33.72 ± 4.66 |   44.00 ± 4.90 |     44.00 ± 4.90 |                     |                     |                     |
| qwen38-flash-next-control |  ctx_pp @ d16384 (c2) |   2954.01 ± 3.08 | 1760.33 ± 283.00 |                |                  |   9557.79 ± 1536.18 |   9555.45 ± 1536.18 |   9558.28 ± 1535.69 |
| qwen38-flash-next-control |  ctx_tg @ d16384 (c2) |     29.67 ± 2.89 |     20.67 ± 5.94 |   61.33 ± 5.44 |     32.00 ± 3.00 |                     |                     |                     |
| qwen38-flash-next-control |  pp2048 @ d16384 (c2) |    642.14 ± 0.79 |   375.87 ± 54.66 |                |                  |    5568.72 ± 809.46 |    5566.38 ± 809.46 |    5568.72 ± 809.46 |
| qwen38-flash-next-control |   tg128 @ d16384 (c2) |     43.33 ± 1.43 |     27.28 ± 5.95 |   79.67 ± 3.68 |     42.33 ± 6.47 |                     |                     |                     |
| qwen38-flash-next-control |  ctx_pp @ d16384 (c5) |   2954.97 ± 1.88 |  999.68 ± 545.67 |                |                  |  20224.28 ± 7405.52 |  20221.94 ± 7405.52 |  20224.76 ± 7405.03 |
| qwen38-flash-next-control |  ctx_tg @ d16384 (c5) |     24.72 ± 0.29 |     13.59 ± 7.23 |  124.67 ± 4.50 |     29.60 ± 3.32 |                     |                     |                     |
| qwen38-flash-next-control |  pp2048 @ d16384 (c5) |    662.88 ± 0.31 |   189.99 ± 84.04 |                |                  |  12331.01 ± 3585.41 |  12328.67 ± 3585.41 |  12331.77 ± 3584.67 |
| qwen38-flash-next-control |   tg128 @ d16384 (c5) |     40.93 ± 0.39 |     17.05 ± 5.34 |  132.00 ± 2.94 |     29.13 ± 2.19 |                     |                     |                     |
| qwen38-flash-next-control | ctx_pp @ d16384 (c10) |  2647.37 ± 17.94 |  659.70 ± 508.72 |                |                  | 35433.98 ± 16656.32 | 35431.64 ± 16656.32 | 35434.22 ± 16656.13 |
| qwen38-flash-next-control | ctx_tg @ d16384 (c10) |     21.39 ± 0.20 |      8.45 ± 7.68 |  167.00 ± 2.94 |     27.20 ± 5.83 |                     |                     |                     |
| qwen38-flash-next-control | pp2048 @ d16384 (c10) |    551.69 ± 3.30 |   126.41 ± 83.73 |                |                  |  21330.51 ± 9223.47 |  21328.17 ± 9223.47 |  21331.12 ± 9223.37 |
| qwen38-flash-next-control |  tg128 @ d16384 (c10) |     35.27 ± 0.23 |     11.00 ± 7.32 |  189.67 ± 5.79 |     29.93 ± 5.12 |                     |                     |                     |
