| model              |                 test |       t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|------------------:|-----------------:|--------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) |  2400.09 ± 183.08 | 2400.09 ± 183.08 |               |                  |      863.52 ± 67.30 |      858.85 ± 67.30 |      863.52 ± 67.30 |
| qwen3.8-flash-next |           tg128 (c1) |      36.98 ± 4.53 |     36.98 ± 4.53 |  37.33 ± 4.71 |     37.33 ± 4.71 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) |  2742.84 ± 142.02 |  1382.06 ± 72.28 |               |                  |     1491.22 ± 80.58 |     1486.55 ± 80.58 |     1491.22 ± 80.58 |
| qwen3.8-flash-next |           tg128 (c2) |      60.60 ± 2.17 |     31.64 ± 1.77 |  64.00 ± 1.41 |     32.00 ± 1.73 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) |   2915.62 ± 85.65 |  665.65 ± 153.62 |               |                  |    3205.79 ± 535.79 |    3201.11 ± 535.79 |    3205.79 ± 535.79 |
| qwen3.8-flash-next |           tg128 (c5) |      89.87 ± 5.81 |     22.45 ± 2.37 | 115.33 ± 4.50 |     23.07 ± 2.43 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) |   2750.75 ± 24.78 |  2750.75 ± 24.78 |               |                  |       749.99 ± 6.75 |       745.31 ± 6.75 |       749.99 ± 6.75 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |      35.98 ± 1.26 |     35.98 ± 1.26 |  36.67 ± 1.25 |     36.67 ± 1.25 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) |   1380.57 ± 79.77 |  1380.57 ± 79.77 |               |                  |     1493.31 ± 89.68 |     1488.63 ± 89.68 |     1493.31 ± 89.68 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |      37.54 ± 1.14 |     37.54 ± 1.14 |  38.00 ± 1.41 |     38.00 ± 1.41 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) |   2799.71 ± 36.95 |  1408.24 ± 19.24 |               |                  |     1460.78 ± 19.96 |     1456.10 ± 19.96 |     1460.78 ± 19.96 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |      61.41 ± 4.36 |     32.05 ± 2.27 |  65.33 ± 3.77 |     32.67 ± 2.49 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) |    1945.88 ± 4.35 |    976.66 ± 4.62 |               |                  |      2101.67 ± 9.88 |      2096.99 ± 9.88 |      2101.67 ± 9.88 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |      64.60 ± 1.85 |     33.49 ± 1.50 |  68.00 ± 1.41 |     34.00 ± 1.29 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) |   3061.73 ± 31.47 |   655.13 ± 76.64 |               |                  |    3170.55 ± 315.72 |    3165.88 ± 315.72 |    3170.55 ± 315.72 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |      90.13 ± 1.71 |     21.36 ± 1.65 | 108.67 ± 0.94 |     21.73 ± 1.53 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) |   1841.74 ± 24.62 |  438.73 ± 156.24 |               |                  |    4997.99 ± 951.34 |    4993.31 ± 951.34 |    4997.99 ± 951.34 |
