| model              |                 test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) |  1331.47 ± 42.79 |  1331.47 ± 42.79 |                |                  |     1542.17 ± 48.95 |     1539.97 ± 48.95 |     1542.17 ± 48.95 |
| qwen3.8-flash-next |           tg128 (c1) |     27.04 ± 0.57 |     27.04 ± 0.57 |   27.67 ± 0.47 |     27.67 ± 0.47 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) | 1473.39 ± 104.18 |   741.90 ± 50.23 |                |                  |    2776.29 ± 180.97 |    2774.09 ± 180.97 |    2776.29 ± 180.97 |
| qwen3.8-flash-next |           tg128 (c2) |     47.73 ± 0.76 |     24.21 ± 0.45 |   49.33 ± 0.47 |     24.67 ± 0.47 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) | 2174.69 ± 673.55 |  460.12 ± 151.41 |                |                  |   4917.53 ± 1458.63 |   4915.33 ± 1458.63 |   4917.53 ± 1458.63 |
| qwen3.8-flash-next |           tg128 (c5) |    89.03 ± 20.45 |     21.02 ± 4.99 | 107.67 ± 23.11 |     21.53 ± 4.87 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) | 1865.17 ± 605.68 | 1865.17 ± 605.68 |                |                  |    1206.28 ± 325.43 |    1204.08 ± 325.43 |    1206.28 ± 325.43 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |     30.51 ± 6.40 |     30.51 ± 6.40 |   31.00 ± 6.38 |     31.00 ± 6.38 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) | 1013.20 ± 351.14 | 1013.20 ± 351.14 |                |                  |    2239.44 ± 623.10 |    2237.23 ± 623.10 |    2239.44 ± 623.10 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |     28.34 ± 3.49 |     28.34 ± 3.49 |   29.00 ± 3.27 |     29.00 ± 3.27 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) | 2367.85 ± 597.69 | 1188.32 ± 300.38 |                |                  |    1872.94 ± 575.52 |    1870.74 ± 575.52 |    1872.94 ± 575.52 |
