| model              |                 test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) | 1566.31 ± 161.03 | 1566.31 ± 161.03 |                |                  |    1325.80 ± 145.48 |    1323.11 ± 145.48 |    1325.80 ± 145.48 |
| qwen3.8-flash-next |           tg128 (c1) |     32.00 ± 2.34 |     32.00 ± 2.34 |   37.67 ± 2.62 |     37.67 ± 2.62 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) | 2183.81 ± 304.59 | 1527.18 ± 536.55 |                |                  |    1511.55 ± 494.76 |    1508.86 ± 494.76 |    1511.55 ± 494.76 |
| qwen3.8-flash-next |           tg128 (c2) |     48.59 ± 5.71 |     29.91 ± 8.99 |   71.67 ± 6.85 |     39.33 ± 7.91 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) |  2626.00 ± 62.01 | 1021.24 ± 785.63 |                |                  |   2876.69 ± 1196.52 |   2874.01 ± 1196.52 |   2876.69 ± 1196.52 |
| qwen3.8-flash-next |           tg128 (c5) |     65.08 ± 5.82 |     19.26 ± 3.84 |  132.33 ± 5.73 |     32.13 ± 2.83 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) |  2694.41 ± 78.69 |  2694.41 ± 78.69 |                |                  |      764.05 ± 22.40 |      761.36 ± 22.40 |      764.05 ± 22.40 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |     35.27 ± 4.27 |     35.27 ± 4.27 |   43.33 ± 5.91 |     43.33 ± 5.91 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) |  1338.90 ± 89.76 |  1338.90 ± 89.76 |                |                  |    1539.16 ± 102.45 |    1536.47 ± 102.45 |    1539.16 ± 102.45 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |     29.34 ± 3.98 |     29.34 ± 3.98 |   35.00 ± 7.48 |     35.00 ± 7.48 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) |  2551.93 ± 27.99 | 1775.04 ± 631.82 |                |                  |    1290.58 ± 375.24 |    1287.89 ± 375.24 |    1290.58 ± 375.24 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |     57.27 ± 7.93 |     32.04 ± 4.47 |   79.67 ± 9.03 |     41.00 ± 3.96 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) |  1350.65 ± 14.86 | 1029.79 ± 355.54 |                |                  |    2258.68 ± 775.16 |    2255.99 ± 775.16 |    2258.68 ± 775.16 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |     33.76 ± 7.61 |     22.41 ± 7.06 |  55.33 ± 10.34 |     31.00 ± 7.53 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) | 2511.12 ± 179.47 |  975.07 ± 709.75 |                |                  |   2863.29 ± 1161.62 |   2860.60 ± 1161.62 |   2863.29 ± 1161.62 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |    68.65 ± 15.05 |     21.66 ± 7.95 | 141.00 ± 18.46 |     32.80 ± 9.96 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) |  1331.18 ± 57.64 |  487.25 ± 358.44 |                |                  |   5611.51 ± 2126.78 |   5608.83 ± 2126.78 |   5611.51 ± 2126.78 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |     52.05 ± 1.33 |     18.00 ± 5.12 |  121.67 ± 2.62 |     30.40 ± 4.81 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) | 2647.41 ± 107.79 | 2647.41 ± 107.79 |                |                  |     1553.23 ± 64.29 |     1550.54 ± 64.29 |     1553.23 ± 64.29 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |     37.70 ± 7.24 |     37.70 ± 7.24 |   41.78 ± 8.34 |     41.78 ± 8.34 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |    930.34 ± 4.53 |    930.34 ± 4.53 |                |                  |     2204.08 ± 10.76 |     2201.39 ± 10.76 |     2204.08 ± 10.76 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |     30.69 ± 1.99 |     30.69 ± 1.99 |   36.00 ± 2.16 |     36.00 ± 2.16 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) |  2715.79 ± 20.75 | 1828.12 ± 644.93 |                |                  |    2492.74 ± 704.46 |    2490.06 ± 704.46 |    2492.74 ± 704.46 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |    44.07 ± 10.28 |     27.09 ± 3.74 |   66.33 ± 5.31 |     37.33 ± 4.50 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) |    935.35 ± 2.10 |  702.71 ± 234.78 |                |                  |   3283.17 ± 1095.76 |   3280.49 ± 1095.76 |   3283.17 ± 1095.76 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |     37.85 ± 0.23 |     24.28 ± 5.35 |   67.67 ± 2.49 |     36.33 ± 1.89 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) |  2742.03 ± 54.46 | 1097.93 ± 817.58 |                |                  |   5256.92 ± 2197.33 |   5254.23 ± 2197.33 |   5256.92 ± 2197.33 |
