| model              |                 test |     t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) |  2778.88 ± 4.63 |   2778.88 ± 4.63 |                |                  |       739.53 ± 1.23 |       737.35 ± 1.23 |       739.53 ± 1.23 |
| qwen3.8-flash-next |           tg128 (c1) |    35.41 ± 8.53 |     35.41 ± 8.53 |   40.78 ± 8.97 |     40.78 ± 8.97 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) |  2793.29 ± 6.47 | 2121.02 ± 724.76 |                |                  |    1095.15 ± 372.03 |    1092.97 ± 372.03 |    1095.15 ± 372.03 |
| qwen3.8-flash-next |           tg128 (c2) |    50.24 ± 3.74 |     29.64 ± 5.27 |   75.00 ± 7.35 |     40.00 ± 4.76 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) | 2779.88 ± 18.98 | 1279.98 ± 831.89 |                |                  |   2212.98 ± 1044.21 |   2210.80 ± 1044.21 |   2212.98 ± 1044.21 |
| qwen3.8-flash-next |           tg128 (c5) |    71.34 ± 4.89 |     20.04 ± 4.38 | 140.33 ± 13.82 |     32.20 ± 4.10 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) |  2772.61 ± 7.12 |   2772.61 ± 7.12 |                |                  |       741.56 ± 1.90 |       739.38 ± 1.90 |       741.56 ± 1.90 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |    43.24 ± 3.27 |     43.24 ± 3.27 |   53.33 ± 1.25 |     53.33 ± 1.25 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) |  1402.53 ± 9.09 |   1402.53 ± 9.09 |                |                  |      1462.46 ± 9.48 |      1460.28 ± 9.48 |      1462.46 ± 9.48 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |    32.78 ± 1.52 |     32.78 ± 1.52 |   41.00 ± 4.97 |     41.00 ± 4.97 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) | 2722.81 ± 42.90 | 2147.03 ± 783.95 |                |                  |    1103.82 ± 402.49 |    1101.65 ± 402.49 |    1103.82 ± 402.49 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |    54.68 ± 6.41 |     32.92 ± 6.19 |   83.00 ± 5.10 |     46.33 ± 5.41 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) | 1389.44 ± 24.25 | 1057.57 ± 362.41 |                |                  |    2196.61 ± 752.89 |    2194.43 ± 752.89 |    2196.61 ± 752.89 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |    35.00 ± 9.59 |     22.77 ± 7.10 |   59.33 ± 9.46 |     30.83 ± 6.20 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) | 2768.55 ± 41.47 | 1274.25 ± 814.87 |                |                  |   2211.72 ± 1045.57 |   2209.54 ± 1045.57 |   2211.72 ± 1045.57 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |    75.22 ± 8.93 |     20.97 ± 3.54 | 141.00 ± 16.87 |     34.60 ± 5.04 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) | 1384.61 ± 10.37 |  625.50 ± 391.42 |                |                  |   4451.03 ± 2079.92 |   4448.85 ± 2079.92 |   4451.03 ± 2079.92 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |    52.25 ± 1.13 |     16.54 ± 4.09 |  125.67 ± 6.34 |     29.13 ± 2.47 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) |  2846.16 ± 9.51 |   2846.16 ± 9.51 |                |                  |      1442.15 ± 4.94 |      1439.97 ± 4.94 |      1442.15 ± 4.94 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |    34.34 ± 3.18 |     34.34 ± 3.18 |   40.16 ± 6.98 |     40.16 ± 6.98 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |   997.90 ± 7.69 |    997.90 ± 7.69 |                |                  |     2054.62 ± 15.74 |     2052.44 ± 15.74 |     2054.62 ± 15.74 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |    35.06 ± 4.96 |     35.06 ± 4.96 |   45.67 ± 5.31 |     45.67 ± 5.31 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) | 2782.01 ± 30.81 | 2088.10 ± 696.86 |                |                  |    2210.47 ± 736.45 |    2208.29 ± 736.45 |    2210.47 ± 736.45 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |    41.09 ± 8.24 |     29.25 ± 2.77 |  68.67 ± 14.20 |    36.83 ± 16.42 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) |   990.14 ± 4.12 |  748.18 ± 252.87 |                |                  |   3092.42 ± 1044.28 |   3090.24 ± 1044.28 |   3092.42 ± 1044.28 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |    32.81 ± 7.68 |     24.53 ± 5.69 |  66.00 ± 19.80 |    38.15 ± 11.54 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) |  2781.41 ± 2.13 | 1276.76 ± 812.87 |                |                  |   4408.14 ± 2085.64 |   4405.96 ± 2085.64 |   4408.14 ± 2085.64 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |    54.61 ± 0.83 |     17.18 ± 4.42 |  133.67 ± 5.19 |     33.80 ± 4.28 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) |   982.07 ± 1.39 |  453.04 ± 291.32 |                |                  |   6234.99 ± 2959.64 |   6232.81 ± 2959.64 |   6234.99 ± 2959.64 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |    42.17 ± 4.09 |     14.66 ± 6.07 |  125.33 ± 6.55 |     29.60 ± 8.55 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) |  2902.21 ± 6.65 |   2902.21 ± 6.65 |                |                  |      2825.56 ± 6.48 |      2823.38 ± 6.48 |      2825.56 ± 6.48 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |    36.22 ± 3.19 |     36.22 ± 3.19 |   45.67 ± 5.91 |     45.67 ± 5.91 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |  866.94 ± 18.74 |   866.94 ± 18.74 |                |                  |     2365.64 ± 51.89 |     2363.46 ± 51.89 |     2365.64 ± 51.89 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |    34.96 ± 5.66 |     34.96 ± 5.66 |   42.67 ± 3.68 |     42.67 ± 3.68 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) |  2919.27 ± 4.63 | 2198.09 ± 737.85 |                |                  |   4203.16 ± 1410.15 |   4200.98 ± 1410.15 |   4203.16 ± 1410.15 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |    35.82 ± 2.07 |     24.71 ± 6.67 |   70.67 ± 7.59 |     36.83 ± 4.22 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) |   865.87 ± 8.30 |  650.30 ± 217.39 |                |                  |   3547.26 ± 1184.29 |   3545.08 ± 1184.29 |   3547.26 ± 1184.29 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |    37.40 ± 1.12 |     24.37 ± 4.47 |   71.33 ± 2.05 |     37.33 ± 2.92 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) |  2895.89 ± 2.29 | 1331.18 ± 851.64 |                |                  |   8467.23 ± 4009.48 |   8465.06 ± 4009.48 |   8467.23 ± 4009.48 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |    33.16 ± 4.70 |     13.08 ± 6.22 | 125.00 ± 13.44 |     31.07 ± 9.96 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) |   867.15 ± 0.94 |  400.77 ± 257.75 |                |                  |   7052.74 ± 3354.02 |   7050.56 ± 3354.02 |   7052.74 ± 3354.02 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |    36.11 ± 3.94 |     12.99 ± 5.76 |  114.67 ± 4.78 |     29.53 ± 3.79 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) |  2986.08 ± 9.46 |   2986.08 ± 9.46 |                |                  |     5490.02 ± 17.37 |     5487.85 ± 17.37 |     5491.71 ± 17.32 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |    39.56 ± 5.95 |     39.56 ± 5.95 |   48.67 ± 4.99 |     48.67 ± 4.99 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) |  1035.95 ± 7.78 |   1035.95 ± 7.78 |                |                  |     1979.22 ± 14.83 |     1977.04 ± 14.83 |     1980.54 ± 14.61 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |    29.43 ± 1.01 |     29.43 ± 1.01 |   36.33 ± 1.25 |     36.33 ± 1.25 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) |  2971.85 ± 6.48 | 2234.75 ± 748.36 |                |                  |   8260.31 ± 2765.00 |   8258.13 ± 2765.00 |   8262.15 ± 2765.10 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |    26.30 ± 0.38 |     23.72 ± 9.76 |   77.33 ± 3.09 |     42.67 ± 3.90 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) |  1044.61 ± 4.86 |  782.43 ± 259.67 |                |                  |    2943.52 ± 975.95 |    2941.34 ± 975.95 |    2944.83 ± 975.97 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |    39.19 ± 1.26 |     25.12 ± 3.18 |   73.00 ± 6.53 |     39.67 ± 8.56 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) |  2954.78 ± 0.60 | 1357.91 ± 867.87 |                |                  |  16592.31 ± 7858.38 |  16590.13 ± 7858.38 |  16594.12 ± 7858.36 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |    22.06 ± 2.37 |     11.35 ± 8.56 | 146.67 ± 26.55 |     32.73 ± 8.40 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) |  1043.06 ± 0.23 |  476.81 ± 302.48 |                |                  |   5884.61 ± 2774.90 |   5882.43 ± 2774.90 |   5885.80 ± 2774.92 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |    43.43 ± 3.52 |     14.46 ± 5.38 | 119.33 ± 11.84 |     28.07 ± 7.26 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) |  2955.62 ± 7.71 |   2955.62 ± 7.71 |                |                  |    11089.74 ± 28.92 |    11087.56 ± 28.92 |    11091.88 ± 29.04 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |    38.05 ± 5.72 |     38.05 ± 5.72 |   45.67 ± 5.19 |     45.67 ± 5.19 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) |  933.51 ± 27.58 |   933.51 ± 27.58 |                |                  |     2198.01 ± 66.26 |     2195.83 ± 66.26 |     2200.43 ± 66.92 |
