| model              |                 test |     t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) | 2889.59 ± 81.15 |  2889.59 ± 81.15 |                |                  |      711.79 ± 20.05 |      709.78 ± 20.05 |      711.79 ± 20.05 |
| qwen3.8-flash-next |           tg128 (c1) |    39.84 ± 3.57 |     39.84 ± 3.57 |   44.67 ± 4.92 |     44.67 ± 4.92 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) | 2773.12 ± 25.61 | 2107.40 ± 722.19 |                |                  |    1102.72 ± 375.44 |    1100.70 ± 375.44 |    1102.72 ± 375.44 |
| qwen3.8-flash-next |           tg128 (c2) |    53.60 ± 4.94 |     31.12 ± 4.98 |   79.67 ± 7.13 |     42.83 ± 5.27 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) | 2772.99 ± 10.39 | 1280.87 ± 835.31 |                |                  |   2214.99 ± 1047.31 |   2212.98 ± 1047.31 |   2214.99 ± 1047.31 |
| qwen3.8-flash-next |           tg128 (c5) |    71.41 ± 3.41 |     20.50 ± 4.11 |  140.67 ± 4.64 |     33.00 ± 4.47 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) |  2740.50 ± 4.99 |   2740.50 ± 4.99 |                |                  |       750.18 ± 1.53 |       748.16 ± 1.53 |       750.18 ± 1.53 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |    34.70 ± 1.26 |     34.70 ± 1.26 |   44.00 ± 3.74 |     44.00 ± 3.74 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) | 1378.67 ± 16.97 |  1378.67 ± 16.97 |                |                  |     1487.73 ± 18.16 |     1485.71 ± 18.16 |     1487.73 ± 18.16 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |    31.28 ± 3.15 |     31.28 ± 3.15 |   37.67 ± 3.09 |     37.67 ± 3.09 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) |  2794.92 ± 6.65 | 2077.02 ± 677.54 |                |                  |    1106.48 ± 360.37 |    1104.46 ± 360.37 |    1106.48 ± 360.37 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |    39.17 ± 7.95 |     27.51 ± 6.01 |  63.00 ± 14.45 |     37.47 ± 9.01 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) |  1381.84 ± 9.15 | 1034.56 ± 343.32 |                |                  |    2226.49 ± 738.02 |    2224.47 ± 738.02 |    2226.49 ± 738.02 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |    42.76 ± 0.35 |     27.57 ± 6.48 |   68.67 ± 3.30 |     36.50 ± 2.99 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) | 2771.83 ± 10.21 | 1285.57 ± 841.97 |                |                  |   2213.93 ± 1050.42 |   2211.91 ± 1050.42 |   2213.93 ± 1050.42 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |    69.58 ± 4.79 |     20.13 ± 4.25 | 135.33 ± 10.87 |     31.13 ± 3.90 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) |  1378.62 ± 3.40 |  588.38 ± 346.32 |                |                  |   4534.18 ± 2007.32 |   4532.16 ± 2007.32 |   4534.18 ± 2007.32 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |    51.05 ± 2.77 |     16.34 ± 4.36 | 122.33 ± 12.68 |     30.57 ± 4.06 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) | 2767.05 ± 36.38 |  2767.05 ± 36.38 |                |                  |     1483.15 ± 19.22 |     1481.13 ± 19.22 |     1483.15 ± 19.22 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |    36.39 ± 3.05 |     36.39 ± 3.05 |   43.67 ± 3.86 |     43.67 ± 3.86 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) | 2011.92 ± 13.82 |  2011.92 ± 13.82 |                |                  |      1020.00 ± 7.00 |      1017.98 ± 7.00 |      1020.00 ± 7.00 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |    30.41 ± 0.48 |     30.41 ± 0.48 |   39.33 ± 1.25 |     39.33 ± 1.25 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) | 2810.79 ± 51.87 | 1911.41 ± 618.27 |                |                  |    2352.73 ± 643.87 |    2350.71 ± 643.87 |    2352.73 ± 643.87 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |    46.06 ± 1.82 |     28.67 ± 6.15 |   73.00 ± 6.98 |     40.00 ± 5.00 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) | 1961.73 ± 15.27 | 1519.59 ± 537.82 |                |                  |    1542.67 ± 545.17 |    1540.65 ± 545.17 |    1542.67 ± 545.17 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |    44.07 ± 3.34 |     25.79 ± 2.58 |   68.00 ± 2.16 |     36.17 ± 2.48 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) |  2772.77 ± 7.50 | 1270.86 ± 810.44 |                |                  |   4428.32 ± 2091.36 |   4426.31 ± 2091.36 |   4428.32 ± 2091.36 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |    56.27 ± 3.00 |     17.84 ± 4.40 | 143.00 ± 13.49 |     33.93 ± 3.13 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) |  1997.77 ± 2.33 |  917.94 ± 589.09 |                |                  |   3071.38 ± 1451.41 |   3069.36 ± 1451.41 |   3071.38 ± 1451.41 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |    55.81 ± 5.36 |     17.61 ± 7.03 | 126.67 ± 11.44 |     29.60 ± 7.23 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) | 2894.09 ± 12.04 |  2894.09 ± 12.04 |                |                  |     2833.35 ± 11.81 |     2831.33 ± 11.81 |     2833.35 ± 11.81 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |    37.00 ± 6.98 |     37.00 ± 6.98 |   43.67 ± 7.41 |     43.67 ± 7.41 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |  1420.59 ± 6.01 |   1420.59 ± 6.01 |                |                  |      1443.70 ± 6.11 |      1441.68 ± 6.11 |      1443.70 ± 6.11 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |    35.76 ± 4.47 |     35.76 ± 4.47 |   40.29 ± 3.62 |     40.29 ± 3.62 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) |  2892.08 ± 8.47 | 2175.05 ± 728.57 |                |                  |   4245.19 ± 1421.03 |   4243.17 ± 1421.03 |   4245.19 ± 1421.03 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |    33.48 ± 5.86 |    26.08 ± 10.22 |   76.00 ± 5.10 |     41.33 ± 5.65 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) | 1445.72 ± 22.40 |  977.91 ± 317.86 |                |                  |    2298.35 ± 625.09 |    2296.33 ± 625.09 |    2298.35 ± 625.09 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |   43.01 ± 10.36 |     27.91 ± 3.64 |   69.00 ± 4.32 |     37.79 ± 6.31 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) |  2881.66 ± 1.59 | 1326.76 ± 849.34 |                |                  |   8501.12 ± 4031.29 |   8499.11 ± 4031.29 |   8501.12 ± 4031.29 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |    38.69 ± 0.91 |     14.78 ± 6.15 |  151.33 ± 9.57 |     34.60 ± 4.27 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) | 1525.77 ± 14.22 |  565.50 ± 369.76 |                |                  |   4712.53 ± 1827.56 |   4710.51 ± 1827.56 |   4712.53 ± 1827.56 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |    55.11 ± 1.12 |     18.22 ± 4.99 |  125.67 ± 8.73 |     29.60 ± 3.83 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) |  2882.12 ± 1.22 |   2882.12 ± 1.22 |                |                  |      5687.30 ± 2.48 |      5685.28 ± 2.48 |      5688.88 ± 2.44 |
