| model              |                 test |     t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) | 2736.37 ± 67.70 |  2736.37 ± 67.70 |                |                  |      751.90 ± 18.78 |      749.39 ± 18.78 |      751.90 ± 18.78 |
| qwen3.8-flash-next |           tg128 (c1) |    43.35 ± 4.92 |     43.35 ± 4.92 |   53.67 ± 5.44 |     53.67 ± 5.44 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) | 2643.70 ± 12.64 | 2005.32 ± 683.25 |                |                  |    1157.87 ± 392.37 |    1155.36 ± 392.37 |    1157.87 ± 392.37 |
| qwen3.8-flash-next |           tg128 (c2) |    47.17 ± 2.17 |     28.23 ± 5.19 |   69.33 ± 3.09 |     37.00 ± 4.20 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) |  2646.86 ± 6.39 | 1223.42 ± 798.15 |                |                  |   2320.54 ± 1098.19 |   2318.04 ± 1098.19 |   2320.54 ± 1098.19 |
| qwen3.8-flash-next |           tg128 (c5) |    67.13 ± 3.58 |     19.13 ± 4.67 | 135.00 ± 10.42 |     31.13 ± 4.49 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) |  2618.37 ± 7.93 |   2618.37 ± 7.93 |                |                  |       785.32 ± 2.50 |       782.81 ± 2.50 |       785.32 ± 2.50 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |    42.02 ± 2.52 |     42.02 ± 2.52 |   51.00 ± 3.74 |     51.00 ± 3.74 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) | 1323.36 ± 16.29 |  1323.36 ± 16.29 |                |                  |     1550.32 ± 18.89 |     1547.81 ± 18.89 |     1550.32 ± 18.89 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |    31.66 ± 1.75 |     31.66 ± 1.75 |   35.35 ± 4.19 |     35.35 ± 4.19 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) | 2632.43 ± 16.00 | 2029.21 ± 712.43 |                |                  |    1154.58 ± 403.50 |    1152.07 ± 403.50 |    1154.58 ± 403.50 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |    51.54 ± 4.22 |     29.48 ± 3.46 |   75.33 ± 5.25 |     40.17 ± 4.98 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) |  1335.25 ± 4.42 | 1004.16 ± 336.03 |                |                  |    2299.12 ± 768.35 |    2296.61 ± 768.35 |    2299.12 ± 768.35 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |    38.48 ± 3.60 |     25.37 ± 4.74 |   64.67 ± 4.50 |     36.00 ± 2.71 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) |  2652.27 ± 1.73 | 1211.01 ± 767.04 |                |                  |   2318.42 ± 1091.04 |   2315.91 ± 1091.04 |   2318.42 ± 1091.04 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |   59.01 ± 13.13 |     18.22 ± 8.68 | 124.00 ± 30.47 |    29.67 ± 11.32 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) | 1326.95 ± 10.69 |  572.40 ± 335.12 |                |                  |   4679.82 ± 2101.43 |   4677.31 ± 2101.43 |   4679.82 ± 2101.43 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |    49.12 ± 2.30 |     15.63 ± 5.71 |  118.33 ± 5.73 |     27.87 ± 6.90 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) | 2651.44 ± 20.91 |  2651.44 ± 20.91 |                |                  |     1548.18 ± 12.26 |     1545.67 ± 12.26 |     1548.18 ± 12.26 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |    35.72 ± 3.65 |     35.72 ± 3.65 |   43.33 ± 5.73 |     43.33 ± 5.73 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) | 1889.29 ± 44.39 |  1889.29 ± 44.39 |                |                  |     1087.11 ± 25.66 |     1084.61 ± 25.66 |     1087.11 ± 25.66 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |    29.09 ± 2.73 |     29.09 ± 2.73 |   35.67 ± 4.03 |     35.67 ± 4.03 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) | 2646.63 ± 16.11 | 1984.95 ± 661.02 |                |                  |    2324.22 ± 772.66 |    2321.71 ± 772.66 |    2324.22 ± 772.66 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |    39.44 ± 7.32 |    26.88 ± 10.47 |  66.00 ± 12.75 |    37.17 ± 10.20 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) | 1867.72 ± 34.62 | 1422.43 ± 487.57 |                |                  |    1634.21 ± 560.06 |    1631.70 ± 560.06 |    1634.21 ± 560.06 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |    46.07 ± 1.02 |     30.11 ± 7.33 |   75.33 ± 3.68 |     41.33 ± 5.28 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) |  2643.28 ± 0.28 | 1213.42 ± 773.17 |                |                  |   4640.02 ± 2195.61 |   4637.52 ± 2195.61 |   4640.02 ± 2195.61 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |    52.73 ± 1.28 |     16.75 ± 4.14 |  135.67 ± 8.18 |     31.33 ± 3.24 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) |  1896.70 ± 2.89 |  878.16 ± 574.55 |                |                  |   3236.23 ± 1534.44 |   3233.73 ± 1534.44 |   3236.23 ± 1534.44 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |    53.45 ± 3.24 |     16.21 ± 4.35 |  109.00 ± 5.66 |     25.87 ± 7.27 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) | 2781.99 ± 17.63 |  2781.99 ± 17.63 |                |                  |     2948.12 ± 18.66 |     2945.61 ± 18.66 |     2948.12 ± 18.66 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |    36.82 ± 7.54 |     36.82 ± 7.54 |   43.33 ± 8.22 |     43.33 ± 8.22 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) | 1363.15 ± 12.11 |  1363.15 ± 12.11 |                |                  |     1505.03 ± 13.43 |     1502.52 ± 13.43 |     1505.03 ± 13.43 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |    35.06 ± 1.17 |     35.06 ± 1.17 |   45.00 ± 0.82 |     45.00 ± 0.82 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) |  2763.03 ± 7.41 | 2077.62 ± 695.47 |                |                  |   4443.97 ± 1486.77 |   4441.46 ± 1486.77 |   4443.97 ± 1486.77 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |    37.52 ± 1.88 |     26.70 ± 7.24 |  79.67 ± 11.95 |     41.67 ± 5.12 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) |  1380.24 ± 3.94 | 1034.65 ± 343.90 |                |                  |    2227.75 ± 739.63 |    2225.24 ± 739.63 |    2227.75 ± 739.63 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |    38.40 ± 2.16 |     25.72 ± 4.83 |   66.33 ± 6.18 |     34.17 ± 3.53 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) | 2715.76 ± 37.51 | 1247.95 ± 796.94 |                |                  |   9025.88 ± 4275.48 |   9023.37 ± 4275.48 |   9025.88 ± 4275.48 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |    34.10 ± 3.66 |     14.00 ± 6.24 | 132.67 ± 12.76 |     32.34 ± 4.45 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) | 1465.17 ± 14.05 |  469.25 ± 194.02 |                |                  |   5033.66 ± 1678.54 |   5031.15 ± 1678.54 |   5033.66 ± 1678.54 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |    48.20 ± 6.56 |     17.39 ± 6.87 | 101.33 ± 13.20 |     26.73 ± 7.11 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) |  2753.54 ± 6.37 |   2753.54 ± 6.37 |                |                  |     5953.43 ± 13.78 |     5950.92 ± 13.78 |     5954.62 ± 13.63 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |    44.82 ± 2.94 |     44.82 ± 2.94 |   52.67 ± 4.11 |     52.67 ± 4.11 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) | 2176.12 ± 24.70 |  2176.12 ± 24.70 |                |                  |      943.75 ± 10.60 |      941.25 ± 10.60 |      944.87 ± 10.32 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |    30.81 ± 2.09 |     30.81 ± 2.09 |   36.67 ± 2.62 |     36.67 ± 2.62 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) |  2781.83 ± 4.09 | 1886.45 ± 495.02 |                |                  |   9331.02 ± 2447.90 |   9328.52 ± 2447.90 |   9332.83 ± 2447.84 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |    29.98 ± 1.06 |    25.75 ± 10.43 |   86.00 ± 0.82 |     45.17 ± 2.27 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) |  2154.21 ± 5.90 | 1645.03 ± 565.76 |                |                  |    1414.47 ± 485.59 |    1411.96 ± 485.59 |    1415.64 ± 485.63 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |    45.01 ± 3.52 |     25.99 ± 3.81 |   66.67 ± 3.68 |     36.00 ± 5.00 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) |  2778.99 ± 0.99 | 1154.53 ± 662.45 |                |                  |  18448.02 ± 8060.58 |  18445.51 ± 8060.58 |  18449.30 ± 8060.86 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |    22.70 ± 0.11 |     11.27 ± 6.88 |  136.67 ± 4.50 |     32.27 ± 3.04 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) | 2180.09 ± 15.48 |  979.96 ± 618.10 |                |                  |   2841.13 ± 1315.57 |   2838.62 ± 1315.57 |   2842.48 ± 1315.59 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |    60.90 ± 5.50 |     17.40 ± 3.92 |  115.67 ± 8.73 |     30.20 ± 4.37 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) |  2778.62 ± 3.34 |   2778.62 ± 3.34 |                |                  |    11796.16 ± 14.14 |    11793.65 ± 14.14 |    11798.60 ± 13.69 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |    39.71 ± 4.76 |     39.71 ± 4.76 |   49.33 ± 6.65 |     49.33 ± 6.65 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) | 1862.24 ± 18.85 |  1862.24 ± 18.85 |                |                  |     1102.37 ± 11.05 |     1099.86 ± 11.05 |     1103.76 ± 11.07 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |    33.04 ± 3.66 |     33.04 ± 3.66 |   39.67 ± 5.25 |     39.67 ± 5.25 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) |  2771.73 ± 7.04 | 1973.04 ± 586.87 |                |                  |  18223.48 ± 5419.75 |  18220.97 ± 5419.75 |  18225.67 ± 5420.21 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |    17.67 ± 0.34 |    22.65 ± 13.61 |   85.67 ± 1.70 |     46.50 ± 5.65 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) | 1839.77 ± 19.11 | 1376.62 ± 455.27 |                |                  |    1672.61 ± 551.78 |    1670.10 ± 551.78 |    1674.97 ± 551.67 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |    44.41 ± 0.88 |     26.88 ± 3.20 |   73.33 ± 5.19 |     38.33 ± 6.32 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c5) |  2767.44 ± 2.10 | 1207.14 ± 730.18 |                |                  | 36230.20 ± 16487.37 | 36227.69 ± 16487.37 | 36232.17 ± 16487.78 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c5) |    11.62 ± 0.93 |    10.29 ± 10.94 |  132.67 ± 8.01 |     32.51 ± 5.88 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c5) |  1895.50 ± 8.20 |  848.53 ± 533.25 |                |                  |   3273.82 ± 1510.18 |   3271.32 ± 1510.18 |   3275.65 ± 1510.19 |
| qwen3.8-flash-next |  tg128 @ d32768 (c5) |    52.19 ± 1.33 |     15.89 ± 6.38 |  117.00 ± 2.16 |     27.00 ± 9.34 |                     |                     |                     |
