| model              |                 test |     t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|----------------:|-----------------:|--------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) |  2829.01 ± 8.11 |   2829.01 ± 8.11 |               |                  |       726.03 ± 2.08 |       724.29 ± 2.08 |       726.03 ± 2.08 |
| qwen3.8-flash-next |           tg128 (c1) |    26.09 ± 0.24 |     26.09 ± 0.24 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) | 2717.06 ± 57.12 | 2075.62 ± 716.52 |               |                  |    1122.46 ± 387.15 |    1120.72 ± 387.15 |    1122.46 ± 387.15 |
| qwen3.8-flash-next |           tg128 (c2) |    38.88 ± 7.88 |     23.08 ± 3.57 |  53.33 ± 0.94 |     26.83 ± 0.37 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) | 2819.22 ± 31.76 | 1264.53 ± 810.57 |               |                  |   2211.98 ± 1019.58 |   2210.24 ± 1019.58 |   2211.98 ± 1019.58 |
| qwen3.8-flash-next |           tg128 (c5) |    69.05 ± 0.86 |     17.08 ± 2.17 | 106.67 ± 2.36 |     21.40 ± 0.61 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) | 2740.37 ± 44.84 |  2740.37 ± 44.84 |               |                  |      750.01 ± 12.23 |      748.27 ± 12.23 |      750.01 ± 12.23 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |    26.22 ± 0.08 |     26.22 ± 0.08 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) |  1393.17 ± 3.19 |   1393.17 ± 3.19 |               |                  |      1471.77 ± 3.37 |      1470.03 ± 3.37 |      1471.77 ± 3.37 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |    24.53 ± 2.39 |     24.53 ± 2.39 |  27.09 ± 0.13 |     27.09 ± 0.13 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) | 2673.78 ± 68.95 | 2074.08 ± 736.04 |               |                  |    1132.85 ± 402.46 |    1131.12 ± 402.46 |    1132.85 ± 402.46 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |    38.93 ± 4.35 |     21.66 ± 3.35 |  49.33 ± 5.25 |     24.67 ± 2.62 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) |  1427.20 ± 3.67 | 1061.46 ± 347.48 |               |                  |    2162.68 ± 707.29 |    2160.94 ± 707.29 |    2162.68 ± 707.29 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |    31.31 ± 7.58 |     19.73 ± 7.68 |  47.00 ± 9.90 |     23.67 ± 7.45 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) | 2806.08 ± 33.29 | 1260.33 ± 810.38 |               |                  |   2223.99 ± 1026.71 |   2222.25 ± 1026.71 |   2223.99 ± 1026.71 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |   61.69 ± 10.69 |     16.81 ± 2.97 | 105.00 ± 0.00 |     22.00 ± 2.10 |                     |                     |                     |
