| model              |                 test |     t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|----------------:|-----------------:|--------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) | 2772.07 ± 29.23 |  2772.07 ± 29.23 |               |                  |       741.08 ± 7.58 |       739.36 ± 7.58 |       741.08 ± 7.58 |
| qwen3.8-flash-next |           tg128 (c1) |    26.39 ± 0.23 |     26.39 ± 0.23 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) | 2753.27 ± 27.44 | 2090.74 ± 712.67 |               |                  |    1110.41 ± 377.97 |    1108.69 ± 377.97 |    1110.41 ± 377.97 |
| qwen3.8-flash-next |           tg128 (c2) |    45.23 ± 0.16 |     24.52 ± 1.61 |  54.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) | 2805.43 ± 34.30 | 1252.08 ± 800.41 |               |                  |   2227.80 ± 1021.78 |   2226.08 ± 1021.78 |   2227.80 ± 1021.78 |
| qwen3.8-flash-next |           tg128 (c5) |    65.98 ± 2.66 |     16.01 ± 2.07 |  98.33 ± 2.36 |     19.87 ± 0.72 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) | 2748.49 ± 25.39 |  2748.49 ± 25.39 |               |                  |       747.77 ± 6.90 |       746.05 ± 6.90 |       747.77 ± 6.90 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |    24.53 ± 2.38 |     24.53 ± 2.38 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) |  1393.86 ± 7.91 |   1393.86 ± 7.91 |               |                  |      1471.07 ± 8.36 |      1469.35 ± 8.36 |      1471.07 ± 8.36 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |    24.65 ± 2.32 |     24.65 ± 2.32 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) | 2727.87 ± 65.80 | 2086.93 ± 722.40 |               |                  |    1117.85 ± 386.91 |    1116.13 ± 386.91 |    1117.85 ± 386.91 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |   30.40 ± 10.41 |     25.16 ± 1.65 | 40.00 ± 11.05 |     31.74 ± 9.80 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) |  1425.32 ± 2.35 | 1055.90 ± 343.01 |               |                  |    2169.89 ± 703.80 |    2168.17 ± 703.80 |    2169.89 ± 703.80 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |    32.63 ± 5.64 |     21.54 ± 4.83 |  54.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) | 2845.40 ± 24.08 | 1276.73 ± 810.76 |               |                  |   2186.13 ± 1009.39 |   2184.41 ± 1009.39 |   2186.13 ± 1009.39 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |    67.12 ± 0.69 |     16.46 ± 1.99 | 100.00 ± 0.00 |     20.60 ± 0.80 |                     |                     |                     |
