| model              |                 test |      t/s (total) |         t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|-----------------:|------------------:|--------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) | 2685.87 ± 113.83 |  2685.87 ± 113.83 |               |                  |      767.68 ± 31.16 |      764.45 ± 31.16 |      767.68 ± 31.16 |
| qwen3.8-flash-next |           tg128 (c1) |     41.83 ± 1.03 |      41.83 ± 1.03 |  53.67 ± 5.44 |     53.67 ± 5.44 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) |  2630.80 ± 14.44 |  2005.45 ± 689.46 |               |                  |    1161.20 ± 396.68 |    1157.97 ± 396.68 |    1161.20 ± 396.68 |
| qwen3.8-flash-next |           tg128 (c2) |     55.90 ± 3.18 |      31.96 ± 4.40 |  77.67 ± 6.13 |     40.83 ± 3.18 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) |   2656.37 ± 0.92 |  1239.60 ± 823.42 |               |                  |   2309.88 ± 1098.21 |   2306.64 ± 1098.21 |   2309.88 ± 1098.21 |
| qwen3.8-flash-next |           tg128 (c5) |     68.83 ± 2.15 |      18.06 ± 3.38 | 122.33 ± 3.40 |     29.33 ± 3.48 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) |  2620.41 ± 11.72 |   2620.41 ± 11.72 |               |                  |       785.70 ± 3.63 |       782.46 ± 3.63 |       785.70 ± 3.63 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |     34.53 ± 5.85 |      34.53 ± 5.85 |  43.00 ± 8.83 |     43.00 ± 8.83 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) | 1261.53 ± 110.79 |  1261.53 ± 110.79 |               |                  |    1640.06 ± 152.64 |    1636.83 ± 152.64 |    1640.06 ± 152.64 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |     36.27 ± 6.22 |      36.27 ± 6.22 |  41.67 ± 5.25 |     41.67 ± 5.25 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) |  2624.58 ± 10.84 |  2052.53 ± 737.58 |               |                  |    1150.06 ± 412.05 |    1146.82 ± 412.05 |    1150.06 ± 412.05 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |     32.96 ± 2.22 |     24.00 ± 10.88 |  56.67 ± 8.73 |    32.31 ± 13.87 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) |   605.63 ± 22.31 |   823.19 ± 520.44 |               |                  |   4149.97 ± 2627.72 |   4146.74 ± 2627.72 |   4149.97 ± 2627.72 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |     27.32 ± 1.47 |      33.67 ± 2.05 |  50.67 ± 6.65 |     44.33 ± 8.40 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) |   2658.53 ± 7.04 |  1209.14 ± 760.39 |               |                  |   2315.41 ± 1086.38 |   2312.18 ± 1086.38 |   2315.41 ± 1086.38 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |     70.09 ± 2.90 |      19.54 ± 3.41 | 138.00 ± 6.68 |     32.67 ± 2.47 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) |   457.77 ± 26.23 |   389.74 ± 449.45 |               |                  |  11982.97 ± 7347.81 |  11979.73 ± 7347.81 |  11982.97 ± 7347.81 |
