| model              |                 test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) |  2683.90 ± 89.20 |  2683.90 ± 89.20 |                |                  |      766.39 ± 24.76 |      764.14 ± 24.76 |      766.39 ± 24.76 |
| qwen3.8-flash-next |           tg128 (c1) |     37.71 ± 3.86 |     37.71 ± 3.86 |   47.67 ± 6.18 |     47.67 ± 6.18 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) |  2602.54 ± 24.38 | 2016.11 ± 715.34 |                |                  |    1164.02 ± 410.82 |    1161.77 ± 410.82 |    1164.02 ± 410.82 |
| qwen3.8-flash-next |           tg128 (c2) |     49.86 ± 7.29 |     30.36 ± 5.42 |   76.33 ± 3.30 |     40.17 ± 5.76 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) |  2626.74 ± 28.63 | 1220.22 ± 814.63 |                |                  |   2345.95 ± 1110.29 |   2343.70 ± 1110.29 |   2345.95 ± 1110.29 |
| qwen3.8-flash-next |           tg128 (c5) |     59.87 ± 9.04 |     18.74 ± 7.23 | 117.00 ± 13.49 |     29.80 ± 8.66 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) | 2620.82 ± 184.21 | 2620.82 ± 184.21 |                |                  |      788.65 ± 58.02 |      786.40 ± 58.02 |      788.65 ± 58.02 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |     39.35 ± 3.82 |     39.35 ± 3.82 |   47.00 ± 6.16 |     47.00 ± 6.16 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) |  1298.61 ± 42.37 |  1298.61 ± 42.37 |                |                  |     1581.02 ± 52.13 |     1578.77 ± 52.13 |     1581.02 ± 52.13 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |     30.99 ± 1.30 |     30.99 ± 1.30 |   36.00 ± 2.16 |     36.00 ± 2.16 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) |  2626.60 ± 28.78 | 1987.00 ± 673.32 |                |                  |    1167.49 ± 394.07 |    1165.24 ± 394.07 |    1167.49 ± 394.07 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |     42.72 ± 9.40 |     29.23 ± 4.43 |  68.33 ± 13.89 |     40.79 ± 6.91 |                     |                     |                     |
