| model              |                 test |     t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) | 2714.35 ± 24.43 |  2714.35 ± 24.43 |                |                  |       757.14 ± 6.63 |       754.69 ± 6.63 |       757.14 ± 6.63 |
| qwen3.8-flash-next |           tg128 (c1) |    35.49 ± 3.76 |     35.49 ± 3.76 |   44.00 ± 5.89 |     44.00 ± 5.89 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) |  2601.84 ± 6.52 | 2035.63 ± 732.90 |                |                  |    1158.91 ± 416.14 |    1156.46 ± 416.14 |    1158.91 ± 416.14 |
| qwen3.8-flash-next |           tg128 (c2) |    49.57 ± 3.35 |     28.76 ± 3.72 |   74.67 ± 4.99 |     39.83 ± 3.53 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) |  2664.34 ± 9.05 | 1213.49 ± 763.97 |                |                  |   2306.19 ± 1083.39 |   2303.74 ± 1083.39 |   2306.19 ± 1083.39 |
| qwen3.8-flash-next |           tg128 (c5) |    69.19 ± 1.61 |     18.58 ± 3.13 |  128.00 ± 5.35 |     29.33 ± 2.33 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) | 2623.04 ± 14.90 |  2623.04 ± 14.90 |                |                  |       784.02 ± 4.45 |       781.56 ± 4.45 |       784.02 ± 4.45 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |    32.89 ± 3.36 |     32.89 ± 3.36 |   41.67 ± 5.91 |     41.67 ± 5.91 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) |  1302.57 ± 9.07 |   1302.57 ± 9.07 |                |                  |     1574.81 ± 10.90 |     1572.35 ± 10.90 |     1574.81 ± 10.90 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |    30.00 ± 1.78 |     30.00 ± 1.78 |   36.33 ± 1.70 |     36.33 ± 1.70 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) |  2644.43 ± 2.11 | 1965.09 ± 641.05 |                |                  |    1169.61 ± 380.50 |    1167.16 ± 380.50 |    1169.61 ± 380.50 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |    55.34 ± 2.46 |     31.93 ± 2.88 |   85.00 ± 4.97 |     43.33 ± 4.27 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) |  1325.53 ± 6.31 | 1002.17 ± 339.61 |                |                  |    2310.20 ± 780.06 |    2307.74 ± 780.06 |    2310.20 ± 780.06 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |    40.25 ± 3.25 |     26.04 ± 6.10 |  70.00 ± 12.36 |     37.33 ± 9.30 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) | 2632.77 ± 15.55 | 1223.35 ± 813.28 |                |                  |   2338.30 ± 1107.47 |   2335.85 ± 1107.47 |   2338.30 ± 1107.47 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |    70.75 ± 5.08 |     19.86 ± 5.26 |  140.00 ± 8.04 |     32.27 ± 6.79 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) |  1330.45 ± 8.98 |  616.34 ± 399.10 |                |                  |   4596.41 ± 2187.33 |   4593.96 ± 2187.33 |   4596.41 ± 2187.33 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |    46.82 ± 2.31 |     15.25 ± 4.73 |  113.33 ± 9.74 |     28.39 ± 4.69 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) | 2638.51 ± 26.96 |  2638.51 ± 26.96 |                |                  |     1555.76 ± 15.85 |     1553.31 ± 15.85 |     1555.76 ± 15.85 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |    36.87 ± 6.07 |     36.87 ± 6.07 |   44.67 ± 7.93 |     44.67 ± 7.93 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |   949.65 ± 9.04 |    949.65 ± 9.04 |                |                  |     2159.24 ± 20.67 |     2156.78 ± 20.67 |     2159.24 ± 20.67 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |    30.72 ± 0.64 |     30.72 ± 0.64 |   36.67 ± 1.25 |     36.67 ± 1.25 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) | 2648.88 ± 13.78 | 1981.93 ± 656.38 |                |                  |    2325.05 ± 769.23 |    2322.60 ± 769.23 |    2325.05 ± 769.23 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |    40.32 ± 5.98 |     26.90 ± 4.62 |   71.67 ± 5.79 |     38.17 ± 3.62 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) |   937.96 ± 1.63 |  707.65 ± 238.41 |                |                  |   3267.04 ± 1099.76 |   3264.59 ± 1099.76 |   3267.04 ± 1099.76 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |    35.14 ± 3.99 |     24.07 ± 5.84 |   68.67 ± 4.11 |     38.00 ± 0.82 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) |  2642.92 ± 4.82 | 1211.41 ± 770.49 |                |                  |   4642.56 ± 2193.63 |   4640.11 ± 2193.63 |   4642.56 ± 2193.63 |
