| model              |                 test |     t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|----------------:|-----------------:|--------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) | 2785.99 ± 26.11 |  2785.99 ± 26.11 |               |                  |       738.02 ± 6.89 |       735.53 ± 6.89 |       738.02 ± 6.89 |
| qwen3.8-flash-next |           tg128 (c1) |    26.31 ± 0.31 |     26.31 ± 0.31 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) | 2721.78 ± 54.48 | 2086.41 ± 723.50 |               |                  |    1118.98 ± 387.80 |    1116.49 ± 387.80 |    1118.98 ± 387.80 |
| qwen3.8-flash-next |           tg128 (c2) |    44.53 ± 0.19 |     24.16 ± 1.60 |  54.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) | 2824.58 ± 29.46 | 1268.28 ± 806.03 |               |                  |   2201.98 ± 1017.57 |   2199.49 ± 1017.57 |   2201.98 ± 1017.57 |
| qwen3.8-flash-next |           tg128 (c5) |    59.17 ± 0.93 |     15.79 ± 5.24 |  96.00 ± 4.32 |     20.92 ± 5.18 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) | 2787.42 ± 32.59 |  2787.42 ± 32.59 |               |                  |       738.04 ± 8.65 |       735.55 ± 8.65 |       738.04 ± 8.65 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |    25.52 ± 1.00 |     25.52 ± 1.00 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) | 1404.08 ± 15.17 |  1404.08 ± 15.17 |               |                  |     1461.27 ± 15.87 |     1458.77 ± 15.87 |     1461.27 ± 15.87 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |    22.99 ± 2.34 |     22.99 ± 2.34 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) | 2697.12 ± 68.61 | 2074.54 ± 724.09 |               |                  |    1128.08 ± 393.97 |    1125.58 ± 393.97 |    1128.08 ± 393.97 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |   37.14 ± 10.16 |     23.77 ± 1.49 | 45.33 ± 12.26 |     22.67 ± 9.69 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) |  1422.64 ± 8.72 | 1055.79 ± 344.03 |               |                  |    2172.55 ± 706.80 |    2170.05 ± 706.80 |    2172.55 ± 706.80 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |    35.26 ± 4.37 |     23.21 ± 2.77 |  54.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
