| model              |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |   accept/draft |   prefix-hit |
|:-------------------|----------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|---------------:|-------------:|
| qwen3.8-flash-next |           pp2048 (c1) | 2882.44 ± 187.14 | 2882.44 ± 187.14 |                |                  |      730.24 ± 49.78 |      729.12 ± 49.78 |      730.24 ± 49.78 |          0.448 |            0 |
| qwen3.8-flash-next |            tg512 (c1) |     55.36 ± 2.21 |     55.36 ± 2.21 |   75.00 ± 1.41 |     75.00 ± 1.41 |                     |                     |                     |          0.448 |            0 |
| qwen3.8-flash-next |           pp2048 (c2) | 3155.49 ± 224.39 | 1845.84 ± 531.39 |                |                  |    1202.12 ± 240.13 |    1201.00 ± 240.13 |    1202.12 ± 240.13 |          0.452 |            0 |
| qwen3.8-flash-next |            tg512 (c2) |     90.65 ± 7.01 |     48.17 ± 4.31 |  123.33 ± 2.49 |     66.50 ± 4.31 |                     |                     |                     |          0.452 |            0 |
| qwen3.8-flash-next |           pp2048 (c4) |  3210.94 ± 48.62 | 1171.27 ± 576.35 |                |                  |    2030.90 ± 551.62 |    2029.78 ± 551.62 |    2030.90 ± 551.62 |          0.438 |            0 |
| qwen3.8-flash-next |            tg512 (c4) |    134.18 ± 3.49 |     36.47 ± 2.08 |  188.67 ± 6.24 |     52.75 ± 3.24 |                     |                     |                     |          0.438 |            0 |
| qwen3.8-flash-next |           pp2048 (c5) | 3211.82 ± 120.88 | 1047.79 ± 575.34 |                |                  |    2353.95 ± 760.75 |    2352.83 ± 760.75 |    2353.95 ± 760.75 |          0.435 |            0 |
| qwen3.8-flash-next |            tg512 (c5) |    147.78 ± 1.26 |     32.72 ± 1.56 | 231.67 ± 19.34 |     51.93 ± 3.92 |                     |                     |                     |          0.435 |            0 |
| qwen3.8-flash-next |           pp2048 (c8) |   3286.26 ± 1.99 |  753.08 ± 327.99 |                |                  |   3331.79 ± 1310.14 |   3330.67 ± 1310.14 |   3331.79 ± 1310.14 |          0.437 |            0 |
| qwen3.8-flash-next |            tg512 (c8) |    187.33 ± 4.67 |     26.54 ± 2.08 |  277.33 ± 5.25 |     43.33 ± 2.91 |                     |                     |                     |          0.437 |            0 |
| qwen3.8-flash-next |          pp2048 (c10) |   3272.71 ± 4.12 |  783.09 ± 758.55 |                |                  |   4088.60 ± 1866.33 |   4087.48 ± 1866.33 |   4088.60 ± 1866.33 |          0.426 |            0 |
| qwen3.8-flash-next |           tg512 (c10) |    191.80 ± 3.74 |     23.20 ± 2.34 | 322.67 ± 16.86 |     39.50 ± 3.20 |                     |                     |                     |          0.426 |            0 |
| qwen3.8-flash-next |          pp2048 (c16) |  3235.05 ± 22.88 |  523.48 ± 472.40 |                |                  |   6023.04 ± 2957.15 |   6021.92 ± 2957.15 |   6023.04 ± 2957.15 |          0.427 |            0 |
| qwen3.8-flash-next |           tg512 (c16) |    241.04 ± 5.04 |     18.58 ± 2.17 | 446.00 ± 10.23 |     34.46 ± 2.68 |                     |                     |                     |          0.427 |            0 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c1) |  3049.93 ± 25.11 |  3049.93 ± 25.11 |                |                  |     5378.01 ± 44.50 |     5376.89 ± 44.50 |     5378.01 ± 44.50 |          0.414 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c1) |     52.76 ± 5.43 |     52.76 ± 5.43 |  78.67 ± 15.08 |    78.67 ± 15.08 |                     |                     |                     |          0.414 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c1) |   776.77 ± 15.59 |   776.77 ± 15.59 |                |                  |     2638.76 ± 53.68 |     2637.64 ± 53.68 |     2639.34 ± 53.31 |          0.414 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c1) |     55.11 ± 1.10 |     55.11 ± 1.10 |   76.67 ± 2.49 |     76.67 ± 2.49 |                     |                     |                     |          0.414 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c2) |   3054.05 ± 1.71 | 1821.64 ± 294.09 |                |                  |   9243.77 ± 1492.15 |   9242.65 ± 1492.15 |   9246.35 ± 1492.06 |          0.404 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c2) |     64.97 ± 1.85 |     39.52 ± 3.80 |  104.00 ± 2.94 |     60.33 ± 7.43 |                     |                     |                     |          0.404 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c2) |    806.56 ± 2.39 |   501.08 ± 97.65 |                |                  |    4249.64 ± 827.99 |    4248.52 ± 827.99 |    4251.64 ± 826.88 |          0.404 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c2) |     82.79 ± 2.37 |     45.85 ± 2.74 |  116.00 ± 5.72 |     63.33 ± 3.68 |                     |                     |                     |          0.404 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c4) |  3072.41 ± 35.75 |  948.94 ± 151.82 |                |                  |  17729.60 ± 2816.37 |  17728.48 ± 2816.37 |  17731.89 ± 2816.66 |          0.406 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c4) |     85.69 ± 4.94 |     27.81 ± 5.04 | 164.33 ± 15.33 |     50.00 ± 6.26 |                     |                     |                     |          0.406 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c4) |    835.31 ± 8.19 |  294.97 ± 109.99 |                |                  |   7734.25 ± 2150.52 |   7733.13 ± 2150.52 |   7736.31 ± 2149.91 |          0.406 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c4) |    103.65 ± 2.90 |     33.15 ± 4.38 |  178.00 ± 4.97 |     51.17 ± 2.58 |                     |                     |                     |          0.406 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c5) |   3093.09 ± 0.85 |  807.41 ± 193.39 |                |                  |  21439.08 ± 4721.32 |  21437.96 ± 4721.32 |  21441.48 ± 4721.37 |           0.42 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c5) |     87.70 ± 6.97 |     25.82 ± 6.16 |  187.00 ± 6.16 |     49.20 ± 4.15 |                     |                     |                     |           0.42 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c5) |    847.96 ± 2.30 |  252.77 ± 115.51 |                |                  |   9361.04 ± 2849.13 |   9359.92 ± 2849.13 |   9363.43 ± 2849.39 |           0.42 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c5) |    112.41 ± 1.72 |     30.68 ± 4.80 |  213.67 ± 6.94 |     48.60 ± 2.92 |                     |                     |                     |           0.42 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c8) |   3079.54 ± 3.30 |  635.85 ± 280.06 |                |                  | 30123.94 ± 10193.51 | 30122.82 ± 10193.51 | 30126.24 ± 10193.49 |          0.397 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c8) |     74.33 ± 1.61 |     17.51 ± 5.99 |  236.67 ± 5.25 |     42.50 ± 7.13 |                     |                     |                     |          0.397 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c8) |    851.80 ± 1.04 |  198.45 ± 117.70 |                |                  |  13012.61 ± 5066.59 |  13011.49 ± 5066.59 |  13014.36 ± 5066.66 |          0.397 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c8) |    119.43 ± 2.01 |     22.01 ± 4.44 |  268.00 ± 6.98 |     41.54 ± 2.06 |                     |                     |                     |          0.397 |        0.329 |
| qwen3.8-flash-next | ctx_pp @ d16384 (c10) | 3144.35 ± 107.83 |  624.46 ± 336.91 |                |                  | 32825.15 ± 13596.10 | 32824.03 ± 13596.10 | 32826.57 ± 13595.95 |          0.405 |        0.339 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c10) |     75.21 ± 2.86 |     14.08 ± 6.52 |  257.67 ± 9.57 |     38.47 ± 7.00 |                     |                     |                     |          0.405 |        0.339 |
| qwen3.8-flash-next | pp2048 @ d16384 (c10) |   864.15 ± 19.23 |  178.40 ± 114.23 |                |                  |  15043.42 ± 6478.90 |  15042.30 ± 6478.90 |  15045.25 ± 6478.86 |          0.405 |        0.339 |
