| model              |                  test |     t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |   accept/draft |   prefix-hit |
|:-------------------|----------------------:|----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|---------------:|-------------:|
| qwen3.8-flash-next |           pp2048 (c1) | 2881.16 ± 54.93 |  2881.16 ± 54.93 |                |                  |      729.16 ± 14.18 |      726.60 ± 14.18 |      729.16 ± 14.18 |          0.407 |            0 |
| qwen3.8-flash-next |            tg512 (c1) |    52.76 ± 3.54 |     52.76 ± 3.54 |   72.00 ± 3.74 |     72.00 ± 3.74 |                     |                     |                     |          0.407 |            0 |
| qwen3.8-flash-next |           pp2048 (c2) |  3332.16 ± 3.88 |   1669.94 ± 3.06 |                |                  |      1254.80 ± 1.92 |      1252.24 ± 1.92 |      1254.80 ± 1.92 |          0.429 |            0 |
| qwen3.8-flash-next |            tg512 (c2) |    92.79 ± 4.52 |     46.58 ± 2.39 |  118.33 ± 1.89 |     63.50 ± 2.81 |                     |                     |                     |          0.429 |            0 |
| qwen3.8-flash-next |           pp2048 (c4) | 3225.62 ± 60.15 | 1180.25 ± 591.92 |                |                  |    2021.91 ± 548.26 |    2019.35 ± 548.26 |    2021.91 ± 548.26 |          0.449 |            0 |
| qwen3.8-flash-next |            tg512 (c4) |   136.44 ± 6.79 |     37.08 ± 2.44 |  205.00 ± 7.87 |     55.50 ± 3.86 |                     |                     |                     |          0.449 |            0 |
| qwen3.8-flash-next |           pp2048 (c5) |  3309.69 ± 1.00 |  967.85 ± 249.68 |                |                  |    2336.30 ± 671.41 |    2333.74 ± 671.41 |    2336.30 ± 671.41 |          0.428 |            0 |
| qwen3.8-flash-next |            tg512 (c5) |   146.20 ± 2.38 |     32.85 ± 1.90 |  216.67 ± 6.94 |     51.13 ± 4.21 |                     |                     |                     |          0.428 |            0 |
| qwen3.8-flash-next |           pp2048 (c8) |  3154.99 ± 9.93 |  811.35 ± 541.90 |                |                  |   3345.09 ± 1396.92 |   3342.53 ± 1396.92 |   3345.09 ± 1396.92 |          0.442 |            0 |
| qwen3.8-flash-next |            tg512 (c8) |   185.96 ± 7.84 |     26.85 ± 2.08 | 294.33 ± 22.94 |     43.25 ± 2.95 |                     |                     |                     |          0.442 |            0 |
| qwen3.8-flash-next |          pp2048 (c10) |  3296.04 ± 9.67 |  671.12 ± 350.46 |                |                  |   4029.73 ± 1830.02 |   4027.17 ± 1830.02 |   4029.73 ± 1830.02 |          0.433 |            0 |
| qwen3.8-flash-next |           tg512 (c10) |   201.73 ± 5.94 |     23.43 ± 2.10 |  342.00 ± 6.53 |     39.60 ± 2.50 |                     |                     |                     |          0.433 |            0 |
| qwen3.8-flash-next |          pp2048 (c16) | 3230.75 ± 27.28 |  532.89 ± 535.59 |                |                  |   6068.77 ± 2938.86 |   6066.21 ± 2938.86 |   6068.77 ± 2938.86 |          0.437 |            0 |
| qwen3.8-flash-next |           tg512 (c16) |   241.11 ± 0.86 |     18.88 ± 1.99 | 454.33 ± 29.04 |     34.44 ± 2.29 |                     |                     |                     |          0.437 |            0 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c1) |  3066.17 ± 7.13 |   3066.17 ± 7.13 |                |                  |     5350.62 ± 12.43 |     5348.06 ± 12.43 |     5353.27 ± 12.35 |          0.412 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c1) |    53.97 ± 4.25 |     53.97 ± 4.25 |   73.67 ± 7.76 |     73.67 ± 7.76 |                     |                     |                     |          0.412 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c1) |  783.77 ± 12.42 |   783.77 ± 12.42 |                |                  |     2616.24 ± 41.88 |     2613.68 ± 41.88 |     2616.84 ± 42.09 |          0.412 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c1) |    55.49 ± 1.35 |     55.49 ± 1.35 |   71.00 ± 4.32 |     71.00 ± 4.32 |                     |                     |                     |          0.412 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c2) |  3069.93 ± 4.50 | 1830.84 ± 295.27 |                |                  |   9198.05 ± 1482.85 |   9195.49 ± 1482.85 |   9199.77 ± 1482.85 |          0.407 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c2) |    61.38 ± 8.29 |     38.30 ± 9.88 | 106.67 ± 12.39 |    58.33 ± 10.13 |                     |                     |                     |          0.407 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c2) |   813.03 ± 0.90 |   506.57 ± 99.71 |                |                  |    4208.35 ± 827.78 |    4205.79 ± 827.78 |    4210.69 ± 826.92 |          0.407 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c2) |    80.32 ± 2.88 |     45.22 ± 4.49 |  119.33 ± 3.30 |     62.50 ± 2.81 |                     |                     |                     |          0.407 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c4) |  3108.16 ± 2.65 |  960.65 ± 153.68 |                |                  |  17515.10 ± 2781.97 |  17512.54 ± 2781.97 |  17517.31 ± 2782.54 |          0.407 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c4) |    81.11 ± 7.70 |     27.41 ± 6.88 |  154.00 ± 9.09 |     48.42 ± 7.44 |                     |                     |                     |          0.407 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c4) |   845.96 ± 0.94 |  298.65 ± 111.21 |                |                  |   7638.36 ± 2120.51 |   7635.80 ± 2120.51 |   7640.00 ± 2119.69 |          0.407 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c4) |   103.33 ± 2.80 |     33.24 ± 3.79 |  182.00 ± 5.35 |     50.67 ± 1.97 |                     |                     |                     |          0.407 |        0.329 |
