| model              |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |   accept/draft |   prefix-hit |
|:-------------------|----------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|---------------:|-------------:|
| qwen3.8-flash-next |           pp2048 (c1) | 2839.12 ± 140.34 | 2839.12 ± 140.34 |                |                  |      740.67 ± 38.25 |      738.85 ± 38.25 |      740.67 ± 38.25 |          0.429 |            0 |
| qwen3.8-flash-next |            tg512 (c1) |     53.44 ± 3.25 |     53.44 ± 3.25 |   72.00 ± 0.82 |     72.00 ± 0.82 |                     |                     |                     |          0.429 |            0 |
| qwen3.8-flash-next |           pp2048 (c2) | 3170.68 ± 220.98 | 1854.81 ± 533.58 |                |                  |    1196.73 ± 238.08 |    1194.91 ± 238.08 |    1196.73 ± 238.08 |          0.444 |            0 |
| qwen3.8-flash-next |            tg512 (c2) |     89.88 ± 4.25 |     46.28 ± 2.03 |  121.67 ± 4.78 |     64.00 ± 2.31 |                     |                     |                     |          0.444 |            0 |
| qwen3.8-flash-next |           pp2048 (c4) |  3172.42 ± 60.27 | 1158.15 ± 585.32 |                |                  |    2061.58 ± 557.84 |    2059.76 ± 557.84 |    2061.58 ± 557.84 |          0.438 |            0 |
| qwen3.8-flash-next |            tg512 (c4) |    129.74 ± 6.00 |     34.91 ± 1.36 |  183.00 ± 7.87 |     50.75 ± 3.06 |                     |                     |                     |          0.438 |            0 |
| qwen3.8-flash-next |           pp2048 (c5) |  3200.69 ± 81.01 | 1038.13 ± 568.43 |                |                  |    2367.87 ± 752.99 |    2366.06 ± 752.99 |    2367.87 ± 752.99 |          0.415 |            0 |
| qwen3.8-flash-next |            tg512 (c5) |    136.01 ± 3.53 |     30.03 ± 1.87 | 205.67 ± 12.39 |     47.20 ± 3.47 |                     |                     |                     |          0.415 |            0 |
| qwen3.8-flash-next |           pp2048 (c8) |  3178.17 ± 66.14 |  845.79 ± 669.04 |                |                  |   3382.18 ± 1399.40 |   3380.36 ± 1399.40 |   3382.18 ± 1399.40 |          0.428 |            0 |
| qwen3.8-flash-next |            tg512 (c8) |    168.73 ± 5.59 |     24.66 ± 1.52 |  275.00 ± 3.74 |     41.92 ± 2.84 |                     |                     |                     |          0.428 |            0 |
| qwen3.8-flash-next |          pp2048 (c10) |  3252.98 ± 22.53 |  743.08 ± 650.65 |                |                  |   4054.63 ± 1816.04 |   4052.81 ± 1816.04 |   4054.63 ± 1816.04 |          0.433 |            0 |
| qwen3.8-flash-next |           tg512 (c10) |    182.33 ± 5.56 |     21.52 ± 1.53 | 309.00 ± 11.43 |     38.40 ± 5.45 |                     |                     |                     |          0.433 |            0 |
| qwen3.8-flash-next |          pp2048 (c16) |  3251.59 ± 10.60 |  526.50 ± 474.71 |                |                  |   6030.21 ± 2990.29 |   6028.40 ± 2990.29 |   6030.21 ± 2990.29 |          0.435 |            0 |
| qwen3.8-flash-next |           tg512 (c16) |    223.93 ± 2.76 |     17.14 ± 1.81 | 401.00 ± 19.82 |     32.50 ± 3.43 |                     |                     |                     |          0.435 |            0 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c1) |   3068.92 ± 6.70 |   3068.92 ± 6.70 |                |                  |     5345.08 ± 11.64 |     5343.27 ± 11.64 |     5347.58 ± 11.59 |          0.399 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c1) |     50.88 ± 3.65 |     50.88 ± 3.65 |   62.33 ± 0.47 |     62.33 ± 0.47 |                     |                     |                     |          0.399 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c1) |    793.75 ± 1.14 |    793.75 ± 1.14 |                |                  |      2581.98 ± 3.71 |      2580.16 ± 3.71 |      2581.98 ± 3.71 |          0.399 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c1) |     53.57 ± 2.89 |     53.57 ± 2.89 |   72.33 ± 4.11 |     72.33 ± 4.11 |                     |                     |                     |          0.399 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c2) |   3061.44 ± 3.24 | 1826.24 ± 295.04 |                |                  |   9221.47 ± 1489.41 |   9219.66 ± 1489.41 |   9223.02 ± 1489.28 |          0.392 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c2) |     58.59 ± 6.42 |     38.91 ± 4.93 |  103.67 ± 2.87 |     57.83 ± 5.46 |                     |                     |                     |          0.392 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c2) |    811.21 ± 2.31 |   504.79 ± 98.96 |                |                  |    4221.11 ± 827.10 |    4219.29 ± 827.10 |    4222.59 ± 826.51 |          0.392 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c2) |     75.00 ± 2.69 |     40.93 ± 4.02 |  109.00 ± 4.32 |     60.33 ± 4.15 |                     |                     |                     |          0.392 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c4) |   3098.62 ± 1.93 |  957.52 ± 153.12 |                |                  |  17571.10 ± 2789.72 |  17569.28 ± 2789.72 |  17572.81 ± 2790.80 |           0.39 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c4) |     78.33 ± 3.28 |     26.60 ± 4.43 |  154.67 ± 2.49 |     46.83 ± 4.56 |                     |                     |                     |           0.39 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c4) |    840.08 ± 4.26 |  296.09 ± 109.94 |                |                  |   7698.87 ± 2132.45 |   7697.05 ± 2132.45 |   7701.13 ± 2132.39 |           0.39 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c4) |     98.99 ± 0.31 |     31.56 ± 3.38 |  175.00 ± 4.55 |     50.50 ± 3.64 |                     |                     |                     |           0.39 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c5) |  3081.66 ± 20.66 |  804.21 ± 192.66 |                |                  |  21525.86 ± 4741.44 |  21524.04 ± 4741.44 |  21528.48 ± 4741.54 |          0.404 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c5) |     76.38 ± 7.11 |     24.14 ± 8.11 | 172.33 ± 14.20 |     46.60 ± 9.34 |                     |                     |                     |          0.404 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c5) |   845.88 ± 10.79 |  253.74 ± 117.83 |                |                  |   9363.98 ± 2881.09 |   9362.16 ± 2881.09 |   9366.28 ± 2881.33 |          0.404 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c5) |    105.84 ± 0.72 |     28.42 ± 3.93 | 206.00 ± 14.45 |     45.93 ± 2.74 |                     |                     |                     |          0.404 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c8) |   3083.92 ± 6.59 |  628.96 ± 282.49 |                |                  | 30508.72 ± 10203.26 | 30506.90 ± 10203.26 | 30510.79 ± 10203.76 |          0.395 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c8) |     74.87 ± 5.50 |     16.52 ± 5.43 |  217.00 ± 6.48 |     40.25 ± 5.07 |                     |                     |                     |          0.395 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c8) |    853.05 ± 1.11 |  199.16 ± 118.40 |                |                  |  12979.55 ± 5063.91 |  12977.74 ± 5063.91 |  12981.45 ± 5063.41 |          0.395 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c8) |    115.02 ± 0.25 |     20.53 ± 3.90 | 245.00 ± 11.58 |     39.54 ± 3.24 |                     |                     |                     |          0.395 |        0.329 |
