| model              |                  test |     t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |   accept/draft |   prefix-hit |
|:-------------------|----------------------:|----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|---------------:|-------------:|
| qwen3.8-flash-next |           pp2048 (c1) | 3011.97 ± 35.53 |  3011.97 ± 35.53 |                |                  |       696.94 ± 8.60 |       694.88 ± 8.60 |       696.94 ± 8.60 |          0.423 |            0 |
| qwen3.8-flash-next |            tg512 (c1) |    54.67 ± 5.19 |     54.67 ± 5.19 |   73.00 ± 3.74 |     73.00 ± 3.74 |                     |                     |                     |          0.423 |            0 |
| qwen3.8-flash-next |           pp2048 (c2) | 3316.76 ± 26.28 |  1661.73 ± 13.33 |                |                  |      1260.46 ± 9.13 |      1258.40 ± 9.13 |      1260.46 ± 9.13 |          0.431 |            0 |
| qwen3.8-flash-next |            tg512 (c2) |    88.66 ± 2.63 |     46.25 ± 2.27 |  114.33 ± 3.30 |     63.83 ± 3.02 |                     |                     |                     |          0.431 |            0 |
| qwen3.8-flash-next |           pp2048 (c4) | 3217.15 ± 59.49 | 1258.16 ± 784.03 |                |                  |    2077.80 ± 693.60 |    2075.75 ± 693.60 |    2077.80 ± 693.60 |           0.44 |            0 |
| qwen3.8-flash-next |            tg512 (c4) |   132.78 ± 3.91 |     37.31 ± 1.42 |  191.00 ± 8.83 |     54.25 ± 3.59 |                     |                     |                     |           0.44 |            0 |
| qwen3.8-flash-next |           pp2048 (c5) | 3060.06 ± 35.25 | 1107.55 ± 698.46 |                |                  |    2354.92 ± 812.94 |    2352.87 ± 812.94 |    2354.92 ± 812.94 |          0.441 |            0 |
| qwen3.8-flash-next |            tg512 (c5) |   143.70 ± 5.18 |     32.75 ± 2.24 | 210.33 ± 10.87 |     49.20 ± 2.86 |                     |                     |                     |          0.441 |            0 |
| qwen3.8-flash-next |           pp2048 (c8) | 3224.85 ± 56.34 |  752.27 ± 328.30 |                |                  |   3351.42 ± 1340.20 |   3349.36 ± 1340.20 |   3351.42 ± 1340.20 |          0.441 |            0 |
| qwen3.8-flash-next |            tg512 (c8) |   191.08 ± 1.27 |     26.92 ± 2.05 |  301.67 ± 7.59 |     43.42 ± 2.75 |                     |                     |                     |          0.441 |            0 |
| qwen3.8-flash-next |          pp2048 (c10) | 3216.84 ± 33.45 |  697.14 ± 520.07 |                |                  |   4051.78 ± 1767.97 |   4049.73 ± 1767.97 |   4051.78 ± 1767.97 |          0.414 |            0 |
| qwen3.8-flash-next |           tg512 (c10) |   194.58 ± 5.68 |     22.87 ± 1.81 | 323.67 ± 19.22 |     39.97 ± 3.41 |                     |                     |                     |          0.414 |            0 |
| qwen3.8-flash-next |          pp2048 (c16) |  3239.19 ± 8.37 |  557.42 ± 587.43 |                |                  |   6041.70 ± 2974.54 |   6039.65 ± 2974.54 |   6041.70 ± 2974.54 |          0.436 |            0 |
| qwen3.8-flash-next |           tg512 (c16) |   237.53 ± 2.84 |     18.79 ± 2.12 |  453.33 ± 3.09 |     35.29 ± 3.54 |                     |                     |                     |          0.436 |            0 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c1) |  3059.46 ± 5.85 |   3059.46 ± 5.85 |                |                  |     5361.84 ± 10.26 |     5359.78 ± 10.26 |     5363.50 ± 10.55 |          0.418 |        0.411 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c1) |    53.22 ± 4.21 |     53.22 ± 4.21 |   72.33 ± 8.34 |     72.33 ± 8.34 |                     |                     |                     |          0.418 |        0.411 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c1) |  1261.10 ± 8.55 |   1261.10 ± 8.55 |                |                  |     1626.10 ± 10.99 |     1624.05 ± 10.99 |     1627.21 ± 11.73 |          0.418 |        0.411 |
| qwen3.8-flash-next |   tg512 @ d16384 (c1) |    56.58 ± 1.93 |     56.58 ± 1.93 |   72.00 ± 2.45 |     72.00 ± 2.45 |                     |                     |                     |          0.418 |        0.411 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c2) |  3056.73 ± 4.70 | 1823.19 ± 294.26 |                |                  |   9236.48 ± 1490.50 |   9234.42 ± 1490.50 |   9238.17 ± 1490.51 |          0.412 |        0.411 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c2) |    68.85 ± 0.60 |     39.96 ± 5.65 |  114.00 ± 6.16 |     64.83 ± 9.72 |                     |                     |                     |          0.412 |        0.411 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c2) |  1279.89 ± 4.88 |  952.25 ± 311.67 |                |                  |    2410.76 ± 788.30 |    2408.70 ± 788.30 |    2411.75 ± 788.20 |          0.412 |        0.411 |
| qwen3.8-flash-next |   tg512 @ d16384 (c2) |    83.60 ± 3.45 |     46.04 ± 4.26 |  123.33 ± 4.19 |     65.50 ± 3.91 |                     |                     |                     |          0.412 |        0.411 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c4) |  3095.36 ± 6.62 |  956.21 ± 152.76 |                |                  |  17594.61 ± 2790.48 |  17592.56 ± 2790.48 |  17596.35 ± 2790.48 |          0.405 |        0.411 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c4) |    72.05 ± 9.50 |     25.56 ± 9.40 | 146.67 ± 14.52 |    50.25 ± 13.32 |                     |                     |                     |          0.405 |        0.411 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c4) |  1384.42 ± 3.19 |  598.57 ± 386.99 |                |                  |   4510.40 ± 1692.17 |   4508.35 ± 1692.17 |   4511.85 ± 1692.31 |          0.405 |        0.411 |
| qwen3.8-flash-next |   tg512 @ d16384 (c4) |   108.81 ± 1.90 |     34.31 ± 3.22 |  194.00 ± 5.89 |     53.33 ± 4.09 |                     |                     |                     |          0.405 |        0.411 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c5) |  3096.66 ± 2.15 |  808.51 ± 193.83 |                |                  |  21413.21 ± 4719.22 |  21411.16 ± 4719.22 |  21415.36 ± 4719.44 |          0.399 |        0.411 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c5) |    87.81 ± 2.27 |     25.01 ± 5.15 |  183.67 ± 6.34 |     46.87 ± 5.18 |                     |                     |                     |          0.399 |        0.411 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c5) | 1395.39 ± 10.69 |  503.60 ± 325.17 |                |                  |   5254.04 ± 1971.77 |   5251.99 ± 1971.77 |   5255.36 ± 1971.46 |          0.399 |        0.411 |
| qwen3.8-flash-next |   tg512 @ d16384 (c5) |   122.25 ± 2.24 |     30.48 ± 2.99 |  209.00 ± 9.42 |     50.00 ± 2.99 |                     |                     |                     |          0.399 |        0.411 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c8) |  3086.13 ± 6.03 |  628.58 ± 281.63 |                |                  | 30506.88 ± 10185.36 | 30504.82 ± 10185.36 | 30508.92 ± 10185.18 |          0.399 |        0.411 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c8) |    78.14 ± 4.60 |     17.95 ± 6.26 |  248.67 ± 7.32 |     43.58 ± 6.45 |                     |                     |                     |          0.399 |        0.411 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c8) |  1412.85 ± 1.27 |  388.37 ± 339.32 |                |                  |   7651.33 ± 3177.92 |   7649.27 ± 3177.92 |   7653.29 ± 3178.08 |          0.399 |        0.411 |
| qwen3.8-flash-next |   tg512 @ d16384 (c8) |   139.88 ± 2.90 |     23.36 ± 2.91 |  261.33 ± 9.57 |     40.21 ± 3.34 |                     |                     |                     |          0.399 |        0.411 |
| qwen3.8-flash-next | ctx_pp @ d16384 (c10) |  3067.58 ± 0.67 |  587.53 ± 282.44 |                |                  | 33948.41 ± 13526.19 | 33946.35 ± 13526.19 | 33950.53 ± 13526.57 |          0.411 |        0.411 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c10) |    76.53 ± 4.53 |     14.57 ± 7.18 | 260.67 ± 17.21 |     39.67 ± 9.48 |                     |                     |                     |          0.411 |        0.411 |
| qwen3.8-flash-next | pp2048 @ d16384 (c10) |  1410.57 ± 0.95 |  339.62 ± 317.04 |                |                  |   9018.77 ± 4014.83 |   9016.71 ± 4014.83 |   9020.46 ± 4014.48 |          0.411 |        0.411 |
| qwen3.8-flash-next |  tg512 @ d16384 (c10) |   152.51 ± 2.88 |     20.99 ± 3.32 |  305.33 ± 5.25 |     39.27 ± 3.90 |                     |                     |                     |          0.411 |        0.411 |
| qwen3.8-flash-next | ctx_pp @ d16384 (c16) |  3045.37 ± 2.06 |  449.70 ± 284.41 |                |                  | 49533.35 ± 23525.07 | 49531.29 ± 23525.07 | 49535.86 ± 23525.22 |          0.406 |        0.411 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c16) |    75.85 ± 3.67 |      9.94 ± 5.17 |  369.67 ± 1.70 |     34.69 ± 5.75 |                     |                     |                     |          0.406 |        0.411 |
| qwen3.8-flash-next | pp2048 @ d16384 (c16) |  1399.28 ± 1.37 |  249.70 ± 273.40 |                |                  |  13328.66 ± 6612.78 |  13326.60 ± 6612.78 |  13330.84 ± 6612.96 |          0.406 |        0.411 |
| qwen3.8-flash-next |  tg512 @ d16384 (c16) |   177.97 ± 0.39 |     16.06 ± 3.29 | 416.67 ± 14.38 |     33.29 ± 3.43 |                     |                     |                     |          0.406 |        0.411 |
