| model              |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |   accept/draft |   prefix-hit |
|:-------------------|----------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|---------------:|-------------:|
| qwen3.8-flash-next |           pp2048 (c1) | 2895.02 ± 103.83 | 2895.02 ± 103.83 |                |                  |      725.77 ± 25.33 |      723.64 ± 25.33 |      725.77 ± 25.33 |          0.438 |            0 |
| qwen3.8-flash-next |            tg512 (c1) |     55.43 ± 1.67 |     55.43 ± 1.67 |   74.67 ± 8.96 |     74.67 ± 8.96 |                     |                     |                     |          0.438 |            0 |
| qwen3.8-flash-next |           pp2048 (c2) | 3107.20 ± 268.73 | 1786.07 ± 441.36 |                |                  |    1228.17 ± 228.65 |    1226.04 ± 228.65 |    1228.17 ± 228.65 |          0.422 |            0 |
| qwen3.8-flash-next |            tg512 (c2) |     88.66 ± 1.85 |     45.88 ± 2.62 |  120.00 ± 4.55 |     63.67 ± 1.89 |                     |                     |                     |          0.422 |            0 |
| qwen3.8-flash-next |           pp2048 (c4) |  3129.79 ± 33.42 | 1119.06 ± 494.59 |                |                  |    2093.87 ± 555.77 |    2091.75 ± 555.77 |    2093.87 ± 555.77 |          0.451 |            0 |
| qwen3.8-flash-next |            tg512 (c4) |    139.68 ± 6.18 |     37.45 ± 2.35 |  195.00 ± 5.72 |     55.08 ± 2.72 |                     |                     |                     |          0.451 |            0 |
| qwen3.8-flash-next |           pp2048 (c5) |  3144.17 ± 96.28 | 1131.38 ± 757.39 |                |                  |    2351.72 ± 825.15 |    2349.59 ± 825.15 |    2351.72 ± 825.15 |          0.438 |            0 |
| qwen3.8-flash-next |            tg512 (c5) |    143.48 ± 6.64 |     32.47 ± 2.53 |  203.67 ± 6.60 |     47.53 ± 3.93 |                     |                     |                     |          0.438 |            0 |
| qwen3.8-flash-next |           pp2048 (c8) |  3226.74 ± 64.16 |  802.18 ± 546.43 |                |                  |   3362.87 ± 1358.65 |   3360.74 ± 1358.65 |   3362.87 ± 1358.65 |          0.443 |            0 |
| qwen3.8-flash-next |            tg512 (c8) |    185.03 ± 5.44 |     26.68 ± 2.20 |  309.67 ± 8.22 |     43.79 ± 3.87 |                     |                     |                     |          0.443 |            0 |
| qwen3.8-flash-next |          pp2048 (c10) |   3255.86 ± 4.40 |  782.75 ± 761.39 |                |                  |   4105.02 ± 1879.35 |   4102.90 ± 1879.35 |   4105.02 ± 1879.35 |          0.422 |            0 |
| qwen3.8-flash-next |           tg512 (c10) |    188.24 ± 2.53 |     23.15 ± 2.03 |  311.33 ± 1.25 |     39.70 ± 2.76 |                     |                     |                     |          0.422 |            0 |
| qwen3.8-flash-next |          pp2048 (c16) |   3236.49 ± 0.04 |  570.13 ± 649.80 |                |                  |   6080.64 ± 2999.07 |   6078.51 ± 2999.07 |   6080.64 ± 2999.07 |          0.434 |            0 |
| qwen3.8-flash-next |           tg512 (c16) |    237.63 ± 1.03 |     18.88 ± 2.11 | 458.33 ± 10.34 |     35.58 ± 3.86 |                     |                     |                     |          0.434 |            0 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c1) |  3041.98 ± 18.07 |  3041.98 ± 18.07 |                |                  |     5392.77 ± 32.18 |     5390.65 ± 32.18 |     5395.42 ± 32.23 |          0.398 |        0.411 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c1) |     49.81 ± 6.44 |     49.81 ± 6.44 |   73.67 ± 8.65 |     73.67 ± 8.65 |                     |                     |                     |          0.398 |        0.411 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c1) |   1263.37 ± 2.48 |   1263.37 ± 2.48 |                |                  |      1623.19 ± 3.18 |      1621.07 ± 3.18 |      1624.62 ± 3.17 |          0.398 |        0.411 |
| qwen3.8-flash-next |   tg512 @ d16384 (c1) |     55.60 ± 2.95 |     55.60 ± 2.95 |   74.33 ± 5.44 |     74.33 ± 5.44 |                     |                     |                     |          0.398 |        0.411 |
