| model              |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |   accept/draft |   prefix-hit |
|:-------------------|----------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|---------------:|-------------:|
| qwen3.8-flash-next |           pp2048 (c1) | 2824.58 ± 217.03 | 2824.58 ± 217.03 |                |                  |      747.71 ± 58.77 |      745.39 ± 58.77 |      747.71 ± 58.77 |          0.443 |            0 |
| qwen3.8-flash-next |            tg512 (c1) |     53.21 ± 2.11 |     53.21 ± 2.11 |   73.00 ± 2.16 |     73.00 ± 2.16 |                     |                     |                     |          0.443 |            0 |
| qwen3.8-flash-next |           pp2048 (c2) | 3106.24 ± 284.50 | 1784.48 ± 432.79 |                |                  |    1228.76 ± 229.83 |    1226.44 ± 229.83 |    1228.76 ± 229.83 |          0.435 |            0 |
| qwen3.8-flash-next |            tg512 (c2) |     90.12 ± 7.18 |     46.50 ± 3.38 |  114.33 ± 6.02 |     61.50 ± 3.25 |                     |                     |                     |          0.435 |            0 |
| qwen3.8-flash-next |           pp2048 (c4) |  3110.06 ± 49.87 | 1044.52 ± 156.00 |                |                  |    2059.70 ± 366.68 |    2057.38 ± 366.68 |    2059.70 ± 366.68 |          0.442 |            0 |
| qwen3.8-flash-next |            tg512 (c4) |    137.64 ± 2.04 |     36.87 ± 2.11 |  193.33 ± 8.65 |     54.83 ± 3.98 |                     |                     |                     |          0.442 |            0 |
| qwen3.8-flash-next |           pp2048 (c5) |   3289.43 ± 3.18 |  960.88 ± 247.13 |                |                  |    2352.00 ± 674.27 |    2349.68 ± 674.27 |    2352.00 ± 674.27 |          0.425 |            0 |
| qwen3.8-flash-next |            tg512 (c5) |    149.57 ± 2.47 |     32.40 ± 1.83 |  208.00 ± 7.35 |     50.20 ± 5.46 |                     |                     |                     |          0.425 |            0 |
| qwen3.8-flash-next |           pp2048 (c8) |  3203.96 ± 71.52 |  759.18 ± 330.69 |                |                  |   3347.49 ± 1389.90 |   3345.17 ± 1389.90 |   3347.49 ± 1389.90 |          0.435 |            0 |
| qwen3.8-flash-next |            tg512 (c8) |    185.88 ± 3.86 |     26.57 ± 1.90 |  281.33 ± 8.50 |     43.71 ± 3.05 |                     |                     |                     |          0.435 |            0 |
| qwen3.8-flash-next |          pp2048 (c10) |  3234.19 ± 37.68 |  701.56 ± 525.35 |                |                  |   4072.05 ± 1821.31 |   4069.73 ± 1821.31 |   4072.05 ± 1821.31 |          0.427 |            0 |
| qwen3.8-flash-next |           tg512 (c10) |    193.63 ± 7.70 |     23.18 ± 2.47 |  330.67 ± 5.19 |     40.37 ± 4.55 |                     |                     |                     |          0.427 |            0 |
| qwen3.8-flash-next |          pp2048 (c16) |  3185.96 ± 38.82 |  563.39 ± 644.58 |                |                  |   6171.82 ± 3051.19 |   6169.50 ± 3051.19 |   6171.82 ± 3051.19 |           0.44 |            0 |
| qwen3.8-flash-next |           tg512 (c16) |    234.72 ± 3.63 |     18.71 ± 2.34 | 444.00 ± 21.95 |     34.58 ± 3.29 |                     |                     |                     |           0.44 |            0 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c1) |   3047.91 ± 2.66 |   3047.91 ± 2.66 |                |                  |      5382.08 ± 4.65 |      5379.76 ± 4.65 |      5383.72 ± 5.80 |          0.405 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c1) |     50.39 ± 0.36 |     50.39 ± 0.36 |   67.00 ± 4.32 |     67.00 ± 4.32 |                     |                     |                     |          0.405 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c1) |    786.42 ± 1.58 |    786.42 ± 1.58 |                |                  |      2606.53 ± 5.24 |      2604.21 ± 5.24 |      2607.65 ± 5.87 |          0.405 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c1) |     51.39 ± 4.04 |     51.39 ± 4.04 |   72.33 ± 3.68 |     72.33 ± 3.68 |                     |                     |                     |          0.405 |        0.329 |
