| model                                        |                 test |     t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:---------------------------------------------|---------------------:|----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_pp @ d32768 (c1) | 2759.98 ± 24.99 |  2759.98 ± 24.99 |                |                  |   11875.84 ± 107.53 |   11874.24 ± 107.53 |   11877.97 ± 107.09 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_tg @ d32768 (c1) |    36.71 ± 0.81 |     36.71 ± 0.81 |   44.50 ± 0.50 |     44.50 ± 0.50 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | pp2048 @ d32768 (c1) | 1705.27 ± 69.80 |  1705.27 ± 69.80 |                |                  |     1204.61 ± 49.24 |     1203.00 ± 49.24 |     1207.34 ± 49.25 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  tg256 @ d32768 (c1) |    40.63 ± 0.26 |     40.63 ± 0.26 |   55.00 ± 0.00 |     55.00 ± 0.00 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_pp @ d32768 (c2) |  2818.89 ± 4.53 |   1415.37 ± 6.19 |                |                  |   23154.77 ± 101.44 |   23153.16 ± 101.44 |   23157.27 ± 101.47 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_tg @ d32768 (c2) |    53.40 ± 5.41 |     31.84 ± 1.62 |   79.00 ± 4.00 |     43.50 ± 3.50 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | pp2048 @ d32768 (c2) | 1853.74 ± 37.64 | 1305.71 ± 380.34 |                |                  |    1714.21 ± 495.71 |    1712.60 ± 495.71 |    1716.92 ± 495.87 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  tg256 @ d32768 (c2) |    54.35 ± 6.88 |     29.98 ± 4.60 | 105.50 ± 17.50 |    54.75 ± 11.52 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_pp @ d32768 (c5) |  2751.60 ± 6.52 |  817.20 ± 274.96 |                |                  | 44428.20 ± 13038.36 | 44426.59 ± 13038.36 | 44429.27 ± 13037.41 |
