| model                                        |                 test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:---------------------------------------------|---------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |          pp2048 (c1) |   2538.51 ± 5.01 |   2538.51 ± 5.01 |                |                  |       812.80 ± 1.59 |       807.17 ± 1.59 |       812.80 ± 1.59 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |           tg256 (c1) |     42.83 ± 1.00 |     42.83 ± 1.00 |   60.00 ± 5.00 |     60.00 ± 5.00 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |          pp2048 (c2) |  2513.52 ± 24.52 | 1903.95 ± 642.63 |                |                  |    1220.42 ± 410.31 |    1214.79 ± 410.31 |    1220.42 ± 410.31 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |           tg256 (c2) |    54.45 ± 10.37 |     29.46 ± 5.18 |   92.50 ± 3.50 |     47.50 ± 2.96 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |          pp2048 (c5) |  2709.55 ± 32.66 |  897.25 ± 695.80 |                |                  |   3155.72 ± 1123.29 |   3150.09 ± 1123.29 |   3155.72 ± 1123.29 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |           tg256 (c5) |     60.91 ± 1.46 |     18.83 ± 4.17 |  131.00 ± 3.00 |     30.20 ± 9.70 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  ctx_pp @ d4096 (c1) |  2486.93 ± 46.46 |  2486.93 ± 46.46 |                |                  |     1653.82 ± 30.99 |     1648.19 ± 30.99 |     1653.82 ± 30.99 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  ctx_tg @ d4096 (c1) |     40.85 ± 0.27 |     40.85 ± 0.27 |   47.00 ± 4.00 |     47.00 ± 4.00 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  pp2048 @ d4096 (c1) | 2176.39 ± 105.70 | 2176.39 ± 105.70 |                |                  |      948.86 ± 45.81 |      943.23 ± 45.81 |      948.86 ± 45.81 |
