| model              |                 test |      t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|-----------------:|-----------------:|--------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) | 2378.41 ± 105.18 | 2378.41 ± 105.18 |               |                  |      867.77 ± 37.55 |      863.16 ± 37.55 |      867.77 ± 37.55 |
| qwen3.8-flash-next |           tg128 (c1) |     38.07 ± 2.39 |     38.07 ± 2.39 |  38.67 ± 2.49 |     38.67 ± 2.49 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) | 2579.91 ± 231.44 | 1302.99 ± 117.87 |               |                  |    1591.16 ± 153.40 |    1586.54 ± 153.40 |    1591.16 ± 153.40 |
| qwen3.8-flash-next |           tg128 (c2) |     63.43 ± 1.01 |     33.13 ± 1.52 |  67.33 ± 1.25 |     33.67 ± 1.49 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) | 2913.12 ± 144.18 |  667.53 ± 158.76 |               |                  |    3205.17 ± 558.58 |    3200.56 ± 558.58 |    3205.17 ± 558.58 |
| qwen3.8-flash-next |           tg128 (c5) |     78.09 ± 9.15 |     21.27 ± 3.29 | 109.00 ± 5.72 |     21.80 ± 3.31 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) |  2706.62 ± 12.52 |  2706.62 ± 12.52 |               |                  |       762.16 ± 3.68 |       757.54 ± 3.68 |       762.16 ± 3.68 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |     32.99 ± 1.39 |     32.99 ± 1.39 |  33.33 ± 1.25 |     33.33 ± 1.25 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) |   1429.24 ± 3.15 |   1429.24 ± 3.15 |               |                  |      1437.55 ± 3.16 |      1432.94 ± 3.16 |      1437.55 ± 3.16 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |     33.42 ± 2.76 |     33.42 ± 2.76 |  34.25 ± 2.61 |     34.25 ± 2.61 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) | 2574.92 ± 298.88 | 1294.90 ± 150.31 |               |                  |    1611.33 ± 203.18 |    1606.72 ± 203.18 |    1611.33 ± 203.18 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |     54.50 ± 0.92 |     28.60 ± 2.06 |  58.00 ± 2.45 |     29.00 ± 2.00 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) |   1931.84 ± 3.72 |    968.15 ± 1.88 |               |                  |      2120.00 ± 4.10 |      2115.38 ± 4.10 |      2120.00 ± 4.10 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |     61.18 ± 1.90 |     31.43 ± 1.67 |  64.00 ± 2.83 |     32.00 ± 1.63 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) |   2998.98 ± 6.92 |   648.43 ± 79.25 |               |                  |    3206.49 ± 332.17 |    3201.88 ± 332.17 |    3206.49 ± 332.17 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |     89.01 ± 2.15 |     20.80 ± 1.22 | 105.67 ± 3.77 |     21.13 ± 1.26 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) | 1730.62 ± 150.92 |  430.52 ± 149.06 |               |                  |   5195.02 ± 1300.28 |   5190.40 ± 1300.28 |   5195.02 ± 1300.28 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |     74.21 ± 7.82 |     22.37 ± 4.49 | 114.00 ± 2.16 |     22.87 ± 4.54 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) |   2861.47 ± 4.68 |   2861.47 ± 4.68 |               |                  |      1436.75 ± 2.34 |      1432.13 ± 2.34 |      1436.75 ± 2.34 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |     34.09 ± 1.95 |     34.09 ± 1.95 |  34.67 ± 1.70 |     34.67 ± 1.70 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |  905.12 ± 107.02 |  905.12 ± 107.02 |               |                  |    2302.36 ± 296.48 |    2297.75 ± 296.48 |    2302.36 ± 296.48 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |     31.03 ± 8.42 |     31.03 ± 8.42 |  31.67 ± 8.26 |     31.67 ± 8.26 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) |   2915.28 ± 6.18 |   1461.87 ± 3.47 |               |                  |      2807.89 ± 6.64 |      2803.27 ± 6.64 |      2807.89 ± 6.64 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |     57.06 ± 2.03 |     29.32 ± 1.53 |  59.67 ± 2.36 |     29.83 ± 1.57 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) |   1430.56 ± 8.24 |  761.46 ± 100.35 |               |                  |    2732.55 ± 291.07 |    2727.94 ± 291.07 |    2732.55 ± 291.07 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |     55.79 ± 3.38 |     29.28 ± 2.45 |  59.33 ± 3.68 |     29.67 ± 2.43 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) | 2909.82 ± 149.33 |  706.74 ± 170.46 |               |                  |   6094.02 ± 1224.87 |   6089.40 ± 1224.87 |   6094.02 ± 1224.87 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |     67.64 ± 4.58 |     20.04 ± 4.76 | 102.67 ± 2.49 |     20.53 ± 4.60 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) | 1946.18 ± 113.18 |  463.79 ± 148.14 |               |                  |    4691.36 ± 884.50 |    4686.75 ± 884.50 |    4691.36 ± 884.50 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |    79.44 ± 10.52 |     22.24 ± 2.85 | 113.33 ± 5.44 |     22.67 ± 2.91 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) |   2945.62 ± 4.96 |   2945.62 ± 4.96 |               |                  |      2786.27 ± 4.67 |      2781.65 ± 4.67 |      2786.27 ± 4.67 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |     36.96 ± 0.89 |     36.96 ± 0.89 |  37.67 ± 0.94 |     37.67 ± 0.94 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |   897.11 ± 97.57 |   897.11 ± 97.57 |               |                  |    2317.13 ± 272.43 |    2312.51 ± 272.43 |    2317.13 ± 272.43 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |     37.67 ± 3.80 |     37.67 ± 3.80 |  38.00 ± 3.74 |     38.00 ± 3.74 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) | 2870.04 ± 126.75 |  1459.25 ± 69.60 |               |                  |    5632.91 ± 274.82 |    5628.30 ± 274.82 |    5632.91 ± 274.82 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |     50.11 ± 1.54 |     25.96 ± 1.27 |  52.67 ± 2.05 |     26.33 ± 1.37 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) |   1407.40 ± 4.73 |  790.45 ± 121.74 |               |                  |    2652.18 ± 367.77 |    2647.57 ± 367.77 |    2652.18 ± 367.77 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |     52.12 ± 4.54 |     29.59 ± 3.40 |  60.67 ± 0.47 |     30.33 ± 3.50 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) |  2799.14 ± 91.18 |  860.94 ± 340.99 |               |                  |  10855.29 ± 3497.06 |  10850.67 ± 3497.06 |  10855.29 ± 3497.06 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |     40.94 ± 0.82 |     15.64 ± 5.71 |  81.00 ± 4.24 |     16.20 ± 5.76 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) |  1979.37 ± 31.21 |  507.60 ± 189.49 |               |                  |   4429.63 ± 1073.45 |   4425.02 ± 1073.45 |   4429.63 ± 1073.45 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |     77.17 ± 9.97 |     21.32 ± 3.46 | 108.67 ± 4.92 |     21.73 ± 3.49 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) | 2414.09 ± 583.03 | 2414.09 ± 583.03 |               |                  |   7305.76 ± 2126.24 |   7301.14 ± 2126.24 |   7305.76 ± 2126.24 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |     38.08 ± 3.42 |     38.08 ± 3.42 |  38.67 ± 3.30 |     38.67 ± 3.30 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) |   844.69 ± 69.98 |   844.69 ± 69.98 |               |                  |    2446.04 ± 203.79 |    2441.42 ± 203.79 |    2446.04 ± 203.79 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |     38.36 ± 2.53 |     38.36 ± 2.53 |  39.00 ± 2.16 |     39.00 ± 2.16 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) |  2918.56 ± 47.05 | 1726.38 ± 267.44 |               |                  |   9729.73 ± 1508.50 |   9725.11 ± 1508.50 |   9729.73 ± 1508.50 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |     31.41 ± 4.99 |     23.46 ± 7.81 |  48.00 ± 3.56 |     24.00 ± 7.70 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) |  1391.56 ± 48.32 |   739.24 ± 92.67 |               |                  |    2812.25 ± 297.90 |    2807.64 ± 297.90 |    2812.25 ± 297.90 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |    47.16 ± 10.11 |     28.43 ± 6.22 |  57.67 ± 4.99 |     28.83 ± 6.15 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) |   2931.32 ± 8.87 | 1047.40 ± 501.51 |               |                  |  18876.68 ± 7130.41 |  18872.07 ± 7130.41 |  18876.68 ± 7130.41 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |     24.16 ± 0.27 |     11.31 ± 6.30 |  58.67 ± 2.05 |     11.80 ± 6.29 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) |  1871.03 ± 59.00 |  512.34 ± 209.36 |               |                  |   4518.18 ± 1288.64 |   4513.57 ± 1288.64 |   4518.18 ± 1288.64 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |     69.81 ± 0.50 |     20.70 ± 3.88 | 105.67 ± 5.73 |     21.13 ± 3.95 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) |  2910.91 ± 71.57 |  2910.91 ± 71.57 |               |                  |   11269.30 ± 281.79 |   11264.69 ± 281.79 |   11269.30 ± 281.79 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |     33.00 ± 3.52 |     33.00 ± 3.52 |  33.33 ± 3.30 |     33.33 ± 3.30 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) |    892.44 ± 4.09 |    892.44 ± 4.09 |               |                  |     2299.50 ± 10.53 |     2294.88 ± 10.53 |     2299.50 ± 10.53 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |     36.46 ± 2.70 |     36.46 ± 2.70 |  37.00 ± 2.45 |     37.00 ± 2.45 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) |  2907.87 ± 32.14 | 1924.39 ± 470.49 |               |                  |  18115.93 ± 4429.33 |  18111.31 ± 4429.33 |  18115.93 ± 4429.33 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |     17.18 ± 1.83 |    19.36 ± 11.45 |  39.67 ± 2.87 |    20.00 ± 11.49 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) |  1306.33 ± 21.22 |   694.01 ± 93.70 |               |                  |    2999.77 ± 327.58 |    2995.15 ± 327.58 |    2999.77 ± 327.58 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |     58.96 ± 3.94 |     31.73 ± 1.43 |  64.33 ± 0.94 |     32.17 ± 1.34 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c5) |  2894.76 ± 19.84 | 1135.87 ± 611.19 |               |                  | 36396.81 ± 15094.18 | 36392.20 ± 15094.18 | 36396.81 ± 15094.18 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c5) |     12.74 ± 0.37 |      7.89 ± 6.46 |  42.00 ± 0.82 |      8.40 ± 6.60 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c5) | 1736.71 ± 126.62 |  473.78 ± 178.95 |               |                  |   4816.43 ± 1348.30 |   4811.81 ± 1348.30 |   4816.43 ± 1348.30 |
| qwen3.8-flash-next |  tg128 @ d32768 (c5) |    64.37 ± 10.41 |     20.32 ± 5.22 | 104.00 ± 9.27 |     20.80 ± 5.22 |                     |                     |                     |
