| model              |                 test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) |  2495.83 ± 56.91 |  2495.83 ± 56.91 |                |                  |      823.09 ± 18.50 |      821.39 ± 18.50 |      823.09 ± 18.50 |
| qwen3.8-flash-next |           tg128 (c1) |     26.32 ± 0.08 |     26.32 ± 0.08 |   27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) |  2951.68 ± 61.08 |  1484.04 ± 31.28 |                |                  |     1383.12 ± 29.14 |     1381.42 ± 29.14 |     1383.12 ± 29.14 |
| qwen3.8-flash-next |           tg128 (c2) |     52.87 ± 0.30 |     26.47 ± 0.15 |   54.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) |   3114.79 ± 9.93 |  726.55 ± 183.94 |                |                  |    2960.56 ± 548.53 |    2958.86 ± 548.53 |    2960.56 ± 548.53 |
| qwen3.8-flash-next |           tg128 (c5) |     85.29 ± 3.23 |     20.10 ± 1.78 |  102.33 ± 3.77 |     20.47 ± 1.63 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) |  2917.97 ± 21.90 |  2917.97 ± 21.90 |                |                  |       704.28 ± 5.25 |       702.58 ± 5.25 |       704.28 ± 5.25 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |     26.37 ± 0.10 |     26.37 ± 0.10 |   27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) |  1550.50 ± 38.91 |  1550.50 ± 38.91 |                |                  |     1323.39 ± 32.66 |     1321.69 ± 32.66 |     1323.39 ± 32.66 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |     25.53 ± 1.21 |     25.53 ± 1.21 |   26.00 ± 1.41 |     26.00 ± 1.41 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) |  1917.00 ± 45.29 |   960.22 ± 22.70 |                |                  |     2138.00 ± 50.69 |     2136.29 ± 50.69 |     2138.00 ± 50.69 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |     45.72 ± 4.35 |     22.87 ± 2.18 |   46.67 ± 3.77 |     23.33 ± 1.89 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) |  1318.83 ± 12.71 |    662.42 ± 7.11 |                |                  |     3093.74 ± 33.17 |     3092.03 ± 33.17 |     3093.74 ± 33.17 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |     43.36 ± 2.26 |     21.73 ± 1.12 |   44.67 ± 2.49 |     22.33 ± 1.25 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) | 2827.75 ± 531.47 |  617.91 ± 135.07 |                |                  |    3501.36 ± 852.86 |    3499.66 ± 852.86 |    3501.36 ± 852.86 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |    86.62 ± 13.03 |     19.61 ± 2.49 | 100.33 ± 10.84 |     20.07 ± 2.43 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) | 1721.74 ± 343.90 |  483.02 ± 250.21 |                |                  |   5204.77 ± 2072.36 |   5203.07 ± 2072.36 |   5204.77 ± 2072.36 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |     71.56 ± 2.58 |     18.98 ± 2.97 |   97.33 ± 3.30 |     19.47 ± 2.92 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) |   3049.58 ± 7.36 |   3049.58 ± 7.36 |                |                  |      1345.50 ± 3.25 |      1343.80 ± 3.25 |      1345.50 ± 3.25 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |     26.42 ± 0.04 |     26.42 ± 0.04 |   27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |   1046.38 ± 3.17 |   1046.38 ± 3.17 |                |                  |      1958.95 ± 5.94 |      1957.25 ± 5.94 |      1958.95 ± 5.94 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |     26.26 ± 0.10 |     26.26 ± 0.10 |   27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) |   3108.68 ± 7.22 |   1556.39 ± 3.67 |                |                  |      2634.41 ± 6.24 |      2632.71 ± 6.24 |      2634.41 ± 6.24 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |     52.89 ± 0.17 |     26.46 ± 0.09 |   54.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) |   1525.69 ± 5.03 |    764.05 ± 2.62 |                |                  |      2682.20 ± 9.22 |      2680.50 ± 9.22 |      2682.20 ± 9.22 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |     52.85 ± 0.07 |     26.44 ± 0.04 |   54.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) |   3184.83 ± 1.36 |  772.57 ± 178.53 |                |                  |   5549.70 ± 1063.22 |   5547.99 ± 1063.22 |   5549.70 ± 1063.22 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |     72.72 ± 2.20 |     19.33 ± 2.93 |   98.67 ± 0.94 |     19.73 ± 2.93 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) |  2135.36 ± 22.95 |  565.72 ± 208.05 |                |                  |   3991.84 ± 1029.29 |   3990.14 ± 1029.29 |   3991.84 ± 1029.29 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |     74.79 ± 2.55 |     19.42 ± 2.63 |   99.00 ± 2.16 |     19.80 ± 2.66 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) |   3139.07 ± 3.18 |   3139.07 ± 3.18 |                |                  |      2612.03 ± 2.64 |      2610.33 ± 2.64 |      2612.03 ± 2.64 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |     26.25 ± 0.06 |     26.25 ± 0.06 |   27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |   1023.86 ± 2.36 |   1023.86 ± 2.36 |                |                  |      2001.99 ± 4.60 |      2000.29 ± 4.60 |      2001.99 ± 4.60 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |     26.24 ± 0.02 |     26.24 ± 0.02 |   27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) |   3159.37 ± 5.40 |  1605.30 ± 25.13 |                |                  |     5107.39 ± 80.03 |     5105.69 ± 80.03 |     5107.39 ± 80.03 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |     47.84 ± 4.31 |     25.87 ± 0.43 |   53.00 ± 0.00 |     26.50 ± 0.50 |                     |                     |                     |
