| model              |                 test |      t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|-----------------:|-----------------:|--------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) | 2520.65 ± 307.82 | 2520.65 ± 307.82 |               |                  |     828.82 ± 110.21 |     826.21 ± 110.21 |     828.82 ± 110.21 |
| qwen3.8-flash-next |           tg128 (c1) |     39.78 ± 2.21 |     39.78 ± 2.21 |  40.33 ± 2.36 |     40.33 ± 2.36 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) | 2647.35 ± 232.16 | 1329.53 ± 116.78 |               |                  |    1556.79 ± 145.55 |    1554.18 ± 145.55 |    1556.79 ± 145.55 |
| qwen3.8-flash-next |           tg128 (c2) |     62.38 ± 1.40 |     31.96 ± 1.31 |  65.00 ± 1.63 |     32.50 ± 1.26 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) |   3023.12 ± 3.98 |   653.99 ± 78.94 |               |                  |    3174.92 ± 325.94 |    3172.31 ± 325.94 |    3174.92 ± 325.94 |
| qwen3.8-flash-next |           tg128 (c5) |     95.40 ± 2.63 |     22.21 ± 1.43 | 113.33 ± 2.05 |     22.67 ± 1.58 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) |  2854.61 ± 16.03 |  2854.61 ± 16.03 |               |                  |      1438.34 ± 7.88 |      1435.73 ± 7.88 |      1438.34 ± 7.88 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |    44.08 ± 13.76 |    44.08 ± 13.76 | 44.33 ± 13.91 |    44.33 ± 13.91 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |    989.23 ± 2.48 |    989.23 ± 2.48 |               |                  |      2072.91 ± 5.20 |      2070.31 ± 5.20 |      2072.91 ± 5.20 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |     38.19 ± 3.32 |     38.19 ± 3.32 |  38.67 ± 3.30 |     38.67 ± 3.30 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) |   2940.49 ± 8.65 |   1473.59 ± 4.71 |               |                  |      2783.38 ± 8.77 |      2780.77 ± 8.77 |      2783.38 ± 8.77 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |     55.53 ± 1.56 |     30.64 ± 2.94 |  62.33 ± 5.56 |     31.17 ± 2.91 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) |   1447.32 ± 4.47 |  809.99 ± 121.37 |               |                  |    2583.41 ± 349.48 |    2580.80 ± 349.48 |    2583.41 ± 349.48 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |     52.77 ± 2.52 |     29.58 ± 2.83 |  60.67 ± 0.94 |     30.33 ± 2.69 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) |   3004.67 ± 2.40 |  736.38 ± 171.55 |               |                  |   5827.46 ± 1125.85 |   5824.85 ± 1125.85 |   5827.46 ± 1125.85 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |     67.59 ± 1.40 |     18.71 ± 3.23 |  96.00 ± 0.82 |     19.20 ± 3.27 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) |   2028.71 ± 3.47 |   431.63 ± 42.43 |               |                  |    4787.86 ± 411.46 |    4785.25 ± 411.46 |    4787.86 ± 411.46 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |     88.53 ± 3.02 |     21.39 ± 1.74 | 109.33 ± 1.89 |     21.93 ± 1.69 |                     |                     |                     |
