| model              |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |             ttfr (ms) |          est_ppt (ms) |         e2e_ttft (ms) |   accept/draft |   prefix-hit |
|:-------------------|----------------------:|-----------------:|-----------------:|---------------:|-----------------:|----------------------:|----------------------:|----------------------:|---------------:|-------------:|
| qwen3.8-flash-next |           pp2048 (c1) |  2856.32 ± 24.51 |  2856.32 ± 24.51 |                |                  |         719.56 ± 6.12 |         717.52 ± 6.12 |         719.56 ± 6.12 |           0.39 |            0 |
| qwen3.8-flash-next |            tg128 (c1) |     51.02 ± 1.72 |     51.02 ± 1.72 |   59.67 ± 3.30 |     59.67 ± 3.30 |                       |                       |                       |           0.39 |            0 |
| qwen3.8-flash-next |           pp2048 (c2) |   3313.30 ± 8.22 |   1660.06 ± 4.33 |                |                  |        1236.23 ± 3.07 |        1234.20 ± 3.07 |        1236.23 ± 3.07 |          0.439 |            0 |
| qwen3.8-flash-next |            tg128 (c2) |     92.86 ± 3.40 |     48.69 ± 3.77 |  109.67 ± 3.30 |     58.33 ± 2.81 |                       |                       |                       |          0.439 |            0 |
| qwen3.8-flash-next |           pp2048 (c4) |  3266.53 ± 60.99 | 1272.64 ± 784.26 |                |                  |      2004.60 ± 666.36 |      2002.57 ± 666.36 |      2004.60 ± 666.36 |          0.421 |            0 |
| qwen3.8-flash-next |            tg128 (c4) |    97.94 ± 10.02 |     31.80 ± 4.64 |  160.67 ± 9.88 |     44.58 ± 3.28 |                       |                       |                       |          0.421 |            0 |
| qwen3.8-flash-next |           pp2048 (c5) | 3152.61 ± 108.98 | 1130.94 ± 745.89 |                |                  |      2295.97 ± 805.52 |      2293.94 ± 805.52 |      2295.97 ± 805.52 |          0.399 |            0 |
| qwen3.8-flash-next |            tg128 (c5) |    98.86 ± 10.89 |     25.86 ± 4.34 |  173.33 ± 4.92 |     38.20 ± 2.20 |                       |                       |                       |          0.399 |            0 |
| qwen3.8-flash-next |           pp2048 (c8) |  3250.90 ± 64.23 |  757.12 ± 329.40 |                |                  |     3274.78 ± 1337.90 |     3272.74 ± 1337.90 |     3274.78 ± 1337.90 |          0.428 |            0 |
| qwen3.8-flash-next |            tg128 (c8) |    123.11 ± 3.14 |     21.01 ± 4.68 |  244.00 ± 2.16 |     36.04 ± 3.60 |                       |                       |                       |          0.428 |            0 |
| qwen3.8-flash-next |          pp2048 (c10) |  3247.35 ± 42.52 |  739.54 ± 643.95 |                |                  |     3985.26 ± 1781.22 |     3983.23 ± 1781.22 |     3985.26 ± 1781.22 |           0.39 |            0 |
| qwen3.8-flash-next |           tg128 (c10) |    112.21 ± 6.98 |     16.91 ± 3.52 | 257.67 ± 16.50 |     31.47 ± 3.44 |                       |                       |                       |           0.39 |            0 |
| qwen3.8-flash-next |          pp2048 (c16) |   3252.37 ± 5.38 |  551.18 ± 571.16 |                |                  |     5885.65 ± 2902.57 |     5883.61 ± 2902.57 |     5885.65 ± 2902.57 |          0.399 |            0 |
| qwen3.8-flash-next |           tg128 (c16) |    126.10 ± 3.41 |     12.80 ± 3.66 |  345.00 ± 4.32 |     27.15 ± 2.71 |                       |                       |                       |          0.399 |            0 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c1) |   3049.03 ± 4.26 |   3049.03 ± 4.26 |                |                  |        5376.32 ± 7.47 |        5374.28 ± 7.47 |        5378.00 ± 8.32 |          0.413 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c1) |     49.81 ± 7.80 |     49.81 ± 7.80 |   62.33 ± 9.57 |     62.33 ± 9.57 |                       |                       |                       |          0.413 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c1) |    785.93 ± 5.32 |    785.93 ± 5.32 |                |                  |       2607.99 ± 17.63 |       2605.96 ± 17.63 |       2608.80 ± 17.34 |          0.413 |        0.329 |
| qwen3.8-flash-next |   tg128 @ d16384 (c1) |     56.82 ± 3.11 |     56.82 ± 3.11 |   64.67 ± 6.24 |     64.67 ± 6.24 |                       |                       |                       |          0.413 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c2) |   3038.72 ± 8.20 | 1812.39 ± 292.76 |                |                  |     9285.23 ± 1499.46 |     9283.20 ± 1499.46 |     9286.34 ± 1498.35 |          0.383 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c2) |     39.21 ± 0.71 |    31.06 ± 11.17 |   95.00 ± 6.48 |     52.50 ± 9.16 |                       |                       |                       |          0.383 |        0.329 |
