| model              |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |             ttfr (ms) |          est_ppt (ms) |         e2e_ttft (ms) |   accept/draft |   prefix-hit |
|:-------------------|----------------------:|-----------------:|-----------------:|---------------:|-----------------:|----------------------:|----------------------:|----------------------:|---------------:|-------------:|
| qwen3.8-flash-next |           pp2048 (c1) |  3026.54 ± 41.96 |  3026.54 ± 41.96 |                |                  |        694.03 ± 10.03 |        691.58 ± 10.03 |        694.03 ± 10.03 |          0.463 |            0 |
| qwen3.8-flash-next |            tg512 (c1) |     59.20 ± 0.58 |     59.20 ± 0.58 |   75.67 ± 3.09 |     75.67 ± 3.09 |                       |                       |                       |          0.463 |            0 |
| qwen3.8-flash-next |           pp2048 (c2) | 3016.28 ± 230.84 | 2043.19 ± 703.22 |                |                  |      1136.75 ± 325.13 |      1134.30 ± 325.13 |      1136.75 ± 325.13 |          0.456 |            0 |
| qwen3.8-flash-next |            tg512 (c2) |     91.56 ± 4.35 |     47.52 ± 2.25 |  118.67 ± 5.79 |     65.17 ± 4.88 |                       |                       |                       |          0.456 |            0 |
| qwen3.8-flash-next |           pp2048 (c4) |  3206.71 ± 59.28 | 1174.41 ± 583.47 |                |                  |      2030.14 ± 552.62 |      2027.69 ± 552.62 |      2030.14 ± 552.62 |          0.457 |            0 |
| qwen3.8-flash-next |            tg512 (c4) |    135.33 ± 5.18 |     36.19 ± 1.47 |  181.33 ± 5.73 |     52.50 ± 2.47 |                       |                       |                       |          0.457 |            0 |
| qwen3.8-flash-next |           pp2048 (c5) |  3147.38 ± 95.01 | 1131.46 ± 752.36 |                |                  |      2346.90 ± 822.75 |      2344.45 ± 822.75 |      2346.90 ± 822.75 |          0.436 |            0 |
| qwen3.8-flash-next |            tg512 (c5) |    138.70 ± 7.50 |     31.22 ± 1.48 |  207.00 ± 0.82 |     49.07 ± 4.27 |                       |                       |                       |          0.436 |            0 |
| qwen3.8-flash-next |           pp2048 (c8) |   3141.19 ± 7.76 |  810.46 ± 542.96 |                |                  |     3352.74 ± 1403.15 |     3350.28 ± 1403.15 |     3352.74 ± 1403.15 |          0.442 |            0 |
| qwen3.8-flash-next |            tg512 (c8) |    175.66 ± 5.60 |     24.96 ± 1.87 |  269.33 ± 7.13 |     41.12 ± 2.63 |                       |                       |                       |          0.442 |            0 |
| qwen3.8-flash-next |          pp2048 (c10) |  3226.95 ± 41.15 |  740.17 ± 654.28 |                |                  |     4087.57 ± 1834.08 |     4085.12 ± 1834.08 |     4087.57 ± 1834.08 |          0.429 |            0 |
| qwen3.8-flash-next |           tg512 (c10) |    179.15 ± 0.34 |     21.57 ± 1.91 | 324.33 ± 28.67 |     38.17 ± 3.76 |                       |                       |                       |          0.429 |            0 |
| qwen3.8-flash-next |          pp2048 (c16) |  3219.10 ± 27.17 |  546.43 ± 569.85 |                |                  |     6052.47 ± 2972.44 |     6050.01 ± 2972.44 |     6052.47 ± 2972.44 |          0.439 |            0 |
| qwen3.8-flash-next |           tg512 (c16) |    224.06 ± 3.56 |     17.18 ± 1.72 |  413.67 ± 6.24 |     32.33 ± 2.50 |                       |                       |                       |          0.439 |            0 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c1) |   3056.54 ± 2.67 |   3056.54 ± 2.67 |                |                  |        5367.35 ± 4.68 |        5364.90 ± 4.68 |        5367.35 ± 4.68 |          0.406 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c1) |     54.06 ± 0.60 |     54.06 ± 0.60 |   70.00 ± 1.63 |     70.00 ± 1.63 |                       |                       |                       |          0.406 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c1) |    787.85 ± 1.18 |    787.85 ± 1.18 |                |                  |        2601.93 ± 3.89 |        2599.47 ± 3.89 |        2602.48 ± 3.23 |          0.406 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c1) |     56.75 ± 2.00 |     56.75 ± 2.00 |   71.33 ± 1.70 |     71.33 ± 1.70 |                       |                       |                       |          0.406 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c2) |   3048.67 ± 1.17 | 1819.97 ± 295.20 |                |                  |     9255.82 ± 1500.82 |     9253.36 ± 1500.82 |     9256.67 ± 1500.62 |          0.412 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c2) |     46.13 ± 4.59 |    33.75 ± 17.59 |  89.33 ± 17.21 |    55.33 ± 14.57 |                       |                       |                       |          0.412 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c2) |    808.05 ± 2.47 |   503.23 ± 98.94 |                |                  |      4235.80 ± 832.30 |      4233.34 ± 832.30 |      4236.97 ± 832.20 |          0.412 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c2) |     81.50 ± 1.72 |     44.96 ± 2.87 |  117.67 ± 3.86 |     64.00 ± 2.89 |                       |                       |                       |          0.412 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c4) |   3087.57 ± 3.57 |  954.67 ± 152.90 |                |                  |    17625.84 ± 2803.31 |    17623.38 ± 2803.31 |    17627.86 ± 2804.55 |          0.404 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c4) |     80.15 ± 1.48 |     27.45 ± 5.64 |  160.67 ± 2.36 |     47.67 ± 5.59 |                       |                       |                       |          0.404 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c4) |    841.49 ± 0.58 |  297.52 ± 111.32 |                |                  |     7674.35 ± 2137.74 |     7671.89 ± 2137.74 |     7675.26 ± 2137.01 |          0.404 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c4) |    100.37 ± 1.76 |     31.87 ± 3.99 |  176.33 ± 0.47 |     51.50 ± 3.07 |                       |                       |                       |          0.404 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c5) |   3083.32 ± 1.50 |  804.86 ± 192.64 |                |                  |    21507.03 ± 4733.09 |    21504.58 ± 4733.09 |    21509.95 ± 4733.18 |          0.408 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c5) |     77.52 ± 6.46 |     23.77 ± 8.19 |  165.33 ± 6.80 |     47.33 ± 8.06 |                       |                       |                       |          0.408 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c5) |    850.09 ± 0.73 |  254.74 ± 118.01 |                |                  |     9321.16 ± 2860.16 |     9318.70 ± 2860.16 |     9323.61 ± 2860.18 |          0.408 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c5) |    106.57 ± 0.18 |     28.70 ± 3.82 | 205.67 ± 10.40 |     48.33 ± 3.55 |                       |                       |                       |          0.408 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c8) |   3071.54 ± 1.72 |  634.55 ± 279.66 |                |                  |   30192.03 ± 10221.30 |   30189.58 ± 10221.30 |   30195.04 ± 10221.79 |          0.395 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c8) |     77.70 ± 2.88 |     16.90 ± 5.73 |  225.67 ± 1.89 |     39.71 ± 6.65 |                       |                       |                       |          0.395 |        0.329 |
