| model              |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |            ttfr (ms) |         est_ppt (ms) |        e2e_ttft (ms) |
|:-------------------|----------------------:|-----------------:|-----------------:|---------------:|-----------------:|---------------------:|---------------------:|---------------------:|
| qwen3.8-flash-next |           pp2048 (c1) | 1612.83 ± 194.57 | 1612.83 ± 194.57 |                |                  |     1289.49 ± 143.17 |     1288.12 ± 143.17 |     1289.49 ± 143.17 |
| qwen3.8-flash-next |            tg128 (c1) |     34.27 ± 2.66 |     34.27 ± 2.66 |   46.00 ± 7.87 |     46.00 ± 7.87 |                      |                      |                      |
| qwen3.8-flash-next |           pp2048 (c2) | 2114.88 ± 193.06 | 1518.17 ± 524.99 |                |                  |     1514.22 ± 483.82 |     1512.86 ± 483.82 |     1514.22 ± 483.82 |
| qwen3.8-flash-next |            tg128 (c2) |     48.69 ± 3.38 |     28.75 ± 3.57 |   82.33 ± 3.68 |     44.67 ± 7.34 |                      |                      |                      |
| qwen3.8-flash-next |           pp2048 (c5) | 2682.84 ± 129.92 |  840.34 ± 589.82 |                |                  |    3167.61 ± 1097.54 |    3166.24 ± 1097.54 |    3167.61 ± 1097.54 |
| qwen3.8-flash-next |            tg128 (c5) |     74.26 ± 1.68 |     21.48 ± 4.11 |  146.67 ± 8.73 |     32.27 ± 3.49 |                      |                      |                      |
| qwen3.8-flash-next |          pp2048 (c10) |  1514.44 ± 33.20 |  514.43 ± 537.91 |                |                  |    6466.88 ± 3659.81 |    6465.52 ± 3659.81 |    6466.88 ± 3659.81 |
| qwen3.8-flash-next |           tg128 (c10) |     73.40 ± 2.55 |     17.34 ± 5.20 |  198.33 ± 6.24 |     29.63 ± 5.81 |                      |                      |                      |
| qwen3.8-flash-next |   ctx_pp @ d4096 (c1) |  2693.67 ± 45.44 |  2693.67 ± 45.44 |                |                  |      1523.28 ± 26.15 |      1521.91 ± 26.15 |      1523.28 ± 26.15 |
| qwen3.8-flash-next |   ctx_tg @ d4096 (c1) |     28.05 ± 1.07 |     28.05 ± 1.07 |   36.33 ± 4.92 |     36.33 ± 4.92 |                      |                      |                      |
| qwen3.8-flash-next |   pp2048 @ d4096 (c1) |    874.76 ± 2.48 |    874.76 ± 2.48 |                |                  |       2342.61 ± 6.65 |       2341.24 ± 6.65 |       2342.61 ± 6.65 |
| qwen3.8-flash-next |    tg128 @ d4096 (c1) |     30.63 ± 4.35 |     30.63 ± 4.35 |   39.00 ± 5.72 |     39.00 ± 5.72 |                      |                      |                      |
| qwen3.8-flash-next |   ctx_pp @ d4096 (c2) |   2705.89 ± 7.35 | 2043.40 ± 690.00 |                |                  |     2264.83 ± 764.07 |     2263.46 ± 764.07 |     2264.83 ± 764.07 |
| qwen3.8-flash-next |   ctx_tg @ d4096 (c2) |     38.39 ± 0.96 |     22.69 ± 3.55 |   68.33 ± 8.34 |     34.83 ± 4.02 |                      |                      |                      |
| qwen3.8-flash-next |   pp2048 @ d4096 (c2) |    899.26 ± 0.97 |  586.17 ± 136.40 |                |                  |     3695.24 ± 859.53 |     3693.87 ± 859.53 |     3695.24 ± 859.53 |
| qwen3.8-flash-next |    tg128 @ d4096 (c2) |     43.44 ± 2.05 |     27.20 ± 3.90 |   79.67 ± 2.05 |     43.00 ± 2.31 |                      |                      |                      |
| qwen3.8-flash-next |   ctx_pp @ d4096 (c5) |   2915.69 ± 3.33 |  784.66 ± 537.07 |                |                  |    6134.44 ± 1424.41 |    6133.07 ± 1424.41 |    6134.44 ± 1424.41 |
| qwen3.8-flash-next |   ctx_tg @ d4096 (c5) |    68.63 ± 15.27 |     20.19 ± 4.29 |  123.33 ± 7.36 |     32.53 ± 4.36 |                      |                      |                      |
